,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
25-10-25-0.8,500,167,3078,29866,12.7,1473,0.0,0.4,499.068,499.068,1831,3.6,123,0.0,0.4,499.068,499.068,1863,22.9,1771,0.0,0.4,499.068,499.068,2306,18.0,868,0.0,0.4,499.068,499.068,0,1,2396
26-10-25-0.8,600,5,5086,70238,11.4,96,0.0,1.4,343.159,343.159,5502,14.7,71,0.0,1.3,343.159,343.159,5094,13.4,75,0.0,1.2,343.159,343.159,6370,18.7,45,0.0,1.2,343.159,343.159,0,1,6020
27-10-25-0.8,600,10,5420,75078,26.3,314,0.0,0.7,417.267,417.267,5630,25.3,331,0.0,0.9,417.267,417.267,4675,28.5,108,0.0,0.6,417.267,417.267,6422,34.7,127,0.0,0.6,417.267,417.267,0,1,6020
28-10-25-0.8,600,60,5338,78458,108.6,3652,0.0,1.1,559.023,559.023,4293,409.3,26452,0.0,0.6,559.023,559.023,3695,554.8,36238,0.0,0.6,559.024,559.024,4511,564.8,32517,0.0,0.4,559.024,559.024,0,1,4713
29-10-25-0.8,600,120,4982,67654,73.4,5869,0.0,0.6,592.421,592.421,2381,24.1,1556,0.0,0.6,592.421,592.421,2152,325.1,28982,0.0,0.6,592.421,592.421,3161,41.1,1121,0.0,0.5,592.421,592.421,0,1,2620
30-10-25-0.8,600,200,4284,48514,0.0,0,0.0,0.0,600.000,600.000,0,0.0,0,0.0,0.0,600.000,600.000,0,0.1,0,0.0,0.0,600.000,600.000,0,0.0,0,0.0,0.0,600.000,600.000,1,5,0
31-10-25-0.8,700,5,8624,152102,18.3,103,0.0,1.5,471.243,471.243,5649,25.1,97,0.0,1.4,471.243,471.243,6025,36.3,88,0.0,1.5,471.243,471.243,7369,40.6,83,0.0,1.3,471.243,471.243,0,1,7459
32-10-25-0.8,700,10,7294,123992,21.0,126,0.0,0.7,512.626,512.626,6123,25.0,117,0.0,0.5,512.626,512.626,6342,31.6,113,0.0,0.6,512.626,512.626,6196,45.1,113,0.0,0.5,512.626,512.626,0,1,6098
33-10-25-0.8,700,70,7110,121930,853.8,50813,0.0,0.6,673.224,673.224,3756,820.8,41008,0.0,0.2,673.224,673.224,3760,1075.9,54729,0.0,0.7,673.224,673.224,4585,976.2,48173,0.0,0.4,673.224,673.224,0,1,4216
34-10-25-0.8,700,140,8044,141988,10.8,461,0.0,0.3,699.358,699.358,2706,2.8,26,0.0,0.0,699.358,699.358,2626,13.2,60,0.0,<0.1,699.358,699.358,2880,10.6,39,0.0,0.0,699.358,699.358,0,1,2746
35-10-25-0.8,800,5,14838,312066,17.2,75,0.0,1.2,611.905,611.905,5531,24.0,81,0.0,1.3,611.905,611.905,5593,52.7,89,0.0,1.3,611.905,611.905,6509,44.2,67,0.0,1.2,611.905,611.905,0,1,6358
36-10-25-0.8,800,10,10904,224412,TL,22777,0.2,1.8,621.438,622.925,10753,TL,15739,0.4,1.7,621.064,623.543,11459,TL,16906,0.4,1.7,620.834,623.153,13954,TL,15769,0.2,1.7,621.048,622.155,0,1,13261
37-10-25-0.8,800,80,9072,186296,368.7,15019,0.0,0.7,777.419,777.419,3510,166.7,5937,0.0,0.6,777.419,777.419,3258,452.6,9346,0.0,0.4,777.419,777.419,5366,174.3,1495,0.0,0.6,777.419,777.419,0,1,4433
38-10-25-0.8,900,5,21526,466312,77.0,279,0.0,1.6,723.503,723.503,7473,51.5,184,0.0,1.6,723.503,723.503,6859,120.1,213,0.0,1.2,723.503,723.503,7924,92.0,189,0.0,1.1,723.503,723.503,0,1,7711
39-10-25-0.8,900,10,21248,471774,TL,33115,0.3,0.9,787.415,789.965,8841,TL,34409,0.3,0.9,787.655,789.971,8672,TL,33917,0.3,0.9,787.246,789.953,9457,TL,31945,0.3,0.9,787.276,789.959,0,1,9383
40-10-25-0.8,900,90,14636,345298,314.6,14063,0.0,0.3,889.915,889.915,2514,265.7,12816,0.0,0.4,889.915,889.915,2740,323.7,6743,0.0,0.4,889.915,889.915,3501,1553.7,80429,0.0,0.4,889.915,889.915,0,1,2702

