,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-5-20-0.2,100,5,114,64,0.3,0,0.0,0.0,14.600,14.600,228,0.0,0,0.0,0.0,14.600,14.600,228,0.0,0,0.0,0.0,14.600,14.600,232,0.0,0,0.0,0.0,14.600,14.600,0,1,243
2-5-20-0.2,100,10,124,76,0.2,0,0.0,0.0,26.792,26.792,252,0.3,0,0.0,0.0,26.792,26.792,256,0.3,0,0.0,0.0,26.792,26.792,261,0.4,0,0.0,0.0,26.792,26.792,0,1,264
3-5-20-0.2,100,10,116,100,0.2,90,0.0,1.1,25.653,25.653,311,0.1,139,0.0,0.9,25.653,25.653,316,0.4,0,0.0,0.0,25.653,25.653,305,0.3,0,0.0,0.0,25.653,25.653,0,1,308
4-5-20-0.2,100,20,106,56,0.1,3,0.0,0.0,35.432,35.432,295,0.1,4,0.0,<0.1,35.432,35.432,291,1.6,1,0.0,0.0,35.432,35.432,337,0.1,0,0.0,0.0,35.432,35.432,0,1,314
5-5-20-0.2,100,33,130,114,1.5,980,0.0,<0.1,62.218,62.218,338,0.1,5,0.0,<0.1,62.218,62.218,279,0.2,0,0.0,0.0,62.218,62.218,337,0.3,0,0.0,0.0,62.218,62.218,0,1,308
6-5-20-0.2,200,5,296,430,0.1,0,0.0,0.0,30.133,30.133,499,0.1,0,0.0,0.0,30.133,30.133,487,0.1,0,0.0,0.0,30.133,30.133,533,0.8,0,0.0,0.0,30.133,30.133,0,1,513
7-5-20-0.2,200,10,292,592,0.3,47,0.0,0.6,50.481,50.481,668,0.3,20,0.0,0.2,50.481,50.481,637,0.2,0,0.0,0.0,50.481,50.481,688,0.4,0,0.0,0.0,50.481,50.481,0,1,703
8-5-20-0.2,200,20,278,418,0.3,134,0.0,0.3,69.795,69.795,628,0.2,105,0.0,0.4,69.795,69.795,600,0.1,0,0.0,0.0,69.795,69.795,653,0.1,0,0.0,0.0,69.795,69.795,0,1,630
9-5-20-0.2,200,40,302,502,7.2,1479,0.0,1.2,118.104,118.104,977,11.4,2634,0.0,0.9,118.104,118.104,869,0.2,18,0.0,<0.1,118.104,118.104,920,0.6,13,0.0,0.3,118.104,118.104,0,1,877
10-5-20-0.2,200,67,328,900,20.1,5912,0.0,1.8,158.934,158.934,1624,6.8,1729,0.0,1.7,158.934,158.934,1434,3.6,508,0.0,1.0,158.934,158.934,1657,6.3,1007,0.0,1.0,158.934,158.934,0,1,1554
11-5-20-0.2,300,5,534,2358,1.6,59,0.0,1.4,62.528,62.528,1222,0.5,64,0.0,1.2,62.528,62.528,1151,0.4,0,0.0,0.0,62.528,62.528,1111,0.7,3,0.0,0.0,62.528,62.528,0,1,1082
12-5-20-0.2,300,10,474,1654,1.9,408,0.0,1.5,80.006,80.006,1293,1.4,138,0.0,1.5,80.006,80.006,1227,0.3,12,0.0,0.2,80.006,80.006,1192,0.3,9,0.0,0.1,80.006,80.006,0,1,1136
13-5-20-0.2,300,30,500,2004,33.6,4513,0.0,2.5,154.429,154.429,2428,17.0,3086,0.0,2.1,154.429,154.429,2131,8.1,405,0.0,1.1,154.429,154.429,2570,4.1,263,0.0,0.7,154.429,154.429,0,1,2346
14-5-20-0.2,300,60,502,1586,77.7,10233,0.0,2.6,207.546,207.546,3180,35.0,4127,0.0,1.8,207.546,207.546,3008,10.8,389,0.0,0.6,207.546,207.546,3328,8.9,350,0.0,1.4,207.546,207.546,0,1,2914
