,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,B&C-I,,,,,,,,
15-5-20-0.2,300,100,518,2000,1438.5,444183,0.0,2.1,250.454,250.454,3464,1828.8,558066,0.0,1.8,250.455,250.455,2238,49.2,3414,0.0,1.1,250.455,250.455,4777,75.6,7913,0.0,1.1,250.454,250.454,0,1,3965
16-5-20-0.2,400,5,874,6918,11.7,649,0.0,4.9,108.968,108.968,3108,7.3,479,0.0,3.5,108.968,108.968,2996,1.5,15,0.0,0.9,108.968,108.968,2587,2.1,13,0.0,0.8,108.968,108.968,0,1,2205
17-5-20-0.2,400,10,840,5902,34.8,2211,0.0,3.6,147.920,147.920,4004,10.4,1078,0.0,2.7,147.920,147.920,3028,1.4,33,0.0,0.6,147.920,147.920,3173,3.1,37,0.0,0.6,147.920,147.920,0,1,2845
18-5-20-0.2,400,40,738,4070,TL,540599,0.4,2.8,237.776,238.817,6229,TL,473417,0.4,2.3,237.903,238.772,5563,344.7,10675,0.0,1.5,238.046,238.046,8668,285.2,9876,0.0,1.4,238.046,238.046,0,1,8361
19-5-20-0.2,400,80,816,4932,TL,414989,0.5,2.8,322.383,324.051,5967,TL,414352,0.3,2.3,322.810,323.941,5296,TL,516942,0.1,1.7,323.108,323.593,10051,1317.8,46250,0.0,1.7,323.155,323.155,0,1,8374
20-5-20-0.2,400,133,760,4170,TL,399290,0.6,2.8,366.874,368.977,4877,TL,444448,0.4,2.4,367.484,368.876,4099,TL,431935,0.5,1.8,367.078,368.781,9849,TL,419207,0.3,1.7,367.444,368.658,2,2,8389
21-5-20-0.2,500,5,1186,12832,0.8,7,0.0,0.4,149.162,149.162,1957,1.5,13,0.0,0.4,149.162,149.162,2015,0.5,0,0.0,0.0,149.162,149.162,1956,0.6,0,0.0,0.0,149.162,149.162,0,1,1964
22-5-20-0.2,500,10,1090,9960,78.6,2842,0.0,4.5,178.499,178.499,6316,60.7,2323,0.0,2.7,178.499,178.499,4758,9.7,106,0.0,2.4,178.499,178.499,4966,12.7,67,0.0,1.0,178.499,178.499,0,1,4374
23-5-20-0.2,500,50,1196,11222,TL,153729,1.1,3.0,362.758,366.574,8197,TL,198804,0.7,2.5,363.577,366.285,7683,TL,59338,0.5,2.1,363.716,365.556,14393,TL,135582,0.4,1.9,363.751,365.362,1,2,12476
24-5-20-0.2,500,100,1174,11328,TL,159323,1.1,2.1,436.753,441.705,6781,TL,235775,0.6,1.8,439.057,441.487,6323,TL,153975,0.7,1.5,438.279,441.483,13545,TL,202740,0.4,1.4,439.463,441.214,0,1,12487
25-5-20-0.2,500,167,1258,13962,TL,195275,1.2,2.2,478.828,484.481,5304,TL,171558,0.6,2.0,481.759,484.641,4862,TL,145402,0.6,1.4,481.244,484.244,13090,TL,69305,0.3,1.3,482.412,483.980,1,2,11460
26-5-20-0.2,600,5,1706,30160,13.5,358,0.0,2.7,221.744,221.744,5684,6.8,165,0.0,2.5,221.744,221.744,5044,8.7,51,0.0,1.2,221.744,221.744,4838,8.9,35,0.0,1.1,221.744,221.744,0,1,4854
27-5-20-0.2,600,10,1764,32768,1041.8,45917,0.0,2.7,305.542,305.542,9207,779.7,32690,0.0,2.4,305.542,305.542,9256,919.1,48209,0.0,1.7,305.542,305.542,10457,231.3,1977,0.0,1.7,305.542,305.542,1,2,8424
28-5-20-0.2,600,60,1716,33584,TL,98722,0.9,2.2,502.350,506.785,8024,TL,90889,0.7,1.9,503.054,506.353,7760,TL,37608,0.8,1.8,502.487,506.281,13333,TL,50366,0.6,1.6,503.056,505.964,2,2,13248
29-5-20-0.2,600,120,1714,28968,TL,140287,1.1,1.8,558.041,563.979,6522,TL,105068,0.9,1.5,558.579,563.613,7105,TL,53191,0.9,1.4,558.711,563.624,13629,TL,52445,0.6,1.2,559.642,563.249,1,2,12625
30-5-20-0.2,600,200,1570,21010,TL,144373,0.7,1.0,587.734,591.889,4701,TL,182588,0.5,0.9,588.493,591.666,4643,TL,155911,0.4,0.8,589.031,591.544,11143,TL,108303,0.2,0.7,590.137,591.469,2,2,9577
31-5-20-0.2,700,5,2542,64420,201.3,2986,0.0,3.7,314.323,314.323,9695,146.4,2260,0.0,4.1,314.323,314.323,7446,101.8,344,0.0,3.6,314.323,314.323,12287,67.2,215,0.0,3.3,314.323,314.323,0,1,9940
32-5-20-0.2,700,10,2218,50474,236.8,3886,0.0,2.2,374.871,374.871,8167,111.3,1814,0.0,1.3,374.871,374.871,7355,48.0,276,0.0,0.9,374.871,374.871,8431,50.6,215,0.0,0.9,374.852,374.852,0,1,7352
33-5-20-0.2,700,70,2268,49250,TL,68901,0.8,1.6,619.864,624.664,9765,TL,77766,0.7,1.7,620.344,624.548,8791,TL,59974,0.6,1.5,620.199,624.132,14442,TL,49598,0.6,1.4,620.411,624.007,2,2,15299
34-5-20-0.2,700,140,2450,58282,TL,90586,0.5,1.0,678.073,681.364,6088,TL,92646,0.4,0.9,678.776,681.243,5500,TL,78325,0.5,0.7,677.796,681.291,11584,TL,81622,0.3,0.6,678.751,681.124,0,1,11052
35-5-20-0.2,800,5,3424,143422,30.9,237,0.0,1.6,460.698,460.698,7048,22.0,102,0.0,1.4,460.698,460.698,7266,43.5,65,0.0,1.4,460.698,460.698,8957,27.4,65,0.0,1.3,460.698,460.698,0,1,6786
36-5-20-0.2,800,10,3052,91980,TL,43514,0.8,2.9,479.223,483.062,13777,TL,46588,0.7,2.6,479.223,482.428,13380,TL,36075,0.8,2.4,479.213,482.971,20105,TL,43681,0.6,2.2,479.250,481.976,0,1,18527
37-5-20-0.2,800,80,2762,71842,TL,73070,0.5,1.2,726.373,730.057,8886,TL,73393,0.5,1.0,726.552,729.891,8121,TL,46999,0.5,1.0,725.878,729.769,13238,TL,51093,0.4,0.9,726.456,729.569,1,2,13215
38-5-20-0.2,900,5,4520,224438,355.2,2818,0.0,3.3,563.034,563.034,12012,171.5,1319,0.0,2.8,563.034,563.034,9290,544.8,547,0.0,2.4,563.034,563.034,18812,264.5,393,0.0,2.0,563.034,563.034,0,1,13985
39-5-20-0.2,900,10,4450,227826,1854.4,25598,0.0,1.2,682.842,682.842,12627,1691.6,23974,0.0,1.1,682.842,682.842,12217,1694.5,13432,0.0,1.0,682.842,682.842,15198,1304.5,8692,0.0,0.9,682.842,682.842,0,1,15296
40-5-20-0.2,900,90,3552,140956,TL,49432,0.3,0.7,852.874,855.534,7906,TL,70539,0.3,0.6,852.974,855.443,7363,TL,30660,0.4,0.6,851.899,855.369,11631,TL,32649,0.3,0.5,852.642,855.197,1,2,11523

