,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,vB&C-I+E+L,,,,,,,,
31-5-20-0.8,700,5,2542,64420,9.5,74,0.0,1.6,290.581,290.581,5260,10.3,75,0.0,1.5,290.581,290.581,5300,16.6,37,0.0,1.3,290.581,290.581,6575,20.1,41,0.0,1.2,290.581,290.581,0,1,6222
32-5-20-0.8,700,10,2218,50474,10.4,85,0.0,0.5,340.813,340.813,5239,6.4,53,0.0,0.4,340.813,340.813,4831,10.7,39,0.0,0.3,340.813,340.813,5659,22.1,29,0.0,0.3,340.813,340.813,0,1,5762
33-5-20-0.8,700,70,2268,49250,1778.3,91941,0.0,0.3,581.924,581.924,6717,1338.5,71530,0.0,0.2,581.924,581.924,6529,1684.9,85507,0.0,0.5,581.924,581.924,8373,183.2,2655,0.0,0.3,581.924,581.924,0,1,6153
34-5-20-0.8,700,140,2450,58282,31.0,695,0.0,0.7,653.349,653.349,3456,24.3,2721,0.0,0.7,653.349,653.349,2981,32.0,422,0.0,0.7,653.349,653.349,3770,12.7,34,0.0,0.7,653.349,653.349,0,1,3167
35-5-20-0.8,800,5,3424,143422,13.4,37,0.0,1.3,403.506,403.506,6033,12.2,45,0.0,1.3,403.506,403.506,6454,21.9,31,0.0,1.2,403.506,403.506,6631,20.9,47,0.0,1.2,403.506,403.506,0,1,6488
36-5-20-0.8,800,10,3052,91980,302.3,1612,0.0,2.6,427.424,427.424,9402,220.7,1336,0.0,2.1,427.424,427.424,8668,555.2,654,0.0,1.8,427.424,427.424,12585,440.2,692,0.0,2.1,427.424,427.424,0,1,12048
37-5-20-0.8,800,80,2762,71842,1556.6,60362,0.0,0.2,683.418,683.418,6755,2399.3,122793,0.0,0.4,683.418,683.418,6314,240.0,2081,0.0,0.3,683.418,683.418,7996,1474.4,71184,0.0,0.3,683.418,683.418,0,1,7314
38-5-20-0.8,900,5,4520,224438,43.9,123,0.0,2.7,490.736,490.736,8749,51.4,125,0.0,1.6,490.736,490.736,9107,104.6,122,0.0,2.4,490.736,490.736,11667,90.1,106,0.0,1.7,490.736,490.736,0,1,10907
39-5-20-0.8,900,10,4450,227826,58.7,211,0.0,1.1,592.560,592.560,8010,58.1,216,0.0,1.1,592.560,592.560,7613,164.4,248,0.0,1.1,592.560,592.560,9716,135.4,214,0.0,0.8,592.560,592.560,0,1,10480
40-5-20-0.8,900,90,3552,140956,357.9,13782,0.0,0.6,801.052,801.052,5415,99.8,2691,0.0,0.1,801.052,801.052,4579,166.6,845,0.0,0.5,801.052,801.052,5808,139.4,859,0.0,0.2,801.052,801.052,0,1,5430

