,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,vB&C-I+E+L,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-5-20-0.8,100,5,114,64,0.0,0,0.0,0.0,14.600,14.600,229,0.2,0,0.0,0.0,14.600,14.600,230,0.3,0,0.0,0.0,14.600,14.600,234,0.1,0,0.0,0.0,14.600,14.600,0,1,234
2-5-20-0.8,100,10,124,76,0.1,0,0.0,0.0,26.648,26.648,244,0.1,0,0.0,0.0,26.648,26.648,250,0.0,0,0.0,0.0,26.648,26.648,245,0.0,0,0.0,0.0,26.648,26.648,0,1,245
3-5-20-0.8,100,10,116,100,0.1,0,0.0,0.0,25.613,25.613,265,0.5,0,0.0,0.0,25.613,25.613,269,0.1,0,0.0,0.0,25.613,25.613,279,0.3,0,0.0,0.0,25.613,25.613,0,1,281
4-5-20-0.8,100,20,106,56,0.0,1,0.0,0.0,35.408,35.408,268,0.1,0,0.0,0.0,35.408,35.408,279,0.1,0,0.0,0.0,35.408,35.408,283,0.0,0,0.0,0.0,35.408,35.408,0,1,284
5-5-20-0.8,100,33,130,114,0.0,0,0.0,0.0,62.004,62.004,356,0.0,0,0.0,0.0,62.004,62.004,292,0.1,0,0.0,0.0,62.004,62.004,373,0.0,0,0.0,0.0,62.004,62.004,0,1,304
6-5-20-0.8,200,5,296,430,0.1,0,0.0,0.0,30.133,30.133,476,0.1,0,0.0,0.0,30.133,30.133,476,0.0,0,0.0,0.0,30.133,30.133,487,0.1,0,0.0,0.0,30.133,30.133,0,1,487
7-5-20-0.8,200,10,292,592,0.9,0,0.0,0.0,50.206,50.206,532,0.1,0,0.0,0.0,50.206,50.206,541,0.1,0,0.0,0.0,50.206,50.206,569,0.1,0,0.0,0.0,50.206,50.206,0,1,573
8-5-20-0.8,200,20,278,418,1.0,0,0.0,0.0,69.544,69.544,573,0.1,0,0.0,0.0,69.544,69.544,565,0.1,0,0.0,0.0,69.544,69.544,594,0.1,0,0.0,0.0,69.544,69.544,0,1,585
9-5-20-0.8,200,40,302,502,0.3,6,0.0,<0.1,117.076,117.076,675,0.1,3,0.0,0.0,117.076,117.076,646,0.1,0,0.0,0.0,117.076,117.076,721,0.4,2,0.0,0.0,117.076,117.076,0,1,705
10-5-20-0.8,200,67,328,900,0.6,56,0.0,0.8,157.131,157.131,748,0.3,18,0.0,0.8,157.131,157.131,738,1.1,2,0.0,0.0,157.131,157.131,898,0.2,3,0.0,0.0,157.131,157.131,0,1,824
11-5-20-0.8,300,5,534,2358,0.1,0,0.0,0.0,61.632,61.632,847,0.1,0,0.0,0.0,61.632,61.632,850,0.1,0,0.0,0.0,61.632,61.632,937,0.2,0,0.0,0.0,61.632,61.632,0,1,938
12-5-20-0.8,300,10,474,1654,0.3,7,0.0,<0.1,79.252,79.252,1002,0.2,5,0.0,<0.1,79.252,79.252,982,0.1,0,0.0,0.0,79.252,79.252,1018,0.2,0,0.0,0.0,79.252,79.252,0,1,1006
13-5-20-0.8,300,30,500,2004,0.6,49,0.0,<0.1,151.101,151.101,1321,0.6,64,0.0,<0.1,151.101,151.101,1306,0.5,5,0.0,<0.1,151.101,151.101,1461,1.3,3,0.0,0.0,151.101,151.101,0,1,1380
14-5-20-0.8,300,60,502,1586,3.8,588,0.0,<0.1,203.813,203.813,1391,2.4,319,0.0,<0.1,203.813,203.813,1326,0.3,6,0.0,<0.1,203.813,203.813,1492,0.5,3,0.0,0.0,203.813,203.813,0,1,1496
15-5-20-0.8,300,100,518,2000,6.4,574,0.0,0.6,244.777,244.777,1438,2.4,562,0.0,0.6,244.777,244.777,1347,0.7,32,0.0,0.5,244.777,244.777,1700,0.7,37,0.0,0.5,244.777,244.777,0,1,1572
16-5-20-0.8,400,5,874,6918,0.6,12,0.0,0.3,105.842,105.842,1665,0.5,9,0.0,0.2,105.842,105.842,1681,0.4,0,0.0,0.0,105.842,105.842,1614,0.3,0,0.0,0.0,105.842,105.842,0,1,1660
17-5-20-0.8,400,10,840,5902,0.6,19,0.0,0.2,143.630,143.630,1794,0.5,15,0.0,0.2,143.630,143.630,1769,0.6,0,0.0,0.0,143.630,143.630,1865,0.5,0,0.0,0.0,143.630,143.630,0,1,1886
18-5-20-0.8,400,40,738,4070,8.2,1023,0.0,0.3,230.275,230.275,2327,2.4,244,0.0,0.2,230.275,230.275,2117,2.3,25,0.0,<0.1,230.275,230.275,2676,1.9,20,0.0,<0.1,230.275,230.275,0,1,2483
19-5-20-0.8,400,80,816,4932,10.2,632,0.0,0.5,312.679,312.679,2776,27.7,3060,0.0,0.2,312.679,312.679,2376,2.9,121,0.0,<0.1,312.679,312.679,2949,1.5,55,0.0,<0.1,312.679,312.679,0,1,2780
20-5-20-0.8,400,133,760,4170,32.4,3120,0.0,1.2,357.998,357.998,2301,10.9,1000,0.0,1.1,357.998,357.998,2049,6.3,256,0.0,1.0,357.998,357.998,2913,6.0,123,0.0,1.0,357.998,357.998,0,1,2468
21-5-20-0.8,500,5,1186,12832,1.4,0,0.0,0.0,143.190,143.190,1720,0.4,0,0.0,0.0,143.190,143.190,1721,0.5,0,0.0,0.0,143.190,143.190,1954,1.1,0,0.0,0.0,143.190,143.190,0,1,1952
22-5-20-0.8,500,10,1090,9960,2.7,48,0.0,0.7,171.225,171.225,2779,3.5,39,0.0,0.5,171.225,171.225,2718,1.8,15,0.0,0.1,171.225,171.225,3017,5.1,15,0.0,0.1,171.225,171.225,0,1,3057
23-5-20-0.8,500,50,1196,11222,35.9,2442,0.0,0.5,346.943,346.943,3384,10.2,977,0.0,0.2,346.943,346.943,3138,5.2,16,0.0,<0.1,346.943,346.943,3953,5.2,17,0.0,<0.1,346.943,346.943,0,1,3598
24-5-20-0.8,500,100,1174,11328,23.8,1285,0.0,0.4,422.368,422.368,3606,25.6,1749,0.0,0.2,422.368,422.368,3352,8.9,227,0.0,0.3,422.368,422.368,4045,11.8,287,0.0,<0.1,422.368,422.368,0,1,3794
25-5-20-0.8,500,167,1258,13962,21.7,1230,0.0,1.3,470.463,470.463,3011,9.4,560,0.0,1.2,470.463,470.463,2638,8.5,90,0.0,1.2,470.463,470.463,3405,7.5,156,0.0,1.2,470.463,470.463,0,1,3167
26-5-20-0.8,600,5,1706,30160,2.4,23,0.0,0.6,206.886,206.886,4464,2.5,27,0.0,0.5,206.886,206.886,4111,5.6,17,0.0,0.3,206.886,206.886,5099,13.9,11,0.0,0.2,206.886,206.886,0,1,4644
27-5-20-0.8,600,10,1764,32768,28.7,527,0.0,1.1,278.786,278.786,6128,20.3,348,0.0,0.9,278.786,278.786,5775,15.8,105,0.0,0.9,278.786,278.786,6806,17.8,105,0.0,0.8,278.786,278.786,0,1,6537
28-5-20-0.8,600,60,1716,33584,3198.2,286058,0.0,1.0,472.578,472.578,5759,782.1,39524,0.0,0.5,472.578,472.578,5408,2296.1,140033,0.0,0.6,472.578,472.578,7666,209.3,1696,0.0,0.4,472.578,472.578,0,1,6821
29-5-20-0.8,600,120,1714,28968,434.1,31750,0.0,0.8,537.051,537.051,4501,58.7,3144,0.0,0.8,537.051,537.051,3847,63.0,944,0.0,0.8,537.051,537.051,4878,39.0,733,0.0,0.8,537.051,537.051,0,1,4193
30-5-20-0.8,600,200,1570,21010,265.2,19260,0.0,0.8,577.397,577.397,3219,37.4,4746,0.0,0.7,577.397,577.397,2865,43.6,1364,0.0,0.7,577.397,577.397,4431,28.4,1543,0.0,0.7,577.397,577.397,0,1,3597
