,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-5-20-0.5,100,5,114,64,0.1,0,0.0,0.0,14.600,14.600,247,0.0,0,0.0,0.0,14.600,14.600,230,0.1,0,0.0,0.0,14.600,14.600,252,0.1,0,0.0,0.0,14.600,14.600,0,1,236
2-5-20-0.5,100,10,124,76,0.1,0,0.0,0.0,26.720,26.720,245,0.1,0,0.0,0.0,26.720,26.720,253,0.1,0,0.0,0.0,26.720,26.720,259,1.0,0,0.0,0.0,26.720,26.720,0,1,251
3-5-20-0.5,100,10,116,100,0.1,14,0.0,0.1,25.633,25.633,297,0.1,8,0.0,<0.1,25.633,25.633,285,0.1,0,0.0,0.0,25.633,25.633,301,0.5,0,0.0,0.0,25.633,25.633,0,1,299
4-5-20-0.5,100,20,106,56,0.1,1,0.0,0.0,35.420,35.420,295,0.1,0,0.0,0.0,35.420,35.420,293,0.3,1,0.0,0.0,35.420,35.420,316,0.1,0,0.0,0.0,35.420,35.420,0,1,303
5-5-20-0.5,100,33,130,114,0.1,3,0.0,0.0,62.111,62.111,290,0.1,0,0.0,0.0,62.111,62.111,284,0.1,0,0.0,0.0,62.111,62.111,318,0.1,0,0.0,0.0,62.111,62.111,0,1,302
6-5-20-0.5,200,5,296,430,0.0,0,0.0,0.0,30.133,30.133,479,0.0,0,0.0,0.0,30.133,30.133,473,0.1,0,0.0,0.0,30.133,30.133,502,0.1,0,0.0,0.0,30.133,30.133,0,1,484
7-5-20-0.5,200,10,292,592,0.2,3,0.0,0.0,50.326,50.326,610,0.3,0,0.0,0.0,50.326,50.326,574,0.1,0,0.0,0.0,50.326,50.326,630,0.1,0,0.0,0.0,50.326,50.326,0,1,621
8-5-20-0.5,200,20,278,418,0.1,0,0.0,0.0,69.660,69.660,585,0.1,0,0.0,0.0,69.660,69.660,569,0.1,0,0.0,0.0,69.660,69.660,631,0.1,0,0.0,0.0,69.660,69.660,0,1,600
9-5-20-0.5,200,40,302,502,1.1,175,0.0,0.5,117.590,117.590,755,0.7,140,0.0,0.5,117.590,117.590,723,0.4,7,0.0,<0.1,117.590,117.590,805,0.2,3,0.0,0.0,117.590,117.590,0,1,783
10-5-20-0.5,200,67,328,900,7.0,1235,0.0,1.1,157.894,157.894,1014,5.7,604,0.0,1.1,157.894,157.894,944,0.5,15,0.0,0.7,157.894,157.894,1062,2.0,33,0.0,0.7,157.894,157.894,0,1,953
