,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,B&C-I,,,,,,,,
11-5-20-0.5,300,5,534,2358,1.0,8,0.0,0.1,62.080,62.080,948,0.4,2,0.0,0.0,62.080,62.080,942,0.2,0,0.0,0.0,62.080,62.080,993,0.1,0,0.0,0.0,62.080,62.080,0,1,983
12-5-20-0.5,300,10,474,1654,0.4,44,0.0,0.6,79.629,79.629,1011,0.4,22,0.0,0.5,79.629,79.629,1003,0.3,0,0.0,0.0,79.629,79.629,1039,0.1,0,0.0,0.0,79.629,79.629,0,1,1033
13-5-20-0.5,300,30,500,2004,12.2,1679,0.0,0.8,152.752,152.752,1803,9.6,1657,0.0,0.7,152.752,152.752,1535,1.2,20,0.0,0.1,152.752,152.752,1855,3.3,27,0.0,0.1,152.752,152.752,0,1,1767
14-5-20-0.5,300,60,502,1586,11.3,1196,0.0,1.1,205.588,205.588,1928,14.6,2028,0.0,0.5,205.588,205.588,1590,2.2,20,0.0,<0.1,205.588,205.588,1880,1.1,13,0.0,<0.1,205.588,205.588,0,1,1902
15-5-20-0.5,300,100,518,2000,23.9,2852,0.0,1.1,247.414,247.414,2019,4.6,1412,0.0,1.0,247.414,247.414,1665,5.0,218,0.0,0.8,247.414,247.414,2236,6.3,463,0.0,0.8,247.414,247.414,0,1,2097
16-5-20-0.5,400,5,874,6918,6.2,225,0.0,2.8,107.405,107.405,2546,1.2,53,0.0,1.4,107.405,107.405,2007,1.2,8,0.0,0.1,107.405,107.405,1864,1.3,8,0.0,0.1,107.405,107.405,0,1,1944
17-5-20-0.5,400,10,840,5902,1.8,145,0.0,1.1,145.775,145.775,2337,2.2,162,0.0,1.2,145.775,145.775,2238,1.0,10,0.0,0.1,145.775,145.775,2382,0.9,17,0.0,0.1,145.775,145.775,0,1,2373
18-5-20-0.5,400,40,738,4070,199.2,36263,0.0,1.4,233.814,233.814,4339,235.1,34643,0.0,1.3,233.814,233.814,3927,45.4,1451,0.0,0.7,233.814,233.814,4691,52.0,1817,0.0,0.9,233.814,233.814,0,1,4475
19-5-20-0.5,400,80,816,4932,1026.4,149277,0.0,1.6,317.624,317.624,3888,189.4,21806,0.0,0.9,317.624,317.624,3737,57.4,2142,0.0,1.1,317.624,317.624,4892,42.0,1948,0.0,1.1,317.624,317.624,0,1,4221
20-5-20-0.5,400,133,760,4170,TL,582291,0.1,1.8,362.373,362.863,3850,TL,548034,<0.1,1.7,362.433,362.733,2949,197.3,14196,0.0,1.3,362.509,362.509,5989,88.7,5131,0.0,1.3,362.509,362.509,0,1,4850
21-5-20-0.5,500,5,1186,12832,0.7,7,0.0,<0.1,146.176,146.176,1799,0.6,7,0.0,0.1,146.176,146.176,1817,0.5,0,0.0,0.0,146.176,146.176,1919,0.6,0,0.0,0.0,146.176,146.176,0,1,1943
22-5-20-0.5,500,10,1090,9960,11.8,289,0.0,1.3,174.862,174.862,4443,8.2,187,0.0,1.4,174.862,174.862,3651,4.8,34,0.0,0.7,174.862,174.862,3798,2.6,25,0.0,0.5,174.862,174.862,0,1,3312
23-5-20-0.5,500,50,1196,11222,TL,299872,0.2,2.0,354.482,355.309,6897,632.5,35657,0.0,1.7,354.873,354.873,5733,296.6,3137,0.0,1.3,354.873,354.873,9827,202.3,2305,0.0,0.9,354.873,354.873,0,1,7161
24-5-20-0.5,500,100,1174,11328,TL,408244,<0.1,1.3,430.738,430.891,5869,1640.5,149828,0.0,1.2,430.742,430.742,5258,237.3,5894,0.0,1.1,430.742,430.742,7969,217.0,7650,0.0,1.0,430.743,430.743,0,1,6567
25-5-20-0.5,500,167,1258,13962,TL,386061,0.1,1.6,475.690,476.402,3631,TL,376917,<0.1,1.5,476.074,476.249,3064,849.0,50686,0.0,1.2,476.075,476.075,7016,928.0,51818,0.0,1.1,476.075,476.075,0,1,6010
26-5-20-0.5,600,5,1706,30160,7.8,81,0.0,1.6,214.315,214.315,4196,3.8,44,0.0,1.2,214.315,214.315,4534,7.7,23,0.0,0.8,214.315,214.315,4768,3.5,21,0.0,0.6,214.315,214.315,0,1,4627
27-5-20-0.5,600,10,1764,32768,750.1,33404,0.0,2.2,290.939,290.939,9675,331.3,12729,0.0,1.7,290.939,290.939,7131,91.5,859,0.0,1.2,290.939,290.939,8491,90.7,793,0.0,1.4,290.939,290.939,0,1,7504
28-5-20-0.5,600,60,1716,33584,TL,161666,0.4,1.5,486.991,488.760,6895,TL,145897,0.3,1.4,486.991,488.604,7216,TL,114267,0.3,0.9,486.655,488.374,11391,TL,72020,0.1,1.1,487.129,487.862,0,1,11113
29-5-20-0.5,600,120,1714,28968,TL,185260,0.6,1.4,546.118,549.246,6124,TL,184985,0.2,1.3,547.701,549.054,5118,TL,95460,0.2,1.1,547.518,548.825,9400,TL,166565,0.1,1.1,547.933,548.726,0,1,8947
30-5-20-0.5,600,200,1570,21010,TL,242574,0.1,0.8,583.085,583.912,4456,TL,243090,<0.1,0.7,583.440,583.697,3828,TL,244309,<0.1,0.6,583.291,583.769,7749,TL,235573,0.0,0.6,583.478,583.499,0,1,5985
31-5-20-0.5,700,5,2542,64420,49.3,696,0.0,3.1,302.452,302.452,6936,36.2,522,0.0,2.9,302.452,302.452,6680,27.8,103,0.0,2.5,302.452,302.452,8569,29.7,102,0.0,2.3,302.452,302.452,0,1,8161
32-5-20-0.5,700,10,2218,50474,34.7,414,0.0,1.0,357.832,357.832,6040,27.6,414,0.0,0.8,357.832,357.832,5592,19.8,67,0.0,0.6,357.832,357.832,6086,27.0,88,0.0,0.7,357.832,357.832,0,1,6079
33-5-20-0.5,700,70,2268,49250,TL,120983,0.3,1.3,600.308,602.011,7575,TL,116014,0.2,1.0,600.574,601.811,7677,TL,85683,0.2,1.0,600.278,601.432,11728,TL,82688,0.1,0.6,600.609,601.256,0,1,10597
34-5-20-0.5,700,140,2450,58282,TL,151120,0.3,0.7,664.028,665.897,5045,TL,172600,<0.1,0.6,665.391,665.652,4078,TL,156885,0.1,0.5,664.911,665.755,7321,3156.8,114583,0.0,0.5,665.471,665.471,0,1,5875
35-5-20-0.5,800,5,3424,143422,15.7,68,0.0,1.5,432.061,432.061,6152,17.5,55,0.0,1.4,432.061,432.061,5823,27.2,63,0.0,1.4,432.061,432.061,6729,24.8,45,0.0,1.2,432.061,432.061,0,1,6289
36-5-20-0.5,800,10,3052,91980,3439.2,60444,0.0,2.8,453.183,453.183,13168,3122.8,56517,0.0,2.3,453.183,453.183,13604,TL,29068,0.4,2.5,453.183,455.036,19608,1404.2,1959,0.0,1.8,453.183,453.183,0,1,12049
37-5-20-0.5,800,80,2762,71842,TL,108381,0.2,0.8,703.800,705.154,7222,TL,85326,0.1,0.7,704.057,704.931,6982,TL,94799,0.2,0.7,703.718,705.149,9670,TL,95872,0.1,0.6,704.117,704.980,0,1,8983
38-5-20-0.5,900,5,4520,224438,79.4,379,0.0,2.1,526.270,526.270,8352,81.8,391,0.0,2.0,526.271,526.271,8599,148.8,234,0.0,1.9,526.271,526.271,11628,117.5,247,0.0,2.5,526.270,526.270,0,1,10145
39-5-20-0.5,900,10,4450,227826,82.2,627,0.0,0.8,637.701,637.701,7263,62.0,505,0.0,0.7,637.701,637.701,7098,152.1,317,0.0,0.8,637.701,637.701,8275,127.8,282,0.0,0.7,637.701,637.701,0,1,8310
40-5-20-0.5,900,90,3552,140956,TL,81374,0.1,0.6,825.278,826.261,7423,TL,78647,<0.1,0.5,825.459,825.896,6317,TL,85770,0.1,0.5,824.934,825.973,9402,TL,77237,<0.1,0.5,825.435,826.005,0,1,7976

