,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,vB&C-I+E+L,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
25-10-25-0.2,500,167,3078,29866,223.5,24178,0.0,0.2,499.698,499.698,2026,19.6,3297,0.0,0.2,499.698,499.698,2832,88.7,6756,0.0,0.2,499.698,499.698,2939,39.8,2496,0.0,0.2,499.698,499.698,0,1,2837
26-10-25-0.2,600,5,5086,70238,83.4,1265,0.0,2.7,370.604,370.604,6354,31.8,545,0.0,2.3,370.604,370.604,6017,45.0,231,0.0,2.1,370.604,370.604,7876,33.2,192,0.0,1.8,370.604,370.604,0,1,6956
27-10-25-0.2,600,10,5420,75078,1380.8,46140,0.0,2.3,446.980,446.980,9496,777.3,26205,0.0,1.7,446.980,446.980,7945,1367.6,27962,0.0,1.5,446.980,446.980,12360,997.4,20830,0.0,1.3,446.980,446.980,1,2,12442
28-10-25-0.2,600,60,5338,78458,TL,144887,0.6,1.2,573.264,576.529,6084,TL,142813,0.4,1.1,573.749,576.322,5855,TL,140511,0.5,1.0,573.248,576.390,9918,TL,132691,0.4,0.9,574.173,576.318,1,2,10094
29-10-25-0.2,600,120,4982,67654,TL,212150,0.2,0.4,596.392,597.545,4416,TL,175856,<0.1,0.4,597.174,597.461,3765,TL,232194,0.2,0.4,596.497,597.469,7004,TL,135002,<0.1,0.4,597.142,597.395,0,1,6167
30-10-25-0.2,600,200,4284,48514,0.7,0,0.0,0.0,600.000,600.000,2563,4.1,0,0.0,0.0,600.000,600.000,2639,1.2,0,0.0,0.0,600.000,600.000,2705,2.9,0,0.0,0.0,600.000,600.000,0,1,2948
31-10-25-0.2,700,5,8624,152102,414.4,7413,0.0,3.0,510.572,510.572,9719,262.1,3915,0.0,2.5,510.572,510.572,9680,786.6,1003,0.0,2.4,510.572,510.572,20433,415.4,911,0.0,2.4,510.572,510.572,0,1,15616
32-10-25-0.2,700,10,7294,123992,822.3,10549,0.0,1.9,553.668,553.668,9591,1001.1,33649,0.0,1.1,553.668,553.668,8047,1807.0,26714,0.0,1.2,553.668,553.668,11336,953.1,2215,0.0,1.0,553.668,553.668,0,1,9981
33-10-25-0.2,700,70,7110,121930,TL,98433,0.2,0.9,687.553,689.228,5800,TL,110712,0.2,0.7,687.650,689.101,5859,TL,83938,0.2,0.7,687.666,689.074,9236,TL,93572,0.2,0.5,687.650,689.050,0,1,8191
34-10-25-0.2,700,140,8044,141988,24.5,1669,0.0,<0.1,699.831,699.831,2691,10.8,361,0.0,<0.1,699.831,699.831,2654,22.8,662,0.0,<0.1,699.832,699.832,2836,13.2,93,0.0,0.0,699.831,699.831,0,1,2701
35-10-25-0.2,800,5,14838,312066,87.6,565,0.0,1.1,668.820,668.820,6461,42.2,308,0.0,1.0,668.820,668.820,5510,118.4,233,0.0,1.1,668.820,668.820,8136,67.5,159,0.0,0.9,668.820,668.820,0,1,5704
36-10-25-0.2,800,10,10904,224412,TL,53176,0.4,1.5,677.465,680.135,11131,TL,39592,0.2,1.3,677.465,678.985,9909,TL,34092,0.4,1.4,677.251,680.318,16818,TL,45106,0.2,1.0,677.499,679.145,0,1,13153
37-10-25-0.2,800,80,9072,186296,TL,93814,0.2,0.6,790.235,791.804,5103,TL,78420,0.2,0.5,790.282,791.724,5314,TL,70759,0.2,0.5,789.799,791.743,8722,TL,82461,0.2,0.5,790.338,791.594,0,1,7610
38-10-25-0.2,900,5,21526,466312,1108.2,8053,0.0,1.6,788.212,788.212,10548,792.5,2847,0.0,1.5,788.212,788.212,8482,2715.9,8683,0.0,1.5,788.212,788.212,18856,827.6,2245,0.0,1.2,788.212,788.212,0,1,14729
39-10-25-0.2,900,10,21248,471774,TL,56944,0.2,0.5,841.039,842.682,8323,TL,43027,0.1,0.6,841.150,842.241,8113,TL,48382,0.3,0.6,840.521,842.777,9576,TL,46527,0.1,0.5,840.944,842.266,0,1,8855
40-10-25-0.2,900,90,14636,345298,TL,139772,<0.1,0.2,896.970,897.282,2883,TL,142114,<0.1,0.2,897.028,897.269,2710,TL,102474,<0.1,0.1,897.024,897.255,4156,TL,99743,<0.1,0.1,897.084,897.244,0,1,3812

