,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,B&C-I,,,,,,,,
10-10-25-0.5,200,67,526,1372,17.0,2084,0.0,0.8,182.753,182.753,1292,12.6,1921,0.0,0.8,182.753,182.753,1150,0.7,58,0.0,0.5,182.753,182.753,1423,1.2,135,0.0,0.5,182.753,182.753,0,1,1506
11-10-25-0.5,300,5,1004,3968,0.2,9,0.0,<0.1,95.450,95.450,1075,0.2,7,0.0,<0.1,95.450,95.450,1000,0.4,0,0.0,0.0,95.450,95.450,1092,0.2,0,0.0,0.0,95.450,95.450,0,1,1077
12-10-25-0.5,300,10,814,2756,1.2,89,0.0,0.6,120.580,120.580,1877,1.8,45,0.0,0.5,120.580,120.580,1611,0.4,0,0.0,0.0,120.580,120.580,1364,0.4,0,0.0,0.0,120.580,120.580,0,1,1375
13-10-25-0.5,300,30,902,3342,16.1,1192,0.0,2.0,198.405,198.405,1827,5.5,458,0.0,1.9,198.405,198.405,1507,2.8,20,0.0,1.5,198.405,198.405,1568,2.1,27,0.0,1.5,198.405,198.405,0,1,1691
14-10-25-0.5,300,60,804,2722,13.2,1474,0.0,0.5,245.202,245.202,2061,7.2,1870,0.0,0.3,245.202,245.202,1679,4.7,132,0.0,0.1,245.202,245.202,2034,1.4,111,0.0,0.1,245.202,245.202,0,1,1903
15-10-25-0.5,300,100,910,3470,465.0,67601,0.0,1.3,283.164,283.164,2505,48.0,6957,0.0,1.1,283.164,283.164,2266,13.4,1220,0.0,0.8,283.164,283.164,3233,15.3,1052,0.0,0.8,283.164,283.164,0,1,3017
16-10-25-0.5,400,5,1974,13784,3.5,110,0.0,2.3,177.563,177.563,3113,1.4,39,0.0,1.3,177.563,177.563,2531,1.9,16,0.0,0.5,177.563,177.563,2858,1.3,11,0.0,0.4,177.563,177.563,0,1,2558
17-10-25-0.5,400,10,1738,11266,37.0,1507,0.0,2.6,216.971,216.971,4658,8.7,543,0.0,1.7,216.971,216.971,3178,7.0,85,0.0,0.9,216.971,216.971,4448,7.9,47,0.0,0.9,216.971,216.971,0,1,4077
18-10-25-0.5,400,40,1430,7758,1133.8,136160,0.0,1.3,304.492,304.492,4635,389.9,33149,0.0,1.2,304.492,304.492,3582,42.1,770,0.0,1.1,304.492,304.492,4653,31.7,418,0.0,0.9,304.492,304.492,0,1,4845
19-10-25-0.5,400,80,1644,9618,311.3,39454,0.0,1.4,371.860,371.860,3032,83.8,7347,0.0,1.3,371.860,371.860,2678,15.3,613,0.0,1.1,371.860,371.860,3330,12.1,504,0.0,1.1,371.860,371.860,0,1,2799
20-10-25-0.5,400,133,1462,8014,107.9,14944,0.0,0.9,395.681,395.681,2251,12.0,1783,0.0,0.8,395.681,395.681,2128,11.5,562,0.0,0.8,395.681,395.681,2622,9.4,344,0.0,0.8,395.681,395.681,0,1,2431
21-10-25-0.5,500,5,2918,27626,1.1,15,0.0,0.2,246.640,246.640,2366,1.1,15,0.0,0.3,246.640,246.640,2453,0.7,0,0.0,0.0,246.640,246.640,2208,1.1,0,0.0,0.0,246.640,246.640,0,1,2210
22-10-25-0.5,500,10,2496,21494,121.1,2772,0.0,2.8,277.373,277.373,6682,50.1,1017,0.0,2.2,277.373,277.373,5095,14.4,134,0.0,1.2,277.373,277.373,6271,24.6,151,0.0,1.7,277.373,277.373,0,1,6019
23-10-25-0.5,500,50,2772,24348,TL,235656,0.4,1.6,436.075,437.809,6646,TL,212107,0.2,1.5,436.546,437.546,6257,TL,33940,<0.1,1.3,436.637,436.939,12662,1979.3,30028,0.0,1.1,436.674,436.674,0,1,10770
24-10-25-0.5,500,100,2810,23810,TL,274630,0.3,0.8,485.598,487.049,4455,2429.5,209245,0.0,0.8,486.765,486.765,3618,774.2,21339,0.0,0.7,486.765,486.765,7668,441.8,18185,0.0,0.7,486.765,486.765,0,1,5907
25-10-25-0.5,500,167,3078,29866,12.9,1030,0.0,0.4,499.369,499.369,1650,22.2,2698,0.0,0.4,499.370,499.370,1719,26.9,1592,0.0,0.4,499.369,499.369,1990,14.8,372,0.0,0.4,499.369,499.369,0,1,2215
26-10-25-0.5,600,5,5086,70238,27.9,352,0.0,2.3,356.703,356.703,6085,15.9,203,0.0,1.8,356.703,356.703,5329,28.7,108,0.0,1.6,356.703,356.703,7218,28.7,90,0.0,1.7,356.703,356.703,0,1,6917
27-10-25-0.5,600,10,5420,75078,684.9,23784,0.0,1.4,431.380,431.380,8083,123.4,2007,0.0,1.2,431.380,431.380,5067,354.0,1827,0.0,1.1,431.380,431.380,7565,166.2,1133,0.0,1.0,431.380,431.380,0,1,6747
28-10-25-0.5,600,60,5338,78458,TL,165914,0.3,1.3,565.184,566.671,5230,TL,155460,0.1,1.2,565.953,566.548,4877,TL,109494,0.2,1.2,565.375,566.446,7483,TL,143037,0.1,1.0,565.937,566.558,0,1,7746
29-10-25-0.5,600,120,4982,67654,TL,297838,<0.1,0.5,594.623,594.720,2755,338.9,23638,0.0,0.5,594.671,594.671,2510,1359.1,77056,0.0,0.5,594.671,594.671,3918,515.3,27947,0.0,0.5,594.671,594.671,0,1,3411
30-10-25-0.5,600,200,4284,48514,0.0,0,0.0,0.0,600.000,600.000,0,0.0,0,0.0,0.0,600.000,600.000,0,0.1,0,0.0,0.0,600.000,600.000,0,0.1,0,0.0,0.0,600.000,600.000,1,2,0
31-10-25-0.5,700,5,8624,152102,88.7,788,0.0,2.0,490.908,490.908,8323,64.1,603,0.0,2.2,490.908,490.908,6616,210.3,379,0.0,2.2,490.908,490.908,11853,118.5,274,0.0,1.9,490.908,490.908,0,1,9943
32-10-25-0.5,700,10,7294,123992,146.1,1188,0.0,0.9,533.118,533.118,6143,114.5,944,0.0,1.2,533.118,533.118,6125,156.7,457,0.0,0.9,533.118,533.118,7578,89.8,303,0.0,0.6,533.118,533.118,0,1,7798
33-10-25-0.5,700,70,7110,121930,TL,126093,0.1,0.6,679.720,680.613,4604,TL,119753,<0.1,0.8,680.013,680.340,4195,TL,108495,<0.1,0.8,679.829,680.316,6414,TL,87417,<0.1,0.7,680.020,680.226,0,1,5687
34-10-25-0.5,700,140,8044,141988,8.3,369,0.0,0.0,699.595,699.595,2172,3.5,27,0.0,0.2,699.595,699.595,2744,45.5,2053,0.0,0.1,699.595,699.595,2884,8.2,29,0.0,<0.1,699.595,699.595,0,1,2813
35-10-25-0.5,800,5,14838,312066,28.5,121,0.0,1.1,640.362,640.362,5543,24.7,139,0.0,1.2,640.362,640.362,5222,50.9,97,0.0,1.1,640.362,640.362,6624,52.2,91,0.0,1.1,640.362,640.362,0,1,5922
36-10-25-0.5,800,10,10904,224412,TL,33704,0.4,1.6,649.240,652.021,11619,TL,35973,0.4,1.4,649.060,651.771,10996,TL,28580,0.4,1.6,649.060,651.965,14595,TL,29464,0.4,1.4,649.240,651.741,0,1,13117
37-10-25-0.5,800,80,9072,186296,TL,125280,0.2,0.5,782.757,784.068,4728,TL,114903,<0.1,0.5,783.412,783.880,4008,TL,84637,0.1,0.6,782.979,783.848,6727,TL,71592,<0.1,0.5,783.493,783.755,0,1,5473
38-10-25-0.5,900,5,21526,466312,278.2,1127,0.0,1.5,755.858,755.858,7872,85.0,502,0.0,1.1,755.858,755.858,8161,259.1,498,0.0,1.1,755.858,755.858,9859,281.3,534,0.0,1.4,755.858,755.858,0,1,9856
39-10-25-0.5,900,10,21248,471774,TL,28460,0.2,0.9,813.623,815.249,7683,TL,20258,0.2,0.9,813.695,815.606,7723,TL,30118,0.2,0.9,813.774,815.090,8409,TL,27518,0.1,0.8,813.694,814.756,0,1,8040
40-10-25-0.5,900,90,14636,345298,TL,184872,<0.1,0.3,893.344,893.430,2685,TL,167687,<0.1,0.3,893.329,893.525,2684,3568.6,176242,0.0,0.2,893.376,893.376,3414,TL,156812,<0.1,0.3,893.360,893.427,0,1,3152

