,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-10-25-0.5,100,5,138,60,0.0,0,0.0,0.0,17.533,17.533,225,0.0,0,0.0,0.0,17.533,17.533,224,0.1,0,0.0,0.0,17.533,17.533,233,0.0,0,0.0,0.0,17.533,17.533,0,1,229
2-10-25-0.5,100,10,152,78,0.1,0,0.0,0.0,31.697,31.697,255,0.3,0,0.0,0.0,31.697,31.697,239,0.1,0,0.0,0.0,31.697,31.697,263,1.2,0,0.0,0.0,31.697,31.697,0,1,261
3-10-25-0.5,100,10,136,110,0.1,0,0.0,0.0,32.000,32.000,264,0.2,0,0.0,0.0,32.000,32.000,249,0.1,0,0.0,0.0,32.000,32.000,266,0.0,0,0.0,0.0,32.000,32.000,0,1,267
4-10-25-0.5,100,20,126,66,0.0,0,0.0,0.0,43.522,43.522,253,0.0,0,0.0,0.0,43.522,43.522,250,0.0,0,0.0,0.0,43.522,43.522,270,0.0,0,0.0,0.0,43.522,43.522,0,1,261
5-10-25-0.5,100,33,174,116,0.1,7,0.0,1.5,70.344,70.344,360,0.5,8,0.0,1.5,70.344,70.344,342,0.1,0,0.0,0.0,70.344,70.344,378,1.0,0,0.0,0.0,70.344,70.344,0,1,361
6-10-25-0.5,200,5,408,628,0.1,0,0.0,0.0,41.113,41.113,511,0.1,0,0.0,0.0,41.113,41.113,517,0.1,0,0.0,0.0,41.113,41.113,555,0.1,0,0.0,0.0,41.113,41.113,0,1,539
7-10-25-0.5,200,10,414,906,0.3,28,0.0,0.7,67.616,67.616,740,0.3,43,0.0,0.7,67.616,67.616,732,0.1,0,0.0,0.0,67.616,67.616,762,0.1,0,0.0,0.0,67.616,67.616,0,1,761
8-10-25-0.5,200,20,360,658,0.4,61,0.0,0.3,93.115,93.115,700,0.4,32,0.0,0.4,93.115,93.115,696,0.1,0,0.0,0.0,93.115,93.115,703,0.3,0,0.0,0.0,93.115,93.115,0,1,702
9-10-25-0.5,200,40,418,686,1.7,488,0.0,1.1,140.162,140.162,842,1.3,57,0.0,1.0,140.162,140.162,712,1.0,16,0.0,0.9,140.162,140.162,874,0.3,13,0.0,0.9,140.162,140.162,0,1,836
