,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
21-5-20-0.2,500,5,1186,12832,0.7,7,0.0,0.4,149.161600,149.162,1957,996,961,0.7,13,0.0,0.4,149.161600,149.162,2015,966,1049,0.5,0,0.0,0.0,149.161600,149.162,2250,827,831,592,0.5,0,0.0,0.0,149.161600,149.162,2249,845,830,574
22-5-20-0.2,500,10,1090,9960,84.6,2991,0.0,3.2,178.498506,178.499,6351,3486,2865,68.8,2323,0.0,2.4,178.498506,178.499,4758,2492,2266,5.4,76,0.0,1.2,178.498506,178.499,5664,1728,1128,2808,4.0,67,0.0,1.0,178.498506,178.499,5741,1810,1197,2734
23-5-20-0.2,500,50,1196,11222,TL,167727,1.0,2.4,363.018155,366.530,7943,3811,4132,TL,178742,0.8,1.8,363.446989,366.329,7559,3468,4091,TL,125417,0.6,1.3,363.638733,365.659,21327,3602,2766,14959,TL,125027,0.5,1.2,363.481235,365.441,19621,3252,2962,13407
24-5-20-0.2,500,100,1174,11328,TL,157305,1.0,1.9,437.451798,441.645,6814,3288,3526,TL,185497,0.5,1.2,439.348646,441.526,6143,2547,3596,TL,136427,0.6,1.1,438.739856,441.490,20602,3532,2470,14600,TL,156524,0.4,0.7,439.411960,441.270,20456,3207,2775,14474
25-5-20-0.2,500,167,1258,13962,TL,161799,0.9,1.9,480.249931,484.500,5368,2828,2540,TL,171501,0.5,1.3,482.170127,484.378,5403,2475,2928,TL,89644,0.6,0.9,481.383279,484.145,22456,3378,1870,17208,TL,62861,0.3,0.5,482.424026,484.005,18774,2909,1871,13994
26-5-20-0.2,600,5,1706,30160,15.0,358,0.0,2.2,221.743919,221.744,5684,3018,2666,6.8,165,0.0,2.0,221.743919,221.744,5044,2700,2344,7.2,60,0.0,1.2,221.743919,221.744,6343,2126,1668,2549,4.7,35,0.0,1.0,221.743919,221.744,5787,2087,1608,2092
27-5-20-0.2,600,10,1764,32768,1259.3,58977,0.0,2.5,305.542315,305.542,9237,3455,5782,528.0,16258,0.0,2.2,305.542315,305.542,7493,3183,4310,428.1,3101,0.0,1.6,305.542315,305.542,13052,2913,2313,7826,197.5,1680,0.0,1.5,305.542315,305.542,10280,2459,2368,5453
28-5-20-0.2,600,60,1716,33584,TL,73440,0.7,1.6,502.771308,506.535,8636,4398,4238,TL,96492,0.7,1.3,503.191484,506.529,7484,3258,4226,TL,61381,0.7,1.2,502.788468,506.225,20485,4539,3535,12411,TL,62417,0.7,0.9,502.789455,506.155,19083,4066,3836,11181
29-5-20-0.2,600,120,1714,28968,TL,107581,1.1,1.8,558.041154,563.975,6501,3589,2912,TL,77606,0.7,1.2,559.897262,563.640,5623,2782,2841,TL,48013,0.9,1.3,558.653929,563.661,20462,4407,2361,13694,TL,51361,0.6,0.8,559.843086,563.386,16394,3657,2463,10274
30-5-20-0.2,600,200,1570,21010,TL,138163,0.7,1.0,587.734356,591.834,4725,2499,2226,TL,164910,0.4,0.6,589.507915,591.689,4467,2224,2243,TL,123465,0.3,0.4,589.899232,591.542,17195,3091,1794,12310,TL,146594,0.2,0.3,590.090380,591.542,14056,2558,2176,9322
31-5-20-0.2,700,5,2542,64420,222.0,2986,0.0,3.7,314.322815,314.323,9695,5112,4583,154.2,2260,0.0,4.1,314.322815,314.323,7446,3802,3644,94.5,318,0.0,3.6,314.322815,314.323,16255,4107,2571,9577,56.0,216,0.0,3.3,314.322815,314.323,12730,3665,2609,6456
32-5-20-0.2,700,10,2218,50474,305.5,4076,0.0,1.6,374.870689,374.871,8538,4073,4465,122.0,1814,0.0,1.3,374.870689,374.871,7355,3693,3662,44.9,215,0.0,0.9,374.870689,374.871,10360,3234,2686,4440,38.1,191,0.0,0.8,374.870689,374.871,9917,3025,2617,4275
33-5-20-0.2,700,70,2268,49250,TL,58128,0.7,1.4,620.396174,624.787,9773,4809,4964,TL,59677,0.7,1.2,619.992601,624.521,9173,4031,5142,TL,38495,0.6,1.0,620.211451,624.276,20287,5281,3744,11262,TL,41570,0.5,0.7,621.064221,623.968,19422,4664,3739,11019
34-5-20-0.2,700,140,2450,58282,TL,80769,0.5,1.0,677.852989,681.429,6042,3604,2438,TL,77264,0.3,0.7,679.007363,681.269,5391,2915,2476,TL,44567,0.5,0.7,677.958770,681.267,15946,3926,1823,10197,TL,58719,0.3,0.4,678.992821,681.067,14361,3609,2396,8356
35-5-20-0.2,800,5,3424,143422,28.0,237,0.0,1.6,460.698259,460.698,7048,3746,3302,19.0,102,0.0,1.4,460.698259,460.698,7266,3252,4014,22.7,66,0.0,1.3,460.698259,460.698,9336,2933,4447,1956,20.4,65,0.0,1.1,460.698259,460.698,7505,2761,2971,1773
36-5-20-0.2,800,10,3052,91980,TL,46545,0.9,2.9,479.222647,483.804,13013,5428,7585,TL,39653,0.7,2.5,479.212522,482.674,13682,5247,8435,TL,32090,0.8,2.3,479.222647,483.038,26662,5439,7186,14037,TL,31128,0.8,2.1,479.222647,483.008,25094,4928,7259,12907
37-5-20-0.2,800,80,2762,71842,TL,48021,0.6,1.0,725.966825,730.048,9003,4581,4422,TL,57532,0.5,0.7,726.466401,729.914,8316,3671,4645,TL,25132,0.6,0.9,725.354706,729.948,16323,4666,3172,8485,TL,36980,0.4,0.6,726.474278,729.602,17916,4426,4421,9069
38-5-20-0.2,900,5,4520,224438,445.4,2818,0.0,2.8,563.034051,563.034,12012,5263,6749,219.4,1319,0.0,2.2,563.034051,563.034,9290,4840,4450,376.3,492,0.0,2.2,563.034051,563.034,20507,4416,3382,12709,232.5,383,0.0,2.1,563.034051,563.034,19304,4478,3692,11134
39-5-20-0.2,900,10,4450,227826,2007.6,25598,0.0,1.1,682.841890,682.842,12627,4732,7895,1832.8,23974,0.0,1.1,682.841890,682.842,12217,4424,7793,1922.2,15179,0.0,1.0,682.841890,682.842,19462,4636,6079,8747,1248.7,7630,0.0,0.9,682.841890,682.842,19782,4609,6960,8213
40-5-20-0.2,900,90,3552,140956,TL,50525,0.4,0.7,851.729675,855.563,8001,4621,3380,TL,50769,0.3,0.5,852.412827,855.357,7736,3912,3824,TL,33014,0.4,0.6,851.648407,855.423,15009,4984,2742,7283,TL,34881,0.3,0.4,852.960283,855.235,14748,4553,2959,7236
1-5-20-0.5,100,5,114,64,0.0,0,0.0,0.0,14.600000,14.600,247,119,128,0.0,0,0.0,0.0,14.600000,14.600,230,111,119,0.0,0,0.0,0.0,14.600000,14.600,260,119,125,16,0.0,0,0.0,0.0,14.600000,14.600,246,111,115,20
