,,,,,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,r,R,theta,p_s,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
2-1-20-0.01-0.2,100,10,1,20,0.01,0.2,106,94,0.2,80,0.0,1.0,17.358400,17.358,254,116,138,0.3,370,0.0,1.3,17.358400,17.358,260,120,140,0.7,43,0.0,1.0,17.358400,17.358,435,122,127,186,0.1,101,0.0,0.6,17.358400,17.358,391,117,132,142
2-1-20-0.01-0.5,100,10,1,20,0.01,0.5,106,94,0.1,69,0.0,0.2,23.747500,23.747,278,132,146,0.1,0,0.0,0.0,23.747500,23.747,272,127,145,0.1,0,0.0,0.0,23.747500,23.747,354,132,138,84,0.0,0,0.0,0.0,23.747500,23.747,327,129,140,58
2-1-20-0.1-0.1,100,10,1,20,0.1,0.1,106,94,0.7,1628,0.0,0.7,15.181000,15.181,282,127,155,0.9,2106,0.0,0.8,15.181000,15.181,266,119,147,1.2,133,0.0,0.6,15.181000,15.181,392,120,126,146,0.1,20,0.0,0.4,15.181000,15.181,388,116,134,138
2-1-20-0.1-0.2,100,10,1,20,0.1,0.2,106,94,0.4,587,0.0,0.4,17.344000,17.344,256,121,135,0.1,119,0.0,0.6,17.344000,17.344,249,115,134,0.2,15,0.0,0.3,17.344000,17.344,357,115,126,116,0.1,41,0.0,0.1,17.344000,17.344,361,115,128,118
2-1-20-0.1-0.5,100,10,1,20,0.1,0.5,106,94,0.1,0,0.0,0.0,23.725000,23.725,269,129,140,0.2,0,0.0,0.0,23.725000,23.725,269,126,143,0.1,0,0.0,0.0,23.725000,23.725,307,122,129,56,0.0,0,0.0,0.0,23.725000,23.725,298,120,132,46
2-1-20-0.2-0.1,100,10,1,20,0.2,0.1,106,94,0.1,67,0.0,0.2,15.172000,15.172,269,127,142,0.5,446,0.0,0.3,15.172000,15.172,271,125,146,0.1,13,0.0,0.3,15.172000,15.172,373,127,134,112,0.1,5,0.0,0.2,15.172000,15.172,338,115,131,92
2-1-20-0.2-0.2,100,10,1,20,0.2,0.2,106,94,0.3,59,0.0,0.1,17.328000,17.328,251,119,132,0.1,0,0.0,0.0,17.328000,17.328,245,119,126,0.1,0,0.0,0.0,17.328000,17.328,315,119,130,66,0.1,0,0.0,0.0,17.328000,17.328,293,118,127,48
2-1-20-0.2-0.5,100,10,1,20,0.2,0.5,106,94,0.1,0,0.0,0.0,23.700000,23.700,271,132,139,0.1,0,0.0,0.0,23.700000,23.700,273,130,143,0.0,0,0.0,0.0,23.700000,23.700,295,124,129,42,0.1,0,0.0,0.0,23.700000,23.700,301,124,133,44
2-2-20-0.01-0.1,100,10,2,20,0.01,0.1,112,88,1.2,31,0.0,0.3,17.578200,17.578,245,113,132,0.1,161,0.0,0.3,17.578200,17.578,251,118,133,0.1,6,0.0,0.1,17.578200,17.578,290,112,122,56,0.1,3,0.0,0.0,17.578200,17.578,281,112,123,46
2-2-20-0.01-0.2,100,10,2,20,0.01,0.2,112,88,0.9,966,0.0,0.7,19.116800,19.117,251,118,133,0.1,27,0.0,0.1,19.116800,19.117,240,113,127,0.1,5,0.0,0.2,19.116800,19.117,299,112,123,64,0.1,6,0.0,0.2,19.116800,19.117,288,112,124,52
2-2-20-0.01-0.5,100,10,2,20,0.01,0.5,112,88,0.2,1,0.0,0.0,24.247500,24.247,256,125,131,0.1,0,0.0,0.0,24.247500,24.247,257,121,136,0.1,0,0.0,0.0,24.247500,24.247,352,132,132,88,0.1,0,0.0,0.0,24.247500,24.247,319,125,136,58
2-2-20-0.1-0.1,100,10,2,20,0.1,0.1,112,88,1.4,274,0.0,0.2,17.562000,17.562,250,115,135,0.1,173,0.0,0.2,17.562000,17.562,245,112,133,0.1,14,0.0,0.1,17.562000,17.562,295,112,125,58,0.1,15,0.0,0.1,17.562000,17.562,299,112,125,62
2-2-20-0.1-0.2,100,10,2,20,0.1,0.2,112,88,0.4,4,0.0,0.1,19.088000,19.088,239,117,122,0.1,35,0.0,0.1,19.088000,19.088,243,117,126,0.5,26,0.0,0.1,19.088000,19.088,308,116,120,72,0.1,0,0.0,0.0,19.088000,19.088,290,116,122,52
2-2-20-0.1-0.5,100,10,2,20,0.1,0.5,112,88,0.1,0,0.0,0.0,24.225000,24.225,258,122,136,0.1,0,0.0,0.0,24.225000,24.225,249,119,130,0.1,0,0.0,0.0,24.225000,24.225,334,131,133,70,0.0,0,0.0,0.0,24.225000,24.225,288,113,121,54
2-2-20-0.2-0.1,100,10,2,20,0.2,0.1,112,88,0.3,5,0.0,0.0,17.544000,17.544,243,116,127,0.0,0,0.0,0.0,17.544000,17.544,242,117,125,0.1,0,0.0,0.0,17.544000,17.544,289,116,123,50,0.0,0,0.0,0.0,17.544000,17.544,281,116,125,40
2-2-20-0.2-0.2,100,10,2,20,0.2,0.2,112,88,0.1,0,0.0,0.0,19.056000,19.056,253,124,129,0.1,2,0.0,0.0,19.056000,19.056,245,117,128,0.0,0,0.0,0.0,19.056000,19.056,279,116,119,44,0.0,0,0.0,0.0,19.056000,19.056,277,116,125,36
2-2-20-0.2-0.5,100,10,2,20,0.2,0.5,112,88,0.1,0,0.0,0.0,24.200000,24.200,262,127,135,0.1,0,0.0,0.0,24.200000,24.200,251,119,132,0.0,0,0.0,0.0,24.200000,24.200,330,131,129,70,0.0,0,0.0,0.0,24.200000,24.200,290,113,123,54
3-1-20-0.01-0.1,100,10,1,20,0.01,0.1,106,110,4.4,475,0.0,1.9,15.558241,15.558,301,133,168,0.6,1383,0.0,1.6,15.558241,15.558,289,128,161,0.4,17,0.0,0.5,15.558241,15.558,419,129,138,152,0.1,14,0.0,0.4,15.558241,15.558,435,125,132,178
3-1-20-0.01-0.2,100,10,1,20,0.01,0.2,106,110,0.5,592,0.0,2.8,17.873536,17.874,333,142,191,1.1,1976,0.0,2.9,17.873536,17.874,319,134,185,0.3,24,0.0,0.7,17.873536,17.874,552,126,137,289,0.1,25,0.0,0.8,17.873536,17.874,447,129,136,182
3-1-20-0.01-0.5,100,10,1,20,0.01,0.5,106,110,1.0,2331,0.0,3.7,24.613750,24.614,325,145,180,1.6,1499,0.0,3.0,24.613750,24.614,308,132,176,0.4,28,0.0,0.8,24.613750,24.614,482,127,145,210,0.1,23,0.0,0.7,24.613750,24.614,484,128,142,214
3-1-20-0.1-0.1,100,10,1,20,0.1,0.1,106,110,1.1,1979,0.0,1.7,15.489310,15.489,329,134,195,0.6,1006,0.0,2.0,15.489310,15.489,304,123,181,0.3,13,0.0,0.5,15.489310,15.489,469,127,130,212,0.1,29,0.0,0.6,15.489310,15.489,459,126,131,202
3-1-20-0.1-0.2,100,10,1,20,0.1,0.2,106,110,8.3,1007,0.0,2.8,17.757760,17.758,338,141,197,0.9,1500,0.0,2.4,17.757760,17.758,320,131,189,0.4,35,0.0,1.0,17.757760,17.758,487,125,142,220,0.1,27,0.0,0.7,17.757760,17.758,445,125,140,180
3-1-20-0.1-0.5,100,10,1,20,0.1,0.5,106,110,1.5,842,0.0,3.0,24.512500,24.512,324,134,190,1.0,17,0.0,0.6,24.512500,24.512,306,127,179,2.8,1181,0.0,0.6,24.512500,24.512,510,133,147,230,0.1,16,0.0,0.3,24.512500,24.512,462,129,153,180
