,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,
27-5-20-0.2,600,10,1764,32768,TL,27053,3.8,7.9,305.065,316.525,0,1,38584,231.3,1977,0.0,1.7,305.542,305.542,1,2,8424
28-5-20-0.2,600,60,1716,33584,TL,815,3.9,4.1,499.879,519.592,1,2,15644,TL,50366,0.6,1.6,503.056,505.964,2,2,13248
29-5-20-0.2,600,120,1714,28968,TL,572,2.9,3.1,558.041,574.455,2,2,9455,TL,52445,0.6,1.2,559.642,563.249,1,2,12625
30-5-20-0.2,600,200,1570,21010,TL,4486,0.9,1.0,587.734,593.144,3,2,7892,TL,108303,0.2,0.7,590.137,591.469,2,2,9577
31-5-20-0.2,700,5,2542,64420,2891.2,28579,0.0,9.3,314.323,314.323,0,1,40630,67.2,215,0.0,3.3,314.323,314.323,0,1,9940
32-5-20-0.2,700,10,2218,50474,TL,20917,3.5,7.3,373.565,386.636,0,1,31882,50.6,215,0.0,0.9,374.852,374.852,0,1,7352
33-5-20-0.2,700,70,2268,49250,TL,673,3.8,3.9,616.871,640.078,1,2,16814,TL,49598,0.6,1.4,620.411,624.007,2,2,15299
34-5-20-0.2,700,140,2450,58282,TL,725,1.3,1.3,677.666,686.227,0,1,8446,TL,81622,0.3,0.6,678.751,681.124,0,1,11052
35-5-20-0.2,800,5,3424,143422,TL,5544,4.0,8.9,460.698,479.258,0,1,81787,27.4,65,0.0,1.3,460.698,460.698,0,1,6786
36-5-20-0.2,800,10,3052,91980,TL,8368,6.0,8.3,479.206,507.961,0,1,34117,TL,43681,0.6,2.2,479.250,481.976,0,1,18527
37-5-20-0.2,800,80,2762,71842,TL,450,2.9,3.0,724.404,745.530,2,2,14484,TL,51093,0.4,0.9,726.456,729.569,1,2,13215
38-5-20-0.2,900,5,4520,224438,TL,2643,8.3,10.9,561.875,608.695,0,1,66667,264.5,393,0.0,2.0,563.034,563.034,0,1,13985
39-5-20-0.2,900,10,4450,227826,TL,1932,5.7,6.4,682.764,721.962,0,1,51622,1304.5,8692,0.0,0.9,682.842,682.842,0,1,15296
40-5-20-0.2,900,90,3552,140956,TL,515,2.0,2.0,851.648,868.960,3,2,12531,TL,32649,0.3,0.5,852.642,855.197,1,2,11523

