,,,,,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
5-1-20-0.1-50,100,33,1,20,0.1,50,104,140,0.1,109,0.0,0.4,48.670604,48.671,305,152,153,0.8,1424,0.0,0.6,48.670604,48.671,289,143,146,0.0,4,0.0,0.0,48.670604,48.671,350,140,132,78,0.0,3,0.0,0.0,48.670604,48.671,348,140,132,76
5-1-20-0.1-90,100,33,1,20,0.1,90,104,140,0.5,507,0.0,0.1,38.201361,38.201,259,150,109,0.5,495,0.0,0.2,38.201361,38.201,275,156,119,1.3,1956,0.0,0.0,38.201361,38.201,419,152,119,148,6.0,10761,0.0,0.0,38.201361,38.201,401,147,118,136
5-1-20-0.2-10,100,33,1,20,0.2,10,104,140,0.4,492,0.0,0.7,49.573904,49.574,384,196,188,1.0,1483,0.0,0.8,49.573904,49.574,360,166,194,0.1,15,0.0,0.3,49.573904,49.574,504,165,139,200,0.1,23,0.0,0.2,49.573904,49.574,470,157,141,172
5-1-20-0.2-50,100,33,1,20,0.2,50,104,140,0.1,53,0.0,0.2,48.585291,48.585,285,141,144,0.0,9,0.0,0.1,48.585291,48.585,282,140,142,0.1,4,0.0,0.0,48.585291,48.585,345,138,131,76,0.8,973,0.0,0.0,48.585291,48.585,348,144,138,66
5-1-20-0.2-90,100,33,1,20,0.2,90,104,140,0.5,506,0.0,0.1,38.178011,38.178,276,158,118,0.5,504,0.0,0.1,38.178011,38.178,286,163,123,0.8,986,0.0,0.0,38.178011,38.178,410,154,120,136,TL,7493698,0.0,0.0,38.178011,38.178,401,144,111,146
5-2-20-0.01-10,100,33,2,20,0.01,10,110,134,1.6,2715,0.0,1.7,51.385473,51.385,415,214,201,1.3,2303,0.0,1.6,51.385473,51.385,386,193,193,0.1,23,0.0,0.4,51.385473,51.385,539,177,138,224,0.1,14,0.0,0.3,51.385473,51.385,514,176,150,188
5-2-20-0.01-50,100,33,2,20,0.01,50,110,134,0.3,448,0.0,0.9,50.183013,50.183,325,151,174,1.3,2028,0.0,0.8,50.183013,50.183,311,146,165,0.0,0,0.0,0.0,50.183013,50.183,374,144,132,98,0.0,0,0.0,0.0,50.183013,50.183,358,139,133,86
5-2-20-0.01-90,100,33,2,20,0.01,90,110,134,0.5,487,0.0,0.3,40.423954,40.424,251,145,106,0.8,961,0.0,0.5,40.423954,40.424,280,161,119,0.1,12,0.0,0.0,40.423954,40.424,376,141,107,128,0.1,12,0.0,0.0,40.423954,40.424,370,141,107,122
5-2-20-0.1-10,100,33,2,20,0.1,10,110,134,1.4,1962,0.0,1.2,51.198736,51.199,406,211,195,0.6,487,0.0,1.3,51.198736,51.199,384,191,193,0.1,19,0.0,0.3,51.198736,51.199,501,169,132,200,0.1,23,0.0,0.2,51.198736,51.199,478,162,146,170
5-2-20-0.1-50,100,33,2,20,0.1,50,110,134,0.7,694,0.0,0.4,50.116290,50.116,320,157,163,0.8,1014,0.0,0.4,50.116290,50.116,296,146,150,0.0,0,0.0,0.0,50.116290,50.116,358,140,132,86,0.0,0,0.0,0.0,50.116290,50.116,356,138,132,86
5-2-20-0.1-90,100,33,2,20,0.1,90,110,134,0.5,476,0.0,0.1,40.403967,40.404,257,151,106,0.5,489,0.0,0.1,40.403967,40.404,286,166,120,0.1,16,0.0,0.0,40.403967,40.404,371,142,107,122,0.1,14,0.0,0.0,40.403967,40.404,368,142,108,118
5-2-20-0.2-10,100,33,2,20,0.2,10,110,134,0.9,1013,0.0,0.8,51.054335,51.054,377,189,188,0.8,1006,0.0,0.6,51.054335,51.054,356,178,178,0.1,77,0.0,0.2,51.054335,51.054,490,160,140,190,0.1,16,0.0,0.1,51.054335,51.054,479,158,145,176
5-2-20-0.2-50,100,33,2,20,0.2,50,110,134,0.1,21,0.0,0.1,50.065721,50.066,291,142,149,0.5,1014,0.0,0.1,50.065721,50.066,280,136,144,0.0,0,0.0,0.0,50.065721,50.066,331,133,134,64,0.0,0,0.0,0.0,50.065721,50.066,331,132,135,64
5-2-20-0.2-90,100,33,2,20,0.2,90,110,134,0.5,487,0.0,0.1,40.381758,40.382,262,154,108,0.5,485,0.0,0.1,40.381758,40.382,284,165,119,0.1,15,0.0,0.0,40.381758,40.382,366,142,108,116,0.1,11,0.0,0.0,40.381758,40.382,368,142,108,118
6-1-20-0.01-10,200,5,1,20,0.01,10,220,506,0.0,0,0.0,0.0,22.456362,22.456,493,246,247,0.0,0,0.0,0.0,22.456362,22.456,478,237,241,0.0,0,0.0,0.0,22.456362,22.456,579,246,237,96,0.0,0,0.0,0.0,22.456362,22.456,540,237,237,66
6-1-20-0.01-50,200,5,1,20,0.01,50,220,506,0.1,0,0.0,0.0,20.400251,20.400,481,235,246,0.0,0,0.0,0.0,20.400251,20.400,472,234,238,0.0,0,0.0,0.0,20.400251,20.400,555,234,237,84,0.0,0,0.0,0.0,20.400251,20.400,549,234,237,78
6-1-20-0.01-90,200,5,1,20,0.01,90,220,506,0.1,9,0.0,0.3,16.800677,16.801,501,241,260,0.1,3,0.0,0.0,16.800677,16.801,502,237,265,0.1,0,0.0,0.0,16.800677,16.801,584,239,251,94,0.1,0,0.0,0.0,16.800677,16.801,554,232,244,78
6-1-20-0.1-10,200,5,1,20,0.1,10,220,506,0.1,0,0.0,0.0,22.456362,22.456,493,246,247,0.0,0,0.0,0.0,22.456362,22.456,478,237,241,0.0,0,0.0,0.0,22.456362,22.456,571,246,237,88,0.0,0,0.0,0.0,22.456362,22.456,540,237,237,66
6-1-20-0.1-50,200,5,1,20,0.1,50,220,506,0.0,0,0.0,0.0,20.400251,20.400,475,231,244,0.0,0,0.0,0.0,20.400251,20.400,472,231,241,0.0,0,0.0,0.0,20.400251,20.400,555,231,236,88,0.0,0,0.0,0.0,20.400251,20.400,545,231,236,78
6-1-20-0.1-90,200,5,1,20,0.1,90,220,506,0.1,0,0.0,0.0,16.776032,16.776,486,232,254,0.1,0,0.0,0.0,16.776032,16.776,480,230,250,0.0,0,0.0,0.0,16.776032,16.776,518,230,244,44,0.1,0,0.0,0.0,16.776032,16.776,548,230,244,74
6-1-20-0.2-10,200,5,1,20,0.2,10,220,506,0.0,0,0.0,0.0,22.456362,22.456,493,246,247,0.0,0,0.0,0.0,22.456362,22.456,493,246,247,0.0,0,0.0,0.0,22.456362,22.456,586,256,240,90,0.0,0,0.0,0.0,22.456362,22.456,547,246,241,60
6-1-20-0.2-50,200,5,1,20,0.2,50,220,506,0.0,0,0.0,0.0,20.400251,20.400,470,231,239,0.0,0,0.0,0.0,20.400251,20.400,470,231,239,0.0,0,0.0,0.0,20.400251,20.400,538,231,237,70,0.0,0,0.0,0.0,20.400251,20.400,528,231,237,60
6-1-20-0.2-90,200,5,1,20,0.2,90,220,506,0.1,0,0.0,0.0,16.748648,16.749,491,229,262,0.0,0,0.0,0.0,16.748648,16.749,491,229,262,0.0,0,0.0,0.0,16.748648,16.749,520,229,251,40,0.0,0,0.0,0.0,16.748648,16.749,508,229,251,28
6-2-20-0.01-10,200,5,2,20,0.01,10,238,488,0.1,0,0.0,0.0,24.120613,24.121,500,245,255,0.0,0,0.0,0.0,24.120613,24.121,502,236,266,0.0,0,0.0,0.0,24.120613,24.121,581,243,234,104,0.0,0,0.0,0.0,24.120613,24.121,526,234,238,54
6-2-20-0.01-50,200,5,2,20,0.01,50,238,488,0.0,0,0.0,0.0,22.301665,22.302,475,225,250,0.1,0,0.0,0.0,22.301665,22.302,481,227,254,0.1,0,0.0,0.0,22.301665,22.302,558,231,239,88,0.0,0,0.0,0.0,22.301665,22.302,555,229,234,92
6-2-20-0.01-90,200,5,2,20,0.01,90,238,488,0.0,0,0.0,0.0,18.330722,18.331,472,225,247,0.0,0,0.0,0.0,18.330722,18.331,472,225,247,0.0,0,0.0,0.0,18.330722,18.331,496,225,247,24,0.0,0,0.0,0.0,18.330722,18.331,496,225,247,24
6-2-20-0.1-10,200,5,2,20,0.1,10,238,488,0.1,0,0.0,0.0,24.120613,24.121,501,245,256,0.0,0,0.0,0.0,24.120613,24.121,491,243,248,0.1,0,0.0,0.0,24.120613,24.121,571,243,244,84,0.0,0,0.0,0.0,24.120613,24.121,567,243,244,80
6-2-20-0.1-50,200,5,2,20,0.1,50,238,488,0.0,0,0.0,0.0,22.301665,22.302,481,225,256,0.0,0,0.0,0.0,22.301665,22.302,471,227,244,0.0,0,0.0,0.0,22.301665,22.302,533,223,246,64,0.0,0,0.0,0.0,22.301665,22.302,521,227,234,60
6-2-20-0.1-90,200,5,2,20,0.1,90,238,488,0.0,0,0.0,0.0,18.330722,18.331,472,232,240,0.0,0,0.0,0.0,18.330722,18.331,462,222,240,0.0,0,0.0,0.0,18.330722,18.331,516,232,240,44,0.0,0,0.0,0.0,18.330722,18.331,486,222,240,24
6-2-20-0.2-10,200,5,2,20,0.2,10,238,488,0.0,0,0.0,0.0,24.120613,24.121,494,243,251,0.1,0,0.0,0.0,24.120613,24.121,493,243,250,0.0,0,0.0,0.0,24.120613,24.121,574,243,251,80,0.0,0,0.0,0.0,24.120613,24.121,557,243,246,68
6-2-20-0.2-50,200,5,2,20,0.2,50,238,488,0.1,0,0.0,0.0,22.301665,22.302,474,224,250,0.0,0,0.0,0.0,22.301665,22.302,464,222,242,0.0,0,0.0,0.0,22.301665,22.302,524,222,242,60,0.0,0,0.0,0.0,22.301665,22.302,516,222,242,52
6-2-20-0.2-90,200,5,2,20,0.2,90,238,488,0.0,0,0.0,0.0,18.330722,18.331,472,232,240,0.0,0,0.0,0.0,18.330722,18.331,462,222,240,0.0,0,0.0,0.0,18.330722,18.331,492,232,240,20,0.0,0,0.0,0.0,18.330722,18.331,462,222,240,0
7-1-20-0.01-10,200,10,1,20,0.01,10,212,672,0.5,209,0.0,2.1,40.165403,40.165,909,453,456,0.3,78,0.0,1.9,40.165403,40.165,730,351,379,0.3,37,0.0,1.2,40.165403,40.165,1192,378,320,494,0.3,19,0.0,0.9,40.165403,40.165,1234,381,391,462
7-1-20-0.01-50,200,10,1,20,0.01,50,212,672,0.1,17,0.0,0.5,39.681553,39.682,692,322,370,0.1,38,0.0,0.5,39.681553,39.682,637,289,348,0.1,14,0.0,0.2,39.681553,39.682,754,277,279,198,0.1,8,0.0,0.1,39.681553,39.682,778,280,286,212
7-1-20-0.01-90,200,10,1,20,0.01,90,212,672,0.1,4,0.0,0.2,31.708417,31.708,548,252,296,0.1,0,0.0,0.0,31.708417,31.708,544,252,292,0.1,0,0.0,0.0,31.708417,31.708,640,246,270,124,0.1,0,0.0,0.0,31.708417,31.708,669,256,267,146
7-1-20-0.1-10,200,10,1,20,0.1,10,212,672,0.3,74,0.0,1.8,39.794644,39.795,754,359,395,0.2,48,0.0,1.5,39.794644,39.795,753,361,392,0.3,17,0.0,0.9,39.794644,39.795,1191,364,351,476,0.3,19,0.0,0.8,39.794644,39.795,1166,354,344,468
7-1-20-0.1-50,200,10,1,20,0.1,50,212,672,0.1,24,0.0,0.4,39.341305,39.341,685,311,374,0.1,21,0.0,0.5,39.341305,39.341,599,281,318,0.1,0,0.0,0.0,39.341305,39.341,815,287,268,260,0.1,5,0.0,0.0,39.341305,39.341,776,280,276,220
7-1-20-0.1-90,200,10,1,20,0.1,90,212,672,0.1,0,0.0,0.0,31.018798,31.019,484,229,255,0.1,0,0.0,0.0,31.018798,31.019,492,229,263,0.1,0,0.0,0.0,31.018798,31.019,558,231,249,78,0.1,0,0.0,0.0,31.018798,31.019,553,229,248,76
7-1-20-0.2-10,200,10,1,20,0.2,10,212,672,0.4,140,0.0,1.3,39.382690,39.383,844,384,460,0.2,36,0.0,1.4,39.382690,39.383,691,319,372,0.3,28,0.0,0.7,39.382690,39.383,1132,358,342,432,0.3,13,0.0,0.6,39.382690,39.383,1047,334,305,408
7-1-20-0.2-50,200,10,1,20,0.2,50,212,672,0.1,1,0.0,0.0,38.963251,38.963,568,282,286,0.1,4,0.0,0.0,38.963251,38.963,575,287,288,0.1,0,0.0,0.0,38.963251,38.963,701,278,273,150,0.1,0,0.0,0.0,38.963251,38.963,679,275,276,128
7-1-20-0.2-90,200,10,1,20,0.2,90,212,672,0.1,6,0.0,0.4,30.404072,30.404,535,244,291,0.1,19,0.0,0.8,30.404072,30.404,528,242,286,0.1,0,0.0,0.0,30.404072,30.404,622,248,258,116,0.1,4,0.0,0.0,30.404072,30.404,623,247,260,116
7-2-20-0.01-10,200,10,2,20,0.01,10,220,664,0.5,227,0.0,1.7,40.864802,40.865,869,419,450,0.5,170,0.0,1.4,40.864802,40.865,843,362,481,0.2,31,0.0,1.4,40.864802,40.865,1148,367,309,472,0.3,36,0.0,1.1,40.864802,40.865,1141,374,325,442
7-2-20-0.01-50,200,10,2,20,0.01,50,220,664,0.1,15,0.0,0.5,40.678965,40.679,656,297,359,0.1,31,0.0,0.7,40.678965,40.679,651,307,344,0.1,0,0.0,0.0,40.678965,40.679,768,288,272,208,0.1,5,0.0,0.0,40.678965,40.679,763,281,278,204
7-2-20-0.01-90,200,10,2,20,0.01,90,220,664,0.1,0,0.0,0.0,32.134662,32.135,515,242,273,0.1,0,0.0,0.0,32.134662,32.135,506,243,263,0.1,0,0.0,0.0,32.134662,32.135,599,242,247,110,0.1,0,0.0,0.0,32.134662,32.135,601,241,250,110
7-2-20-0.1-10,200,10,2,20,0.1,10,220,664,0.4,175,0.0,1.7,40.500434,40.500,790,363,427,0.4,181,0.0,1.5,40.500434,40.500,731,343,388,0.3,55,0.0,1.1,40.500434,40.500,1191,377,316,498,0.3,30,0.0,1.1,40.500434,40.500,1086,358,338,390
7-2-20-0.1-50,200,10,2,20,0.1,50,220,664,0.1,21,0.0,0.3,40.355207,40.355,655,310,345,0.1,11,0.0,0.2,40.355207,40.355,628,294,334,0.1,0,0.0,0.0,40.355207,40.355,718,274,264,180,0.1,0,0.0,0.0,40.355207,40.355,723,273,282,168
7-2-20-0.1-90,200,10,2,20,0.1,90,220,664,0.1,8,0.0,0.0,31.601110,31.601,495,236,259,0.1,8,0.0,0.2,31.601110,31.601,495,236,259,0.0,0,0.0,0.0,31.601110,31.601,574,235,243,96,0.1,0,0.0,0.0,31.601110,31.601,570,233,241,96
7-2-20-0.2-10,200,10,2,20,0.2,10,220,664,0.4,174,0.0,1.6,40.153967,40.154,768,366,402,0.4,163,0.0,1.2,40.153967,40.154,755,365,390,0.8,44,0.0,1.1,40.153967,40.154,1233,361,322,550,0.3,25,0.0,0.9,40.153967,40.154,1049,349,314,386
7-2-20-0.2-50,200,10,2,20,0.2,50,220,664,0.1,11,0.0,0.1,39.995476,39.995,576,277,299,0.1,5,0.0,0.2,39.995476,39.995,550,271,279,0.1,0,0.0,0.0,39.995476,39.995,678,271,271,136,0.0,0,0.0,0.0,39.995476,39.995,671,271,266,134
7-2-20-0.2-90,200,10,2,20,0.2,90,220,664,0.1,23,0.0,0.3,31.082156,31.082,580,269,311,0.1,21,0.0,0.3,31.082156,31.082,602,267,335,0.1,0,0.0,0.0,31.082156,31.082,680,267,249,164,0.1,0,0.0,0.0,31.082156,31.082,729,260,281,188
8-1-20-0.01-10,200,20,1,20,0.01,10,208,488,0.1,23,0.0,0.1,58.599064,58.599,651,306,345,0.2,14,0.0,0.1,58.599064,58.599,695,310,385,0.1,3,0.0,0.0,58.599064,58.599,772,294,292,186,0.1,2,0.0,0.0,58.599064,58.599,744,280,296,168
8-1-20-0.01-50,200,20,1,20,0.01,50,208,488,0.1,15,0.0,0.2,50.342134,50.342,656,287,369,0.1,12,0.0,0.2,50.342134,50.342,618,275,343,0.1,0,0.0,0.0,50.342134,50.342,760,282,286,192,0.1,0,0.0,0.0,50.342134,50.342,756,276,310,170
8-1-20-0.01-90,200,20,1,20,0.01,90,208,488,0.6,500,0.0,0.1,35.046217,35.046,527,257,270,0.4,355,0.0,0.1,35.046217,35.046,514,252,262,0.1,3,0.0,0.0,35.046217,35.046,567,248,243,76,0.1,12,0.0,0.1,35.046217,35.046,551,251,236,64
8-1-20-0.1-10,200,20,1,20,0.1,10,208,488,0.1,9,0.0,0.1,58.152986,58.153,662,318,344,0.1,10,0.0,0.2,58.152986,58.153,626,290,336,0.1,0,0.0,0.0,58.152986,58.153,713,287,284,142,0.0,0,0.0,0.0,58.152986,58.153,672,275,289,108
8-1-20-0.1-50,200,20,1,20,0.1,50,208,488,0.1,14,0.0,0.0,49.832668,49.833,610,279,331,0.2,74,0.0,0.3,49.832668,49.833,630,282,348,0.1,3,0.0,0.0,49.832668,49.833,736,278,294,164,0.1,8,0.0,0.0,49.832668,49.833,717,278,287,152
8-1-20-0.1-90,200,20,1,20,0.1,90,208,488,0.4,301,0.0,0.1,34.850736,34.851,507,257,250,0.2,124,0.0,0.3,34.850736,34.851,507,251,256,0.2,13,0.0,0.1,34.850736,34.851,605,252,239,114,0.1,23,0.0,0.1,34.850736,34.851,557,251,236,70
8-1-20-0.2-10,200,20,1,20,0.2,10,208,488,0.1,6,0.0,0.1,57.666461,57.666,660,314,346,0.1,15,0.0,0.1,57.666461,57.666,629,292,337,0.1,0,0.0,0.0,57.666461,57.666,746,303,289,154,0.1,0,0.0,0.0,57.666461,57.666,705,290,295,120
8-1-20-0.2-50,200,20,1,20,0.2,50,208,488,0.2,67,0.0,0.1,49.282195,49.282,659,286,373,0.2,50,0.0,0.2,49.282195,49.282,652,293,359,0.1,3,0.0,0.0,49.282195,49.282,766,283,295,188,0.1,17,0.0,0.1,49.282195,49.282,765,287,310,168
8-1-20-0.2-90,200,20,1,20,0.2,90,208,488,1.0,1053,0.0,0.6,34.656785,34.657,525,267,258,0.6,539,0.0,0.4,34.656785,34.657,527,262,265,0.1,14,0.0,0.0,34.656785,34.657,592,263,237,92,0.1,17,0.0,0.0,34.656785,34.657,581,264,237,80
8-2-20-0.01-10,200,20,2,20,0.01,10,222,474,0.1,20,0.0,0.4,59.280730,59.281,672,322,350,0.2,34,0.0,0.2,59.280730,59.281,694,324,370,0.1,17,0.0,0.1,59.280730,59.281,878,317,293,268,0.1,6,0.0,0.0,59.280730,59.281,895,307,284,304
8-2-20-0.01-50,200,20,2,20,0.01,50,222,474,1.0,923,0.0,0.8,52.813211,52.813,716,322,394,0.5,370,0.0,0.6,52.813211,52.813,650,282,368,0.1,9,0.0,0.1,52.813211,52.813,842,285,313,244,0.1,3,0.0,0.0,52.813211,52.813,721,270,285,166
8-2-20-0.01-90,200,20,2,20,0.01,90,222,474,0.1,0,0.0,0.0,39.727547,39.728,521,263,258,0.1,0,0.0,0.0,39.727547,39.728,519,264,255,0.1,0,0.0,0.0,39.727547,39.728,564,263,239,62,0.1,0,0.0,0.0,39.727547,39.728,564,266,242,56
8-2-20-0.1-10,200,20,2,20,0.1,10,222,474,0.2,33,0.0,0.3,58.922407,58.922,646,314,332,0.1,19,0.0,0.1,58.922407,58.922,656,306,350,0.1,6,0.0,0.0,58.922407,58.922,964,335,287,342,0.1,0,0.0,0.0,58.922407,58.922,849,309,284,256
8-2-20-0.1-50,200,20,2,20,0.1,50,222,474,1.2,1208,0.0,0.7,52.371129,52.371,685,305,380,0.7,510,0.0,0.6,52.371129,52.371,633,292,341,0.1,4,0.0,0.0,52.371129,52.371,739,287,290,162,0.1,3,0.0,0.0,52.371129,52.371,742,286,290,166
8-2-20-0.1-90,200,20,2,20,0.1,90,222,474,0.1,59,0.0,1.1,39.687840,39.688,532,269,263,0.1,0,0.0,0.0,39.687840,39.688,523,267,256,0.0,0,0.0,0.0,39.687840,39.688,566,264,240,62,0.1,0,0.0,0.0,39.687840,39.688,554,264,240,50
8-2-20-0.2-10,200,20,2,20,0.2,10,222,474,0.1,7,0.0,0.0,58.604756,58.605,590,294,296,0.1,3,0.0,0.0,58.604756,58.605,604,293,311,0.1,0,0.0,0.0,58.604756,58.605,767,279,274,214,0.1,0,0.0,0.0,58.604756,58.605,780,288,276,216
8-2-20-0.2-50,200,20,2,20,0.2,50,222,474,1.5,1580,0.0,0.6,51.973867,51.974,649,283,366,0.2,91,0.0,0.3,51.973867,51.974,584,269,315,0.1,0,0.0,0.0,51.973867,51.974,728,277,289,162,0.1,0,0.0,0.0,51.973867,51.974,682,260,276,146
8-2-20-0.2-90,200,20,2,20,0.2,90,222,474,0.1,10,0.0,0.3,39.658821,39.659,523,266,257,0.1,0,0.0,0.0,39.658821,39.659,515,265,250,0.0,0,0.0,0.0,39.658821,39.659,528,263,231,34,0.0,0,0.0,0.0,39.658821,39.659,528,263,231,34
9-1-20-0.01-10,200,40,1,20,0.01,10,214,590,4.0,1428,0.0,1.3,94.505690,94.506,1186,510,676,3.4,1238,0.0,1.0,94.505690,94.506,1090,455,635,0.6,137,0.0,0.2,94.505690,94.506,1518,404,380,734,0.5,145,0.0,0.3,94.505690,94.506,1305,369,370,566
9-1-20-0.01-50,200,40,1,20,0.01,50,214,590,2.8,1509,0.0,1.1,84.519440,84.519,962,375,587,1.8,976,0.0,0.7,84.519440,84.519,822,333,489,0.3,87,0.0,0.2,84.519440,84.519,1108,319,377,412,0.2,35,0.0,0.2,84.519440,84.519,982,298,366,318
9-1-20-0.01-90,200,40,1,20,0.01,90,214,590,2.1,1105,0.0,1.1,59.134807,59.135,641,299,342,1.4,617,0.0,0.9,59.134807,59.135,624,288,336,0.6,204,0.0,0.3,59.134807,59.135,961,300,285,376,0.5,204,0.0,0.3,59.134807,59.135,888,295,281,312
9-1-20-0.1-10,200,40,1,20,0.1,10,214,590,3.7,1976,0.0,0.9,93.540584,93.541,1030,458,572,2.1,981,0.0,1.0,93.540584,93.541,901,393,508,0.3,28,0.0,0.1,93.540584,93.541,1417,411,360,646,0.2,16,0.0,0.1,93.540584,93.541,1295,381,366,548
9-1-20-0.1-50,200,40,1,20,0.1,50,214,590,1.1,749,0.0,0.9,83.642869,83.643,850,343,507,2.3,1497,0.0,0.7,83.642869,83.643,779,333,446,0.2,26,0.0,0.2,83.642869,83.643,963,313,332,318,0.2,30,0.0,0.2,83.642869,83.643,872,289,333,250
9-1-20-0.1-90,200,40,1,20,0.1,90,214,590,1.1,566,0.0,0.6,58.859597,58.860,613,304,309,1.7,1073,0.0,0.5,58.859597,58.860,611,296,315,0.2,38,0.0,0.0,58.859597,58.860,773,280,267,226,0.1,22,0.0,0.0,58.859597,58.860,790,283,281,226
9-1-20-0.2-10,200,40,1,20,0.2,10,214,590,3.8,2764,0.0,0.7,92.492960,92.493,963,434,529,2.1,978,0.0,0.7,92.492960,92.493,885,379,506,0.2,8,0.0,0.0,92.492960,92.493,1213,372,325,516,0.1,6,0.0,0.0,92.492960,92.493,1034,330,324,380
9-1-20-0.2-50,200,40,1,20,0.2,50,214,590,1.1,906,0.0,0.7,82.750890,82.751,825,372,453,1.4,1067,0.0,0.5,82.750890,82.751,772,345,427,0.1,11,0.0,0.1,82.750890,82.751,927,324,303,300,0.1,8,0.0,0.1,82.750890,82.751,908,309,319,280
9-1-20-0.2-90,200,40,1,20,0.2,90,214,590,1.5,978,0.0,0.3,58.650130,58.650,604,316,288,1.6,967,0.0,0.2,58.650130,58.650,587,316,271,0.1,25,0.0,0.0,58.650130,58.650,737,290,247,200,0.1,13,0.0,0.0,58.650130,58.650,749,291,244,214
9-2-20-0.01-10,200,40,2,20,0.01,10,228,576,2.9,1071,0.0,1.6,96.657542,96.658,1077,467,610,2.9,1526,0.0,1.3,96.657542,96.658,947,406,541,0.2,16,0.0,0.1,96.657542,96.658,1290,383,321,586,0.2,12,0.0,0.1,96.657542,96.658,1181,354,343,484
9-2-20-0.01-50,200,40,2,20,0.01,50,228,576,2.6,1225,0.0,1.5,86.858861,86.859,940,375,565,2.1,1553,0.0,1.2,86.858861,86.859,806,331,475,0.2,39,0.0,0.2,86.858861,86.859,1093,333,308,452,0.3,54,0.0,0.2,86.858861,86.859,1040,310,336,394
9-2-20-0.01-90,200,40,2,20,0.01,90,228,576,1.5,610,0.0,1.3,63.842828,63.843,772,359,413,1.1,498,0.0,1.2,63.842828,63.843,662,319,343,0.4,123,0.0,0.2,63.842828,63.843,1013,330,269,414,1.9,978,0.0,0.2,63.842828,63.843,962,317,261,384
9-2-20-0.1-10,200,40,2,20,0.1,10,228,576,3.2,2225,0.0,1.0,95.771865,95.772,993,459,534,2.8,1491,0.0,0.7,95.771865,95.772,948,418,530,0.1,4,0.0,0.0,95.771865,95.772,1124,358,324,442,0.2,5,0.0,0.0,95.771865,95.772,1015,328,333,354
9-2-20-0.1-50,200,40,2,20,0.1,50,228,576,2.1,1012,0.0,0.9,86.080382,86.080,916,383,533,1.3,529,0.0,1.0,86.080382,86.080,838,344,494,0.3,81,0.0,0.2,86.080382,86.080,982,325,303,354,0.2,27,0.0,0.2,86.080382,86.080,980,313,311,356
9-2-20-0.1-90,200,40,2,20,0.1,90,228,576,1.2,490,0.0,0.9,63.721395,63.721,613,318,295,1.1,510,0.0,1.1,63.721395,63.721,652,313,339,0.2,25,0.0,0.0,63.721395,63.721,802,297,245,260,0.2,51,0.0,0.0,63.721395,63.721,800,296,246,258
9-2-20-0.2-10,200,40,2,20,0.2,10,228,576,2.6,1833,0.0,0.7,94.787780,94.788,915,424,491,2.1,1020,0.0,0.7,94.787780,94.788,918,399,519,0.2,8,0.0,0.0,94.787780,94.788,1002,357,307,338,0.1,4,0.0,0.0,94.787780,94.788,933,328,327,278
9-2-20-0.2-50,200,40,2,20,0.2,50,228,576,1.5,536,0.0,0.9,85.340490,85.340,839,354,485,1.9,981,0.0,0.7,85.340490,85.340,850,365,485,0.2,26,0.0,0.2,85.340490,85.340,939,323,296,320,0.1,24,0.0,0.2,85.340490,85.340,876,323,289,264
9-2-20-0.2-90,200,40,2,20,0.2,90,228,576,0.7,482,0.0,0.2,63.595483,63.595,591,318,273,0.9,485,0.0,0.3,63.595483,63.595,584,315,269,0.1,0,0.0,0.0,63.595483,63.595,729,298,239,192,0.1,0,0.0,0.0,63.595483,63.595,730,297,239,194
10-1-20-0.01-10,200,67,1,20,0.01,10,214,1014,17.5,9389,0.0,1.1,143.279687,143.280,1765,726,1039,13.9,7460,0.0,1.0,143.279687,143.280,1494,582,912,7.4,1791,0.0,0.6,143.279687,143.280,3302,621,645,2036,4.6,932,0.0,0.5,143.279687,143.280,2582,509,659,1414
10-1-20-0.01-50,200,67,1,20,0.01,50,214,1014,2.8,832,0.0,0.7,134.676138,134.676,1080,413,667,2.6,638,0.0,0.6,134.676138,134.676,1096,443,653,3.7,1559,0.0,0.2,134.676138,134.676,1410,363,437,610,2.7,1067,0.0,0.2,134.676138,134.676,1030,317,397,316
10-1-20-0.01-90,200,67,1,20,0.01,90,214,1014,2.7,1051,0.0,0.5,105.911306,105.911,792,336,456,1.7,593,0.0,0.5,105.911306,105.911,779,349,430,1.4,477,0.0,0.1,105.911306,105.911,1262,284,278,700,2.8,1438,0.0,0.1,105.911306,105.911,1402,312,290,800
10-1-20-0.1-10,200,67,1,20,0.1,10,214,1014,11.6,5517,0.0,1.0,140.528115,140.528,1429,579,850,3.8,1316,0.0,0.8,140.528115,140.528,1193,483,710,4.7,1350,0.0,0.4,140.528115,140.528,2474,525,513,1436,6.1,3015,0.0,0.3,140.528115,140.528,2047,472,497,1078
