,,,,,B&C-B,,,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#ProdSM,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
21-10-25-0.2,500,5,2918,27626,9.9,74,0.0,2.3,252.423896,252.424,0,1,5620,2529,3091,1.9,5,0.0,0.0,252.423896,252.424,0,1,3329,1370,812,1147
22-10-25-0.2,500,10,2496,21494,403.4,9221,0.0,4.3,284.236407,284.236,0,1,13230,4879,8351,74.1,506,0.0,1.8,284.236407,284.236,0,1,10181,2520,1606,6055
23-10-25-0.2,500,50,2772,24348,TL,4516,2.6,3.0,441.255920,452.534,0,1,14557,5062,9495,TL,93512,0.6,1.1,443.131125,446.023,0,1,20949,3486,2325,15138
24-10-25-0.2,500,100,2810,23810,TL,2439,1.1,1.2,488.944191,494.306,2,2,7459,2862,4597,TL,81555,0.2,0.4,490.616638,491.807,0,1,15114,2671,1496,10947
25-10-25-0.2,500,167,3078,29866,TL,66611,0.0,0.0,499.696530,499.706,0,1,3516,1796,1720,74.0,10357,0.0,0.0,499.697459,499.697,0,1,3569,1385,726,1458
26-10-25-0.2,600,5,5086,70238,3034.9,28534,0.0,6.4,370.604017,370.604,0,1,47247,7099,40148,31.9,192,0.0,1.6,370.604017,370.604,0,1,8933,2752,1812,4369
27-10-25-0.2,600,10,5420,75078,TL,11962,3.1,5.1,444.985861,458.868,1,2,26785,6337,20448,773.5,16369,0.0,1.1,446.980312,446.980,1,2,14420,2870,2505,9045
28-10-25-0.2,600,60,5338,78458,TL,2207,1.9,2.1,571.882246,582.871,0,1,12739,4839,7900,TL,105861,0.4,0.5,574.236257,576.319,0,1,13342,3493,2527,7322
29-10-25-0.2,600,120,4982,67654,TL,8127,0.2,0.2,596.581807,597.830,0,1,6265,2386,3879,TL,86749,0.0,0.1,597.179039,597.387,0,1,8576,2545,955,5076
30-10-25-0.2,600,200,4284,48514,60.8,0,0.0,0.0,600.000000,600.000,0,1,1616,899,717,1.6,0,0.0,0.0,600.000000,600.000,0,1,3200,1628,1068,504
31-10-25-0.2,700,5,8624,152102,TL,7817,5.1,7.2,508.896625,534.641,0,1,50630,8696,41934,371.8,1022,0.0,2.4,510.572027,510.572,0,1,19580,4770,2576,12234
32-10-25-0.2,700,10,7294,123992,TL,6698,3.7,4.9,550.956508,571.372,0,1,32771,8194,24577,918.7,2206,0.0,1.0,553.668413,553.668,0,1,14030,3765,2121,8144
33-10-25-0.2,700,70,7110,121930,TL,2991,1.0,1.0,685.533670,692.242,0,1,11729,4480,7249,TL,100456,0.2,0.3,687.701565,689.063,0,1,11558,3817,1789,5952
34-10-25-0.2,700,140,8044,141988,118.8,86,0.0,0.0,699.830932,699.831,0,1,2944,1974,970,13.5,210,0.0,0.0,699.831026,699.831,0,1,2933,1748,767,418
35-10-25-0.2,800,5,14838,312066,TL,5848,3.3,4.6,668.601921,690.981,0,1,48920,9670,39250,71.8,171,0.0,1.0,668.819703,668.820,0,1,7376,3071,1953,2352
36-10-25-0.2,800,10,10904,224412,TL,3297,3.7,4.3,675.631773,700.776,0,1,38757,9422,29335,TL,40550,0.3,1.0,677.465347,679.342,0,1,17796,4781,5031,7984
37-10-25-0.2,800,80,9072,186296,TL,1782,0.7,0.7,788.526600,793.873,0,1,9529,4222,5307,TL,43196,0.2,0.2,790.374726,791.653,0,1,10669,3714,1423,5532
38-10-25-0.2,900,5,21526,466312,TL,2676,4.1,4.6,785.637569,818.021,0,1,54675,10467,44208,1045.2,2166,0.0,1.0,788.212151,788.212,0,1,18678,4963,3462,10253
39-10-25-0.2,900,10,21248,471774,TL,3529,1.8,2.0,840.001884,854.897,0,1,34011,8611,25400,TL,40926,0.1,0.5,841.039043,842.175,0,1,10076,4264,3381,2431
40-10-25-0.2,900,90,14636,345298,TL,8510,0.1,0.1,897.006303,897.485,0,1,5581,2776,2805,TL,94872,0.0,0.0,897.047526,897.239,0,1,4593,2507,442,1644
1-10-25-0.5,100,5,138,60,0.0,0,0.0,0.0,17.533333,17.533,0,1,218,109,109,0.0,0,0.0,0.0,17.533333,17.533,0,1,234,109,115,10
2-10-25-0.5,100,10,152,78,0.1,0,0.0,0.0,31.697481,31.697,0,1,267,133,134,0.0,0,0.0,0.0,31.697481,31.697,0,1,272,121,129,22
3-10-25-0.5,100,10,136,110,0.0,0,0.0,0.0,32.000000,32.000,0,1,259,129,130,0.0,0,0.0,0.0,32.000000,32.000,0,1,285,123,126,36
4-10-25-0.5,100,20,126,66,0.0,0,0.0,0.0,43.522222,43.522,0,1,253,128,125,0.0,0,0.0,0.0,43.522222,43.522,0,1,274,125,123,26
5-10-25-0.5,100,33,174,116,0.1,0,0.0,0.0,70.344444,70.344,0,1,471,236,235,0.0,0,0.0,0.0,70.344444,70.344,0,1,390,171,161,58
6-10-25-0.5,200,5,408,628,0.1,0,0.0,0.0,41.113333,41.113,0,1,524,261,263,0.1,0,0.0,0.0,41.113333,41.113,0,1,577,238,263,76
7-10-25-0.5,200,10,414,906,0.3,19,0.0,0.1,67.615704,67.616,0,1,632,324,308,0.1,0,0.0,0.0,67.615704,67.616,0,1,905,319,298,288
8-10-25-0.5,200,20,360,658,0.2,0,0.0,0.0,93.114667,93.115,0,1,802,398,404,0.1,0,0.0,0.0,93.114667,93.115,0,1,804,313,287,204
9-10-25-0.5,200,40,418,686,1.0,44,0.0,0.1,140.161649,140.162,0,1,773,401,372,0.2,13,0.0,0.0,140.161649,140.162,0,1,1025,360,287,378
10-10-25-0.5,200,67,526,1372,10.1,597,0.0,0.3,182.753165,182.753,0,1,1140,508,632,0.9,129,0.0,0.1,182.753165,182.753,0,1,2023,592,395,1036
11-10-25-0.5,300,5,1004,3968,0.4,3,0.0,0.0,95.449630,95.450,0,1,1020,542,478,0.1,0,0.0,0.0,95.449630,95.450,0,1,1250,489,410,351
12-10-25-0.5,300,10,814,2756,0.9,33,0.0,0.2,120.579556,120.580,0,1,1439,693,746,0.4,0,0.0,0.0,120.579556,120.580,0,1,1720,563,467,690
13-10-25-0.5,300,30,902,3342,7.2,198,0.0,0.4,198.405211,198.405,0,1,2012,872,1140,0.9,27,0.0,0.0,198.405211,198.405,0,1,2179,689,514,976
14-10-25-0.5,300,60,804,2722,26.3,1495,0.0,0.2,245.202225,245.202,0,1,2098,895,1203,1.1,111,0.0,0.1,245.202225,245.202,0,1,2468,771,567,1130
15-10-25-0.5,300,100,910,3470,202.7,5452,0.0,0.4,283.163954,283.164,0,1,2855,1151,1704,8.8,897,0.0,0.1,283.163954,283.164,0,1,4164,1049,641,2474
16-10-25-0.5,400,5,1974,13784,2.9,37,0.0,1.5,177.562894,177.563,0,1,3091,1460,1631,2.0,11,0.0,0.4,177.562894,177.563,0,1,3148,1114,736,1298
17-10-25-0.5,400,10,1738,11266,15.5,514,0.0,1.8,216.971205,216.971,0,1,4077,1897,2180,4.3,47,0.0,0.7,216.971205,216.971,0,1,5556,1659,939,2958
18-10-25-0.5,400,40,1430,7758,253.8,4800,0.0,1.1,304.491726,304.492,0,1,6089,2309,3780,16.8,306,0.0,0.3,304.491726,304.492,0,1,5896,1544,796,3556
19-10-25-0.5,400,80,1644,9618,270.7,6316,0.0,0.3,371.859675,371.860,0,1,4370,1836,2534,9.2,366,0.0,0.1,371.859675,371.860,0,1,3921,1086,659,2176
20-10-25-0.5,400,133,1462,8014,71.6,712,0.0,0.1,395.681146,395.681,0,1,2572,1236,1336,3.4,169,0.0,0.0,395.681146,395.681,0,1,2901,1014,649,1238
21-10-25-0.5,500,5,2918,27626,6.0,30,0.0,0.9,246.639935,246.640,0,1,4308,1981,2327,0.8,0,0.0,0.0,246.639935,246.640,0,1,2553,1015,826,712
22-10-25-0.5,500,10,2496,21494,52.9,686,0.0,2.6,277.372755,277.373,0,1,7429,2952,4477,17.4,129,0.0,1.2,277.372755,277.373,0,1,7523,2111,1374,4038
23-10-25-0.5,500,50,2772,24348,TL,23263,1.2,1.6,434.925658,440.097,0,1,14939,4154,10785,2498.8,42062,0.0,0.5,436.673696,436.674,0,1,16716,2863,1677,12176
24-10-25-0.5,500,100,2810,23810,TL,23303,0.3,0.5,486.136478,487.661,0,1,8376,2225,6151,234.8,6963,0.0,0.1,486.765138,486.765,0,1,10048,2041,1239,6768
25-10-25-0.5,500,167,3078,29866,111.1,1187,0.0,0.0,499.369152,499.369,0,1,2649,1419,1230,12.4,776,0.0,0.0,499.369424,499.369,0,1,2800,1146,564,1090
26-10-25-0.5,600,5,5086,70238,154.4,822,0.0,4.3,356.702511,356.703,0,1,15124,4273,10851,18.8,90,0.0,1.4,356.702511,356.703,0,1,8281,2931,2088,3262
27-10-25-0.5,600,10,5420,75078,TL,43514,1.2,3.2,431.002880,436.020,0,1,31961,5666,26295,136.4,910,0.0,1.0,431.380149,431.380,0,1,9006,2476,1795,4735
28-10-25-0.5,600,60,5338,78458,TL,7955,1.0,1.2,563.683512,569.228,0,1,11751,3434,8317,TL,62393,0.1,0.3,565.899493,566.350,0,1,10181,2826,1765,5590
29-10-25-0.5,600,120,4982,67654,TL,34226,0.0,0.1,594.634238,594.851,0,1,5441,1980,3461,157.1,4879,0.0,0.0,594.670744,594.671,0,1,5649,1805,720,3124
30-10-25-0.5,600,200,4284,48514,1.6,0,0.0,0.0,600.000000,600.000,1,2,0,0,0,0.0,0,0.0,0.0,600.000000,600.000,1,2,0,0,0,0
31-10-25-0.5,700,5,8624,152102,TL,13877,1.4,4.7,490.625322,497.583,0,1,55281,8365,46916,91.5,269,0.0,1.8,490.907517,490.908,0,1,12639,3903,2266,6470
32-10-25-0.5,700,10,7294,123992,TL,24745,1.2,2.9,532.519880,538.898,0,1,40621,8380,32241,72.2,305,0.0,0.6,533.117758,533.118,0,1,9489,3623,2437,3429
33-10-25-0.5,700,70,7110,121930,TL,7945,0.5,0.6,678.797057,682.180,0,1,8279,3259,5020,TL,77434,0.0,0.2,679.995487,680.192,0,1,7714,2817,1333,3564
34-10-25-0.5,700,140,8044,141988,87.3,68,0.0,0.0,699.594613,699.595,0,1,2000,1408,592,5.7,29,0.0,0.0,699.594672,699.595,0,1,3034,1763,829,442
35-10-25-0.5,800,5,14838,312066,TL,11123,1.4,3.2,640.126200,648.974,0,1,55228,9086,46142,45.3,95,0.0,1.1,640.362314,640.362,0,1,6425,3281,1880,1264
36-10-25-0.5,800,10,10904,224412,TL,5688,2.3,3.1,649.220128,664.053,0,1,31877,8496,23381,TL,24881,0.4,1.2,649.060640,651.791,0,1,15907,5642,4830,5435
37-10-25-0.5,800,80,9072,186296,TL,6150,0.4,0.5,782.215886,785.386,0,1,9004,3492,5512,TL,55668,0.0,0.1,783.426041,783.757,0,1,7647,2877,1016,3754
38-10-25-0.5,900,5,21526,466312,TL,6069,2.3,3.4,753.694359,771.207,0,1,49225,10003,39222,269.8,531,0.0,1.0,755.857594,755.858,0,1,11026,4865,2998,3163
39-10-25-0.5,900,10,21248,471774,TL,8300,1.2,1.7,812.333009,822.449,0,1,28321,7458,20863,TL,23590,0.2,0.7,813.657251,815.196,0,1,9851,4846,3832,1173
40-10-25-0.5,900,90,14636,345298,TL,22440,0.1,0.1,893.229230,893.705,0,1,5002,2510,2492,2317.0,72689,0.0,0.1,893.375919,893.376,0,1,4291,2343,496,1452
1-10-25-0.8,100,5,138,60,0.0,0,0.0,0.0,17.533333,17.533,0,1,218,109,109,0.0,0,0.0,0.0,17.533333,17.533,0,1,251,118,127,6
2-10-25-0.8,100,10,152,78,0.0,0,0.0,0.0,31.598993,31.599,0,1,287,144,143,0.0,0,0.0,0.0,31.598993,31.599,0,1,254,115,121,18
3-10-25-0.8,100,10,136,110,0.0,0,0.0,0.0,32.000000,32.000,0,1,250,125,125,0.1,0,0.0,0.0,32.000000,32.000,0,1,283,135,142,6
4-10-25-0.8,100,20,126,66,0.1,0,0.0,0.0,43.488889,43.489,0,1,250,127,123,0.0,0,0.0,0.0,43.488889,43.489,0,1,263,124,123,16
5-10-25-0.8,100,33,174,116,0.1,0,0.0,0.0,70.257778,70.258,0,1,380,194,186,0.0,0,0.0,0.0,70.257778,70.258,0,1,360,167,161,32
6-10-25-0.8,200,5,408,628,0.1,0,0.0,0.0,41.005333,41.005,0,1,524,261,263,0.1,0,0.0,0.0,41.005333,41.005,0,1,576,238,278,60
7-10-25-0.8,200,10,414,906,0.2,12,0.0,0.1,67.246281,67.246,0,1,703,355,348,0.1,4,0.0,0.0,67.246281,67.246,0,1,815,305,284,226
8-10-25-0.8,200,20,360,658,0.2,0,0.0,0.0,92.845867,92.846,0,1,820,419,401,0.1,0,0.0,0.0,92.845867,92.846,0,1,740,310,286,144
9-10-25-0.8,200,40,418,686,0.5,0,0.0,0.0,139.584660,139.585,0,1,902,470,432,0.1,4,0.0,0.0,139.584660,139.585,0,1,877,348,281,248
10-10-25-0.8,200,67,526,1372,1.9,13,0.0,0.0,182.017436,182.017,0,1,1366,654,712,0.2,6,0.0,0.0,182.017436,182.017,0,1,1024,375,267,382
11-10-25-0.8,300,5,1004,3968,0.4,2,0.0,0.0,94.699852,94.700,0,1,1228,635,593,0.1,0,0.0,0.0,94.699852,94.700,0,1,1129,458,413,258
12-10-25-0.8,300,10,814,2756,0.5,2,0.0,0.0,119.391822,119.392,0,1,1324,664,660,0.3,0,0.0,0.0,119.391822,119.392,0,1,1532,524,494,514
13-10-25-0.8,300,30,902,3342,2.2,11,0.0,0.0,196.562084,196.562,0,1,1305,611,694,0.2,0,0.0,0.0,196.562084,196.562,0,1,1583,573,456,554
14-10-25-0.8,300,60,804,2722,19.5,1040,0.0,0.0,243.469595,243.470,0,1,1976,926,1050,0.6,43,0.0,0.0,243.469595,243.470,0,1,1918,673,477,768
15-10-25-0.8,300,100,910,3470,6.5,63,0.0,0.0,281.151558,281.152,0,1,1226,600,626,0.3,0,0.0,0.0,281.151558,281.152,0,1,2176,774,558,844
16-10-25-0.8,400,5,1974,13784,2.3,13,0.0,0.5,173.705158,173.705,0,1,2744,1255,1489,1.4,3,0.0,0.0,173.705158,173.705,0,1,3383,1043,875,1465
17-10-25-0.8,400,10,1738,11266,3.6,32,0.0,0.5,213.348482,213.348,0,1,2608,1340,1268,2.2,17,0.0,0.2,213.348482,213.348,0,1,3900,1231,853,1816
18-10-25-0.8,400,40,1430,7758,8.1,58,0.0,0.1,300.602215,300.602,0,1,2691,1269,1422,1.7,27,0.0,0.0,300.602215,300.602,0,1,3350,1041,767,1542
19-10-25-0.8,400,80,1644,9618,16.3,85,0.0,0.0,368.984542,368.985,0,1,2430,1026,1404,0.9,3,0.0,0.0,368.984542,368.985,0,1,2486,850,740,896
20-10-25-0.8,400,133,1462,8014,13.2,43,0.0,0.0,394.491263,394.491,0,1,1310,694,616,1.0,45,0.0,0.0,394.491243,394.491,0,1,2206,904,646,656
21-10-25-0.8,500,5,2918,27626,2.5,3,0.0,0.0,240.855974,240.856,0,1,2413,1250,1163,0.8,0,0.0,0.0,240.855974,240.856,0,1,2614,1025,820,769
22-10-25-0.8,500,10,2496,21494,13.1,111,0.0,1.1,270.509102,270.509,0,1,5133,2227,2906,6.2,35,0.0,0.6,270.509102,270.509,0,1,6361,1911,1703,2747
23-10-25-0.8,500,50,2772,24348,287.2,5215,0.0,0.4,430.599690,430.600,0,1,6726,2554,4172,93.1,1283,0.0,0.2,430.599690,430.600,0,1,7230,1853,1135,4242
24-10-25-0.8,500,100,2810,23810,43.7,174,0.0,0.0,483.425868,483.426,0,1,3052,1378,1674,2.7,28,0.0,0.0,483.425868,483.426,0,1,3318,1284,910,1124
25-10-25-0.8,500,167,3078,29866,95.0,950,0.0,0.0,499.067657,499.068,0,1,2393,1298,1095,10.0,652,0.0,0.0,499.067791,499.068,0,1,2979,1233,566,1180
26-10-25-0.8,600,5,5086,70238,34.9,185,0.0,2.2,343.158615,343.159,0,1,8749,3562,5187,11.7,45,0.0,1.1,343.158615,343.159,0,1,7043,2814,1913,2316
27-10-25-0.8,600,10,5420,75078,152.5,1484,0.0,1.4,417.266940,417.267,0,1,10591,3385,7206,21.4,127,0.0,0.6,417.266940,417.267,0,1,7206,2619,1942,2645
28-10-25-0.8,600,60,5338,78458,TL,72797,0.1,0.3,558.862062,559.466,0,1,9620,2297,7323,454.4,25865,0.0,0.1,559.023234,559.023,0,1,5358,1955,1507,1896
29-10-25-0.8,600,120,4982,67654,139.7,1393,0.0,0.0,592.421071,592.421,0,1,3378,1579,1799,41.4,1231,0.0,0.0,592.421071,592.421,0,1,3350,1346,634,1370
30-10-25-0.8,600,200,4284,48514,1.7,0,0.0,0.0,600.000000,600.000,1,5,0,0,0,0.0,0,0.0,0.0,600.000000,600.000,1,5,0,0,0,0
31-10-25-0.8,700,5,8624,152102,106.9,360,0.0,2.5,471.243007,471.243,0,1,12932,4653,8279,30.4,83,0.0,1.3,471.243007,471.243,0,1,8523,3394,2351,2778
32-10-25-0.8,700,10,7294,123992,233.0,735,0.0,1.3,512.626067,512.626,0,1,14453,4573,9880,30.2,112,0.0,0.4,512.626067,512.626,0,1,7071,3302,2176,1593
33-10-25-0.8,700,70,7110,121930,TL,41723,0.1,0.2,673.173469,673.538,0,1,8529,3009,5520,782.8,35162,0.0,0.1,673.223932,673.224,0,1,5230,2088,1288,1854
34-10-25-0.8,700,140,8044,141988,81.5,27,0.0,0.0,699.357748,699.358,0,1,1816,1244,572,5.7,39,0.0,0.0,699.357904,699.358,0,1,2901,1686,905,310
35-10-25-0.8,800,5,14838,312066,176.7,334,0.0,2.1,611.904926,611.905,0,1,14597,5100,9497,39.6,67,0.0,1.2,611.904926,611.905,0,1,6616,3538,2424,654
36-10-25-0.8,800,10,10904,224412,TL,17568,1.5,2.5,620.275982,629.508,0,1,26701,6849,19852,TL,18112,0.5,1.5,621.245561,624.680,0,1,15241,5529,4739,4973
37-10-25-0.8,800,80,9072,186296,TL,53848,0.0,0.1,777.413769,777.756,0,1,6659,2929,3730,877.4,31525,0.0,0.1,777.419384,777.419,0,1,4826,2183,1009,1634
38-10-25-0.8,900,5,21526,466312,1185.4,1376,0.0,2.0,723.503038,723.503,0,1,32076,6361,25715,173.4,251,0.0,1.1,723.503038,723.503,0,1,9472,4601,2859,2012
39-10-25-0.8,900,10,21248,471774,TL,30662,0.6,1.2,787.245517,792.222,0,1,22720,6420,16300,2876.5,23455,0.0,0.8,787.655274,787.655,0,1,8703,4699,2895,1109
40-10-25-0.8,900,90,14636,345298,TL,64050,0.0,0.1,889.913605,889.969,0,1,4223,2420,1803,269.2,6366,0.0,0.1,889.914755,889.915,0,1,3291,2127,396,768
