,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
7-5-20-0.8,200,10,292,592,0.9,0,0.0,0.0,50.206,50.206,532,263,269,0.1,0,0.0,0.0,50.206,50.206,541,266,275,0.1,0,0.0,0.0,50.206,50.206,569,263,261,45,0.1,0,0.0,0.0,50.206,50.206,573,266,262,45
8-5-20-0.8,200,20,278,418,1.0,0,0.0,0.0,69.544,69.544,573,273,300,0.1,0,0.0,0.0,69.544,69.544,565,273,292,0.1,0,0.0,0.0,69.544,69.544,594,273,282,39,0.1,0,0.0,0.0,69.544,69.544,585,273,279,33
9-5-20-0.8,200,40,302,502,0.3,6,0.0,0.0,117.076,117.076,675,343,332,0.1,3,0.0,0.0,117.076,117.076,646,325,321,0.1,0,0.0,0.0,117.076,117.076,721,328,286,107,0.4,2,0.0,0.0,117.076,117.076,705,322,292,91
10-5-20-0.8,200,67,328,900,0.6,56,0.0,0.0,157.131,157.131,748,379,369,0.3,18,0.0,0.0,157.131,157.131,738,365,373,1.1,2,0.0,0.0,157.131,157.131,898,389,300,209,0.2,3,0.0,0.0,157.131,157.131,824,366,296,162
11-5-20-0.8,300,5,534,2358,0.1,0,0.0,0.0,61.632,61.632,847,416,431,0.1,0,0.0,0.0,61.632,61.632,850,417,433,0.1,0,0.0,0.0,61.632,61.632,937,416,415,106,0.2,0,0.0,0.0,61.632,61.632,938,417,410,111
12-5-20-0.8,300,10,474,1654,0.3,7,0.0,0.1,79.252,79.252,1002,457,545,0.2,5,0.0,0.0,79.252,79.252,982,451,531,0.1,0,0.0,0.0,79.252,79.252,1018,440,452,126,0.2,0,0.0,0.0,79.252,79.252,1006,440,454,112
13-5-20-0.8,300,30,500,2004,0.6,49,0.0,0.1,151.101,151.101,1321,632,689,0.6,64,0.0,0.1,151.101,151.101,1306,584,722,0.5,5,0.0,0.0,151.101,151.101,1461,589,565,307,1.3,3,0.0,0.0,151.101,151.101,1380,564,566,250
14-5-20-0.8,300,60,502,1586,3.8,588,0.0,0.1,203.813,203.813,1391,675,716,2.4,319,0.0,0.1,203.813,203.813,1326,630,696,0.3,6,0.0,0.0,203.813,203.813,1492,630,534,328,0.5,3,0.0,0.0,203.813,203.813,1496,625,575,296
15-5-20-0.8,300,100,518,2000,6.4,574,0.0,0.1,244.777,244.777,1438,721,717,2.4,562,0.0,0.1,244.777,244.777,1347,658,689,0.7,32,0.0,0.0,244.777,244.777,1700,693,501,506,0.7,37,0.0,0.0,244.777,244.777,1572,643,513,416
16-5-20-0.8,400,5,874,6918,0.6,12,0.0,0.3,105.842,105.842,1665,780,885,0.5,9,0.0,0.2,105.842,105.842,1681,765,916,0.4,0,0.0,0.0,105.842,105.842,1614,702,641,271,0.3,0,0.0,0.0,105.842,105.842,1660,701,660,299
17-5-20-0.8,400,10,840,5902,0.6,19,0.0,0.1,143.630,143.630,1794,914,880,0.5,15,0.0,0.2,143.630,143.630,1769,935,834,0.6,0,0.0,0.0,143.630,143.630,1865,803,708,354,0.5,0,0.0,0.0,143.630,143.630,1886,822,692,372
18-5-20-0.8,400,40,738,4070,8.2,1023,0.0,0.2,230.275,230.275,2327,1110,1217,2.4,244,0.0,0.1,230.275,230.275,2117,972,1145,2.3,25,0.0,0.0,230.275,230.275,2676,951,879,846,1.9,20,0.0,0.0,230.275,230.275,2483,915,860,708
19-5-20-0.8,400,80,816,4932,10.2,632,0.0,0.1,312.679,312.679,2776,1222,1554,27.7,3060,0.0,0.1,312.679,312.679,2376,1075,1301,2.9,121,0.0,0.0,312.679,312.679,2949,1101,956,892,1.5,55,0.0,0.0,312.679,312.679,2780,1067,904,809
20-5-20-0.8,400,133,760,4170,32.4,3120,0.0,0.2,357.998,357.998,2301,1095,1206,10.9,1000,0.0,0.1,357.998,357.998,2049,937,1112,6.3,256,0.0,0.0,357.998,357.998,2913,1058,738,1117,6.0,123,0.0,0.0,357.998,357.998,2468,940,710,818
21-5-20-0.8,500,5,1186,12832,1.4,0,0.0,0.0,143.190,143.190,1720,882,838,0.4,0,0.0,0.0,143.190,143.190,1721,880,841,0.5,0,0.0,0.0,143.190,143.190,1954,882,817,255,1.1,0,0.0,0.0,143.190,143.190,1952,880,820,252
22-5-20-0.8,500,10,1090,9960,2.7,48,0.0,0.5,171.225,171.225,2779,1356,1423,3.5,39,0.0,0.4,171.225,171.225,2718,1224,1494,1.8,15,0.0,0.1,171.225,171.225,3017,1124,1183,710,5.1,15,0.0,0.1,171.225,171.225,3057,1149,1195,713
23-5-20-0.8,500,50,1196,11222,35.9,2442,0.0,0.2,346.943,346.943,3384,1658,1726,10.2,977,0.0,0.2,346.943,346.943,3138,1490,1648,5.2,16,0.0,0.0,346.943,346.943,3953,1533,1163,1257,5.2,17,0.0,0.0,346.943,346.943,3598,1434,1236,928
24-5-20-0.8,500,100,1174,11328,23.8,1285,0.0,0.1,422.368,422.368,3606,1547,2059,25.6,1749,0.0,0.1,422.368,422.368,3352,1364,1988,8.9,227,0.0,0.0,422.368,422.368,4045,1407,1461,1177,11.8,287,0.0,0.0,422.368,422.368,3794,1350,1416,1028
25-5-20-0.8,500,167,1258,13962,21.7,1230,0.0,0.1,470.463,470.463,3011,1581,1430,9.4,560,0.0,0.1,470.463,470.463,2638,1414,1224,8.5,90,0.0,0.0,470.463,470.463,3405,1458,989,958,7.5,156,0.0,0.0,470.463,470.463,3167,1416,1018,733
26-5-20-0.8,600,5,1706,30160,2.4,23,0.0,0.6,206.886,206.886,4464,2291,2173,2.5,27,0.0,0.5,206.886,206.886,4111,1968,2143,5.6,17,0.0,0.3,206.886,206.886,5099,2207,1668,1224,13.9,11,0.0,0.2,206.886,206.886,4644,1979,1722,943
27-5-20-0.8,600,10,1764,32768,28.7,527,0.0,1.0,278.786,278.786,6128,2768,3360,20.3,348,0.0,0.9,278.786,278.786,5775,2588,3187,15.8,105,0.0,0.7,278.786,278.786,6806,2527,2434,1845,17.8,105,0.0,0.7,278.786,278.786,6537,2494,2321,1722
28-5-20-0.8,600,60,1716,33584,3198.2,286058,0.0,0.3,472.578,472.578,5759,2508,3251,782.1,39524,0.0,0.3,472.578,472.578,5408,2340,3068,2296.1,140033,0.0,0.2,472.578,472.578,7666,2404,2913,2349,209.3,1696,0.0,0.2,472.578,472.578,6821,2200,2067,2554
29-5-20-0.8,600,120,1714,28968,434.1,31750,0.0,0.1,537.051,537.051,4501,2139,2362,58.7,3144,0.0,0.1,537.051,537.051,3847,1854,1993,63.0,944,0.0,0.0,537.051,537.051,4878,1867,1311,1700,39.0,733,0.0,0.0,537.051,537.051,4193,1674,1315,1204
30-5-20-0.8,600,200,1570,21010,265.2,19260,0.0,0.1,577.397,577.397,3219,1721,1498,37.4,4746,0.0,0.1,577.397,577.397,2865,1540,1325,43.6,1364,0.0,0.0,577.397,577.397,4431,1663,1213,1555,28.4,1543,0.0,0.0,577.397,577.397,3597,1540,1066,991
31-5-20-0.8,700,5,2542,64420,9.5,74,0.0,1.6,290.581,290.581,5260,2656,2604,10.3,75,0.0,1.4,290.581,290.581,5300,2735,2565,16.6,37,0.0,1.3,290.581,290.581,6575,2721,2153,1701,20.1,41,0.0,1.2,290.581,290.581,6222,2718,2137,1367
32-5-20-0.8,700,10,2218,50474,10.4,85,0.0,0.4,340.813,340.813,5239,2674,2565,6.4,53,0.0,0.4,340.813,340.813,4831,2486,2345,10.7,39,0.0,0.3,340.813,340.813,5659,2516,2147,996,22.1,29,0.0,0.3,340.813,340.813,5762,2586,2090,1086
33-5-20-0.8,700,70,2268,49250,1778.3,91941,0.0,0.2,581.924,581.924,6717,2960,3757,1338.5,71530,0.0,0.2,581.924,581.924,6529,2703,3826,1684.9,85507,0.0,0.1,581.924,581.924,8373,2964,3427,1982,183.2,2655,0.0,0.1,581.924,581.924,6153,2546,2142,1465
34-5-20-0.8,700,140,2450,58282,31.0,695,0.0,0.0,653.349,653.349,3456,2083,1373,24.3,2721,0.0,0.0,653.349,653.349,2981,1812,1169,32.0,422,0.0,0.0,653.349,653.349,3770,1849,1126,795,12.7,34,0.0,0.0,653.349,653.349,3167,1682,977,508
35-5-20-0.8,800,5,3424,143422,13.4,37,0.0,1.2,403.506,403.506,6033,3312,2721,12.2,45,0.0,1.3,403.506,403.506,6454,3350,3104,21.9,31,0.0,1.2,403.506,403.506,6631,2973,2598,1060,20.9,47,0.0,1.2,403.506,403.506,6488,2747,2617,1124
36-5-20-0.8,800,10,3052,91980,302.3,1612,0.0,1.7,427.424,427.424,9402,4924,4478,220.7,1336,0.0,1.5,427.424,427.424,8668,4520,4148,555.2,654,0.0,1.5,427.424,427.424,12585,4306,3196,5083,440.2,692,0.0,1.5,427.424,427.424,12048,4334,3399,4315
37-5-20-0.8,800,80,2762,71842,1556.6,60362,0.0,0.1,683.418,683.418,6755,2934,3821,2399.3,122793,0.0,0.1,683.418,683.418,6314,2653,3661,240.0,2081,0.0,0.1,683.418,683.418,7996,3052,2610,2334,1474.4,71184,0.0,0.1,683.418,683.418,7314,2780,2991,1543
38-5-20-0.8,900,5,4520,224438,43.9,123,0.0,1.6,490.736,490.736,8749,4346,4403,51.4,125,0.0,1.5,490.736,490.736,9107,4670,4437,104.6,122,0.0,1.6,490.736,490.736,11667,4552,4174,2941,90.1,106,0.0,1.5,490.736,490.736,10907,4687,3635,2585
39-5-20-0.8,900,10,4450,227826,58.7,211,0.0,0.7,592.560,592.560,8010,4061,3949,58.1,216,0.0,0.7,592.560,592.560,7613,3918,3695,164.4,248,0.0,0.7,592.560,592.560,9716,4192,3971,1553,135.4,214,0.0,0.7,592.560,592.560,10480,4302,5029,1149
40-5-20-0.8,900,90,3552,140956,357.9,13782,0.0,0.1,801.052,801.052,5415,3010,2405,99.8,2691,0.0,0.1,801.052,801.052,4579,2736,1843,166.6,845,0.0,0.1,801.052,801.052,5808,2899,1882,1027,139.4,859,0.0,0.1,801.052,801.052,5430,2824,1815,791
1-10-25-0.2,100,5,138,60,0.1,0,0.0,0.0,17.533,17.533,240,115,125,0.4,0,0.0,0.0,17.533,17.533,226,109,117,0.0,0,0.0,0.0,17.533,17.533,235,109,117,9,0.1,0,0.0,0.0,17.533,17.533,232,109,117,6
2-10-25-0.2,100,10,152,78,0.7,0,0.0,0.0,31.796,31.796,243,118,125,0.0,0,0.0,0.0,31.796,31.796,242,118,124,0.1,2,0.0,0.0,31.796,31.796,271,120,125,26,0.1,0,0.0,0.0,31.796,31.796,262,122,126,14
3-10-25-0.2,100,10,136,110,0.4,8,0.0,0.1,32.000,32.000,268,134,134,0.1,16,0.0,0.2,32.000,32.000,267,132,135,0.1,0,0.0,0.0,32.000,32.000,283,128,127,28,0.1,0,0.0,0.0,32.000,32.000,277,125,123,29
4-10-25-0.2,100,20,126,66,0.7,0,0.0,0.0,43.556,43.556,256,129,127,0.1,0,0.0,0.0,43.556,43.556,260,131,129,0.1,0,0.0,0.0,43.556,43.556,282,130,122,30,0.1,0,0.0,0.0,43.556,43.556,269,127,124,18
5-10-25-0.2,100,33,174,116,0.1,10,0.0,0.1,70.431,70.431,321,168,153,0.1,19,0.0,0.1,70.431,70.431,323,160,163,0.5,4,0.0,0.0,70.431,70.431,350,160,139,51,0.3,0,0.0,0.0,70.431,70.431,367,166,154,47
6-10-25-0.2,200,5,408,628,0.1,0,0.0,0.0,41.221,41.221,538,248,290,0.1,0,0.0,0.0,41.221,41.221,543,241,302,0.1,0,0.0,0.0,41.221,41.221,587,244,263,80,0.1,0,0.0,0.0,41.221,41.221,555,242,265,48
7-10-25-0.2,200,10,414,906,2.7,380,0.0,0.9,67.985,67.985,1062,575,487,0.9,79,0.0,0.7,67.985,67.985,863,417,446,0.4,7,0.0,0.0,67.985,67.985,859,361,284,214,1.1,2,0.0,0.0,67.985,67.985,833,358,291,184
8-10-25-0.2,200,20,360,658,2.4,387,0.0,0.7,93.383,93.383,840,419,421,0.6,124,0.0,0.5,93.383,93.383,739,352,387,0.1,0,0.0,0.0,93.383,93.383,728,316,267,145,0.1,0,0.0,0.0,93.383,93.383,703,310,276,117
9-10-25-0.2,200,40,418,686,5.7,632,0.0,0.7,140.755,140.755,1209,626,583,6.5,646,0.0,0.4,140.755,140.755,1008,512,496,0.4,62,0.0,0.1,140.755,140.755,1080,439,288,353,0.5,54,0.0,0.1,140.755,140.755,987,400,295,292
10-10-25-0.2,200,67,526,1372,18.7,3073,0.0,0.8,184.062,184.062,1699,901,798,17.1,3010,0.0,0.7,184.062,184.062,1672,848,824,6.4,605,0.0,0.3,184.062,184.062,1964,693,390,881,4.0,554,0.0,0.3,184.062,184.062,1845,651,416,778
11-10-25-0.2,300,5,1004,3968,0.7,33,0.0,0.7,96.199,96.199,1596,934,662,3.5,37,0.0,0.6,96.199,96.199,1447,761,686,0.2,0,0.0,0.0,96.199,96.199,1055,465,403,187,0.2,0,0.0,0.0,96.199,96.199,1079,478,409,192
12-10-25-0.2,300,10,814,2756,6.1,669,0.0,1.1,121.767,121.767,2527,1396,1131,6.4,349,0.0,1.3,121.767,121.767,1883,906,977,0.6,4,0.0,0.0,121.767,121.767,1570,645,466,459,2.0,5,0.0,0.0,121.767,121.767,1488,611,483,394
13-10-25-0.2,300,30,902,3342,37.0,3768,0.0,1.3,200.248,200.248,3011,1766,1245,9.3,1299,0.0,1.1,200.248,200.248,2489,1279,1210,3.6,133,0.0,0.3,200.248,200.248,2622,998,519,1105,1.6,67,0.0,0.3,200.248,200.248,2294,857,521,916
14-10-25-0.2,300,60,804,2722,69.9,7056,0.0,1.0,247.419,247.419,3306,1890,1416,30.1,2452,0.0,0.8,247.419,247.419,3154,1554,1600,13.5,451,0.0,0.2,247.420,247.420,4008,1350,746,1912,10.4,608,0.0,0.2,247.419,247.419,2995,1035,650,1310
15-10-25-0.2,300,100,910,3470,TL,635222,0.2,1.4,285.827,286.444,3729,2056,1673,TL,653427,0.1,1.1,285.909,286.278,3338,1635,1703,1691.3,137877,0.0,0.5,286.008,286.008,5441,1598,905,2938,511.6,36049,0.0,0.4,286.008,286.008,4959,1483,971,2505
16-10-25-0.2,400,5,1974,13784,15.3,616,0.0,2.8,181.421,181.421,3989,2234,1755,5.6,187,0.0,1.7,181.421,181.421,3690,1837,1853,2.3,18,0.0,0.8,181.421,181.421,3212,1240,789,1183,7.0,19,0.0,0.6,181.421,181.421,3022,1251,787,984
17-10-25-0.2,400,10,1738,11266,154.9,8502,0.0,3.9,220.594,220.594,5946,3495,2451,95.8,5249,0.0,2.7,220.594,220.594,5355,2896,2459,24.0,321,0.0,1.5,220.594,220.594,5123,1850,864,2409,15.2,161,0.0,1.3,220.594,220.594,5046,1791,1136,2119
18-10-25-0.2,400,40,1430,7758,TL,337402,0.7,2.3,308.038,310.206,5783,2993,2790,TL,242345,0.5,1.6,308.596,310.066,4534,2276,2258,887.6,16703,0.0,1.0,308.978,308.978,10097,2616,1212,6269,580.0,8094,0.0,0.8,308.978,308.978,9993,2346,1404,6243
19-10-25-0.2,400,80,1644,9618,TL,263451,0.4,1.2,374.956,376.546,4428,2588,1840,TL,314554,0.2,0.9,375.447,376.205,3825,2031,1794,1309.8,36068,0.0,0.4,375.663,375.663,9010,2417,965,5628,549.9,15017,0.0,0.3,375.663,375.663,8095,2185,1116,4794
20-10-25-0.2,400,133,1462,8014,TL,439396,0.2,0.5,396.477,397.455,4158,1974,2184,TL,435256,0.1,0.3,396.970,397.417,3124,1721,1403,2739.3,159642,0.0,0.1,397.157,397.157,5819,1729,871,3219,806.2,41068,0.0,0.1,397.157,397.157,5759,1791,880,3088
21-10-25-0.2,500,5,2918,27626,2.7,77,0.0,1.2,252.424,252.424,3104,1814,1290,1.9,41,0.0,0.7,252.424,252.424,2626,1380,1246,3.5,7,0.0,0.0,252.424,252.424,3070,1361,935,774,4.3,5,0.0,0.0,252.424,252.424,2803,1370,812,621
22-10-25-0.2,500,10,2496,21494,815.0,33422,0.0,3.6,284.236,284.236,9786,5354,4432,259.1,7612,0.0,2.9,284.236,284.236,7822,4481,3341,148.1,742,0.0,2.1,284.236,284.236,8801,2640,1458,4703,108.8,646,0.0,1.8,284.236,284.236,7672,2568,1614,3490
23-10-25-0.2,500,50,2772,24348,TL,182410,1.1,2.0,441.856,446.754,7347,4032,3315,TL,170411,0.7,1.3,443.662,446.588,6332,3257,3075,TL,127890,1.0,1.5,442.063,446.386,16445,4107,2394,9944,TL,31979,0.5,1.0,443.575,445.937,13863,3453,2157,8253
24-10-25-0.2,500,100,2810,23810,TL,197619,0.7,1.1,488.999,492.162,5078,2947,2131,TL,207685,0.3,0.6,490.601,492.072,4503,2463,2040,TL,58301,0.5,0.6,489.679,491.950,11694,3068,1199,7427,TL,62125,0.2,0.4,490.690,491.801,9996,2657,1290,6049
25-10-25-0.2,500,167,3078,29866,223.5,24178,0.0,0.0,499.698,499.698,2026,1248,778,19.6,3297,0.0,0.0,499.698,499.698,2832,1741,1091,88.7,6756,0.0,0.0,499.698,499.698,2939,1299,604,1036,39.8,2496,0.0,0.0,499.698,499.698,2837,1374,718,745
26-10-25-0.2,600,5,5086,70238,83.4,1265,0.0,2.5,370.604,370.604,6354,3545,2809,31.8,545,0.0,2.2,370.604,370.604,6017,3332,2685,45.0,231,0.0,1.9,370.604,370.604,7876,2981,2032,2863,33.2,192,0.0,1.6,370.604,370.604,6956,2767,1794,2395
27-10-25-0.2,600,10,5420,75078,1380.8,46140,0.0,1.8,446.980,446.980,9496,4242,5254,777.3,26205,0.0,1.5,446.980,446.980,7945,3521,4424,1367.6,27962,0.0,1.3,446.980,446.980,12360,3430,2884,6046,997.4,20830,0.0,1.1,446.980,446.980,12442,3230,4065,5147
28-10-25-0.2,600,60,5338,78458,TL,144887,0.6,1.0,573.264,576.529,6084,3573,2511,TL,142813,0.4,0.7,573.749,576.322,5855,2960,2895,TL,140511,0.5,0.8,573.248,576.390,9918,3854,2139,3925,TL,132691,0.4,0.6,574.173,576.318,10094,3675,2557,3862
29-10-25-0.2,600,120,4982,67654,TL,212150,0.2,0.3,596.392,597.545,4416,2659,1757,TL,175856,0.1,0.1,597.174,597.461,3765,2375,1390,TL,232194,0.2,0.2,596.497,597.469,7004,2829,1296,2879,TL,135002,0.0,0.1,597.142,597.395,6167,2543,982,2642
30-10-25-0.2,600,200,4284,48514,0.7,0,0.0,0.0,600.000,600.000,2563,1545,1018,4.1,0,0.0,0.0,600.000,600.000,2639,1560,1079,1.2,0,0.0,0.0,600.000,600.000,2705,1506,971,228,2.9,0,0.0,0.0,600.000,600.000,2948,1628,1068,252
31-10-25-0.2,700,5,8624,152102,414.4,7413,0.0,3.0,510.572,510.572,9719,5449,4270,262.1,3915,0.0,2.4,510.572,510.572,9680,5141,4539,786.6,1003,0.0,2.3,510.572,510.572,20433,5754,2808,11871,415.4,911,0.0,2.4,510.572,510.572,15616,4962,2593,8061
32-10-25-0.2,700,10,7294,123992,822.3,10549,0.0,1.4,553.668,553.668,9591,5858,3733,1001.1,33649,0.0,1.1,553.668,553.668,8047,4131,3916,1807.0,26714,0.0,1.1,553.668,553.668,11336,4408,3083,3845,953.1,2215,0.0,1.0,553.668,553.668,9981,3813,2092,4076
33-10-25-0.2,700,70,7110,121930,TL,98433,0.2,0.5,687.553,689.228,5800,3492,2308,TL,110712,0.2,0.4,687.650,689.101,5859,3261,2598,TL,83938,0.2,0.4,687.666,689.074,9236,3921,1688,3627,TL,93572,0.2,0.3,687.650,689.050,8191,3460,1782,2949
34-10-25-0.2,700,140,8044,141988,24.5,1669,0.0,0.0,699.831,699.831,2691,1840,851,10.8,361,0.0,0.0,699.831,699.831,2654,1826,828,22.8,662,0.0,0.0,699.832,699.832,2836,1799,805,232,13.2,93,0.0,0.0,699.831,699.831,2701,1732,768,201
35-10-25-0.2,800,5,14838,312066,87.6,565,0.0,1.1,668.820,668.820,6461,4027,2434,42.2,308,0.0,1.0,668.820,668.820,5510,3350,2160,118.4,233,0.0,1.0,668.820,668.820,8136,3668,2038,2430,67.5,159,0.0,0.9,668.820,668.820,5704,2897,2010,797
36-10-25-0.2,800,10,10904,224412,TL,53176,0.4,1.3,677.465,680.135,11131,5599,5532,TL,39592,0.2,1.0,677.465,678.985,9909,4650,5259,TL,34092,0.4,1.1,677.251,680.318,16818,5493,5533,5792,TL,45106,0.2,1.0,677.499,679.145,13153,4550,4339,4264
37-10-25-0.2,800,80,9072,186296,TL,93814,0.2,0.4,790.235,791.804,5103,3550,1553,TL,78420,0.2,0.3,790.282,791.724,5314,3310,2004,TL,70759,0.2,0.3,789.799,791.743,8722,3848,1480,3394,TL,82461,0.2,0.2,790.338,791.594,7610,3501,1409,2700
38-10-25-0.2,900,5,21526,466312,1108.2,8053,0.0,1.2,788.212,788.212,10548,5433,5115,792.5,2847,0.0,1.2,788.212,788.212,8482,4719,3763,2715.9,8683,0.0,1.2,788.212,788.212,18856,5689,4448,8719,827.6,2245,0.0,1.0,788.212,788.212,14729,4900,3486,6343
39-10-25-0.2,900,10,21248,471774,TL,56944,0.2,0.5,841.039,842.682,8323,5049,3274,TL,43027,0.1,0.5,841.150,842.241,8113,4278,3835,TL,48382,0.3,0.6,840.521,842.777,9576,4439,3502,1635,TL,46527,0.1,0.5,840.944,842.266,8855,4108,3544,1203
40-10-25-0.2,900,90,14636,345298,TL,139772,0.0,0.1,896.970,897.282,2883,2315,568,TL,142114,0.0,0.1,897.028,897.269,2710,2223,487,TL,102474,0.0,0.1,897.024,897.255,4156,2537,442,1177,TL,99743,0.0,0.0,897.084,897.244,3812,2454,435,923
1-10-25-0.5,100,5,138,60,0.0,0,0.0,0.0,17.533,17.533,225,109,116,0.0,0,0.0,0.0,17.533,17.533,224,109,115,0.1,0,0.0,0.0,17.533,17.533,233,109,115,9,0.0,0,0.0,0.0,17.533,17.533,229,109,115,5
2-10-25-0.5,100,10,152,78,0.1,0,0.0,0.0,31.697,31.697,255,123,132,0.3,0,0.0,0.0,31.697,31.697,239,115,124,0.1,0,0.0,0.0,31.697,31.697,263,119,127,17,1.2,0,0.0,0.0,31.697,31.697,261,121,129,11
3-10-25-0.5,100,10,136,110,0.1,0,0.0,0.0,32.000,32.000,264,132,132,0.2,0,0.0,0.0,32.000,32.000,249,122,127,0.1,0,0.0,0.0,32.000,32.000,266,122,120,24,0.0,0,0.0,0.0,32.000,32.000,267,123,126,18
4-10-25-0.5,100,20,126,66,0.0,0,0.0,0.0,43.522,43.522,253,128,125,0.0,0,0.0,0.0,43.522,43.522,250,125,125,0.0,0,0.0,0.0,43.522,43.522,270,128,123,19,0.0,0,0.0,0.0,43.522,43.522,261,125,123,13
5-10-25-0.5,100,33,174,116,0.1,7,0.0,0.0,70.344,70.344,360,186,174,0.5,8,0.0,0.0,70.344,70.344,342,175,167,0.1,0,0.0,0.0,70.344,70.344,378,179,160,39,1.0,0,0.0,0.0,70.344,70.344,361,171,161,29
6-10-25-0.5,200,5,408,628,0.1,0,0.0,0.0,41.113,41.113,511,241,270,0.1,0,0.0,0.0,41.113,41.113,517,238,279,0.1,0,0.0,0.0,41.113,41.113,555,241,259,55,0.1,0,0.0,0.0,41.113,41.113,539,238,263,38
7-10-25-0.5,200,10,414,906,0.3,28,0.0,0.3,67.616,67.616,740,359,381,0.3,43,0.0,0.2,67.616,67.616,732,344,388,0.1,0,0.0,0.0,67.616,67.616,762,326,278,158,0.1,0,0.0,0.0,67.616,67.616,761,319,298,144
8-10-25-0.5,200,20,360,658,0.4,61,0.0,0.1,93.115,93.115,700,337,363,0.4,32,0.0,0.2,93.115,93.115,696,337,359,0.1,0,0.0,0.0,93.115,93.115,703,313,276,114,0.3,0,0.0,0.0,93.115,93.115,702,313,287,102
9-10-25-0.5,200,40,418,686,1.7,488,0.0,0.2,140.162,140.162,842,439,403,1.3,57,0.0,0.1,140.162,140.162,712,362,350,1.0,16,0.0,0.0,140.162,140.162,874,370,284,220,0.3,13,0.0,0.0,140.162,140.162,836,360,287,189
10-10-25-0.5,200,67,526,1372,17.0,2084,0.0,0.4,182.753,182.753,1292,644,648,12.6,1921,0.0,0.4,182.753,182.753,1150,586,564,0.7,58,0.0,0.1,182.753,182.753,1423,572,358,493,1.2,135,0.0,0.1,182.753,182.753,1506,596,396,514
11-10-25-0.5,300,5,1004,3968,0.2,9,0.0,0.0,95.450,95.450,1075,596,479,0.2,7,0.0,0.0,95.450,95.450,1000,542,458,0.4,0,0.0,0.0,95.450,95.450,1092,492,410,190,0.2,0,0.0,0.0,95.450,95.450,1077,489,410,178
12-10-25-0.5,300,10,814,2756,1.2,89,0.0,0.6,120.580,120.580,1877,993,884,1.8,45,0.0,0.4,120.580,120.580,1611,768,843,0.4,0,0.0,0.0,120.580,120.580,1364,566,462,336,0.4,0,0.0,0.0,120.580,120.580,1375,563,467,345
13-10-25-0.5,300,30,902,3342,16.1,1192,0.0,0.4,198.405,198.405,1827,993,834,5.5,458,0.0,0.4,198.405,198.405,1507,796,711,2.8,20,0.0,0.0,198.405,198.405,1568,644,447,477,2.1,27,0.0,0.0,198.405,198.405,1691,689,514,488
14-10-25-0.5,300,60,804,2722,13.2,1474,0.0,0.3,245.202,245.202,2061,995,1066,7.2,1870,0.0,0.3,245.202,245.202,1679,757,922,4.7,132,0.0,0.1,245.202,245.202,2034,787,562,685,1.4,111,0.0,0.1,245.202,245.202,1903,771,567,565
15-10-25-0.5,300,100,910,3470,465.0,67601,0.0,0.5,283.164,283.164,2505,1341,1164,48.0,6957,0.0,0.4,283.164,283.164,2266,1135,1131,13.4,1220,0.0,0.1,283.164,283.164,3233,1099,616,1518,15.3,1052,0.0,0.1,283.164,283.164,3017,1071,645,1301
16-10-25-0.5,400,5,1974,13784,3.5,110,0.0,1.3,177.563,177.563,3113,1608,1505,1.4,39,0.0,1.3,177.563,177.563,2531,1271,1260,1.9,16,0.0,0.3,177.563,177.563,2858,1202,784,872,1.3,11,0.0,0.4,177.563,177.563,2558,1114,736,708
17-10-25-0.5,400,10,1738,11266,37.0,1507,0.0,2.2,216.971,216.971,4658,2613,2045,8.7,543,0.0,1.7,216.971,216.971,3178,1703,1475,7.0,85,0.0,0.7,216.971,216.971,4448,1668,1035,1745,7.9,47,0.0,0.7,216.971,216.971,4077,1659,939,1479
18-10-25-0.5,400,40,1430,7758,1133.8,136160,0.0,0.9,304.492,304.492,4635,2431,2204,389.9,33149,0.0,0.8,304.492,304.492,3582,1874,1708,42.1,770,0.0,0.4,304.492,304.492,4653,1625,850,2178,31.7,418,0.0,0.3,304.492,304.492,4845,1639,919,2287
19-10-25-0.5,400,80,1644,9618,311.3,39454,0.0,0.4,371.860,371.860,3032,1718,1314,83.8,7347,0.0,0.3,371.860,371.860,2678,1339,1339,15.3,613,0.0,0.1,371.860,371.860,3330,1278,572,1480,12.1,504,0.0,0.1,371.860,371.860,2799,1085,673,1041
20-10-25-0.5,400,133,1462,8014,107.9,14944,0.0,0.1,395.681,395.681,2251,1255,996,12.0,1783,0.0,0.1,395.681,395.681,2128,1207,921,11.5,562,0.0,0.0,395.681,395.681,2622,1093,726,803,9.4,344,0.0,0.0,395.681,395.681,2431,1049,668,714
21-10-25-0.5,500,5,2918,27626,1.1,15,0.0,0.2,246.640,246.640,2366,1196,1170,1.1,15,0.0,0.3,246.640,246.640,2453,1240,1213,0.7,0,0.0,0.0,246.640,246.640,2208,1017,792,399,1.1,0,0.0,0.0,246.640,246.640,2210,1015,826,369
