,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
21-5-20-0.2,500,5,1186,12832,0.8,7,0.0,0.4,149.162,149.162,1957,996,961,1.5,13,0.0,0.4,149.162,149.162,2015,966,1049,0.5,0,0.0,0.0,149.162,149.162,1956,827,831,298,0.6,0,0.0,0.0,149.162,149.162,1964,845,830,289
22-5-20-0.2,500,10,1090,9960,78.6,2842,0.0,3.2,178.499,178.499,6316,3467,2849,60.7,2323,0.0,2.4,178.499,178.499,4758,2492,2266,9.7,106,0.0,1.2,178.499,178.499,4966,1929,1159,1878,12.7,67,0.0,1.0,178.499,178.499,4374,1810,1197,1367
23-5-20-0.2,500,50,1196,11222,TL,153729,1.1,2.5,362.758,366.574,8197,3749,4448,TL,198804,0.7,1.8,363.577,366.285,7683,3427,4256,TL,59338,0.5,1.3,363.716,365.556,14393,3591,2745,8057,TL,135582,0.4,1.1,363.751,365.362,12476,3205,2797,6474
24-5-20-0.2,500,100,1174,11328,TL,159323,1.1,2.1,436.753,441.705,6781,3238,3543,TL,235775,0.6,1.2,439.057,441.487,6323,2545,3778,TL,153975,0.7,1.1,438.279,441.483,13545,3580,2526,7439,TL,202740,0.4,0.7,439.463,441.214,12487,3082,2670,6735
25-5-20-0.2,500,167,1258,13962,TL,195275,1.2,2.2,478.828,484.481,5304,2864,2440,TL,171558,0.6,1.4,481.759,484.641,4862,2398,2464,TL,145402,0.6,0.9,481.244,484.244,13090,3299,1763,8028,TL,69305,0.3,0.6,482.412,483.980,11460,2804,1716,6940
26-5-20-0.2,600,5,1706,30160,13.5,358,0.0,2.2,221.744,221.744,5684,3018,2666,6.8,165,0.0,2.0,221.744,221.744,5044,2700,2344,8.7,51,0.0,1.2,221.744,221.744,4838,2026,1562,1250,8.9,35,0.0,1.0,221.744,221.744,4854,2087,1608,1159
27-5-20-0.2,600,10,1764,32768,1041.8,45917,0.0,2.5,305.542,305.542,9207,3546,5661,779.7,32690,0.0,2.2,305.542,305.542,9256,3331,5925,919.1,48209,0.0,1.6,305.542,305.542,10457,3011,4214,3232,231.3,1977,0.0,1.5,305.542,305.542,8424,2817,2410,3197
28-5-20-0.2,600,60,1716,33584,TL,98722,0.9,1.7,502.350,506.785,8024,3652,4372,TL,90889,0.7,1.3,503.054,506.353,7760,3357,4403,TL,37608,0.8,1.2,502.487,506.281,13333,4206,2762,6365,TL,50366,0.6,0.9,503.056,505.964,13248,3879,3430,5939
29-5-20-0.2,600,120,1714,28968,TL,140287,1.1,1.8,558.041,563.979,6522,3588,2934,TL,105068,0.9,1.4,558.579,563.613,7105,3200,3905,TL,53191,0.9,1.2,558.711,563.624,13629,4529,2084,7016,TL,52445,0.6,0.9,559.642,563.249,12625,3776,2885,5964
30-5-20-0.2,600,200,1570,21010,TL,144373,0.7,1.0,587.734,591.889,4701,2495,2206,TL,182588,0.5,0.8,588.493,591.666,4643,2304,2339,TL,155911,0.4,0.5,589.031,591.544,11143,3228,2191,5724,TL,108303,0.2,0.3,590.137,591.469,9577,2597,1629,5351
