,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
3-2-20-0.01-90,100,10,2,20,0.01,90,106,110,0.1,35,0.0,1.2,15.797506,15.798,0,1,326,129,127,70
3-2-20-0.1-10,100,10,2,20,0.1,10,106,110,0.1,3,0.0,0.0,20.277490,20.277,0,1,367,142,131,94
3-2-20-0.1-50,100,10,2,20,0.1,50,106,110,0.0,0,0.0,0.0,19.477153,19.477,0,1,315,128,123,64
3-2-20-0.1-90,100,10,2,20,0.1,90,106,110,0.1,16,0.0,0.4,15.730804,15.731,0,1,318,121,127,70
3-2-20-0.2-10,100,10,2,20,0.2,10,106,110,0.0,0,0.0,0.0,20.184319,20.184,0,1,333,132,131,70
3-2-20-0.2-50,100,10,2,20,0.2,50,106,110,0.1,0,0.0,0.0,19.386118,19.386,0,1,326,130,122,74
3-2-20-0.2-90,100,10,2,20,0.2,90,106,110,0.1,0,0.0,0.0,15.656690,15.657,0,1,305,130,123,52
4-1-20-0.01-10,100,20,1,20,0.01,10,100,62,0.0,0,0.0,0.0,28.541521,28.542,0,1,313,127,126,60
4-1-20-0.01-50,100,20,1,20,0.01,50,100,62,0.0,0,0.0,0.0,26.707726,26.708,0,1,305,131,124,50
4-1-20-0.01-90,100,20,1,20,0.01,90,100,62,0.0,2,0.0,0.0,21.904803,21.905,0,1,273,128,107,38
4-1-20-0.1-10,100,20,1,20,0.1,10,100,62,0.0,0,0.0,0.0,28.505736,28.506,0,1,290,126,126,38
4-1-20-0.1-50,100,20,1,20,0.1,50,100,62,0.0,0,0.0,0.0,26.690067,26.690,0,1,298,131,123,44
4-1-20-0.1-90,100,20,1,20,0.1,90,100,62,0.0,2,0.0,0.0,21.903894,21.904,0,1,277,128,107,42
4-1-20-0.2-10,100,20,1,20,0.2,10,100,62,0.0,0,0.0,0.0,28.465974,28.466,0,1,290,126,126,38
4-1-20-0.2-50,100,20,1,20,0.2,50,100,62,0.0,0,0.0,0.0,26.670447,26.670,0,1,294,129,123,42
4-1-20-0.2-90,100,20,1,20,0.2,90,100,62,0.0,3,0.0,0.0,21.902884,21.903,0,1,259,126,107,26
4-2-20-0.01-10,100,20,2,20,0.01,10,100,62,0.0,0,0.0,0.0,28.541521,28.542,0,1,313,127,126,60
