,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
12-1-20-0.2-50,300,10,1,20,0.2,50,336,1792,0.3,9,0.0,0.2,56.210262,56.210,0,1,1256,450,466,340
12-1-20-0.2-90,300,10,1,20,0.2,90,336,1792,0.1,0,0.0,0.0,43.490750,43.491,0,1,937,365,412,160
12-2-20-0.01-10,300,10,2,20,0.01,10,356,1772,0.6,10,0.0,0.2,68.402789,68.403,1,2,1527,481,496,550
12-2-20-0.01-50,300,10,2,20,0.01,50,356,1772,0.3,23,0.0,0.5,56.853555,56.854,0,1,1330,438,518,374
12-2-20-0.01-90,300,10,2,20,0.01,90,356,1772,0.1,0,0.0,0.0,44.858650,44.859,1,2,949,374,395,180
12-2-20-0.1-10,300,10,2,20,0.1,10,356,1772,0.3,5,0.0,0.1,68.058356,68.058,0,1,1429,466,473,490
12-2-20-0.1-50,300,10,2,20,0.1,50,356,1772,0.3,17,0.0,0.6,56.501436,56.501,0,1,1356,457,481,418
12-2-20-0.1-90,300,10,2,20,0.1,90,356,1772,0.1,0,0.0,0.0,44.623324,44.623,0,1,835,347,390,98
12-2-20-0.2-10,300,10,2,20,0.2,10,356,1772,0.2,3,0.0,0.0,67.727201,67.727,0,1,1305,448,467,390
12-2-20-0.2-50,300,10,2,20,0.2,50,356,1772,0.3,17,0.0,0.3,56.293457,56.293,0,1,1271,459,494,318
12-2-20-0.2-90,300,10,2,20,0.2,90,356,1772,0.1,0,0.0,0.0,44.499179,44.499,0,1,825,347,388,90
13-1-20-0.01-10,300,30,1,20,0.01,10,334,2170,3.9,486,0.0,0.4,132.249665,132.250,3,3,2834,715,753,1366
13-1-20-0.01-50,300,30,1,20,0.01,50,334,2170,6.2,1250,0.0,0.5,123.324803,123.325,4,3,2512,650,768,1094
13-1-20-0.01-90,300,30,1,20,0.01,90,334,2170,0.3,17,0.0,0.0,99.992460,99.992,6,4,1149,378,493,278
13-1-20-0.1-10,300,30,1,20,0.1,10,334,2170,6.9,983,0.0,0.5,129.566042,129.566,2,2,3164,797,711,1656
13-1-20-0.1-50,300,30,1,20,0.1,50,334,2170,1.7,214,0.0,0.3,120.798008,120.798,3,2,2305,631,678,996
13-1-20-0.1-90,300,30,1,20,0.1,90,334,2170,0.3,11,0.0,0.1,97.129821,97.130,5,4,1238,385,541,312
13-1-20-0.2-10,300,30,1,20,0.2,10,334,2170,2.9,331,0.0,0.3,126.912985,126.913,0,1,2492,653,627,1212
13-1-20-0.2-50,300,30,1,20,0.2,50,334,2170,1.6,185,0.0,0.4,118.131867,118.132,3,2,2248,598,654,996
13-1-20-0.2-90,300,30,1,20,0.2,90,334,2170,0.2,3,0.0,0.0,94.070496,94.070,5,4,1266,394,530,342
13-2-20-0.01-10,300,30,2,20,0.01,10,374,2130,1.7,152,0.0,0.3,136.211453,136.211,3,2,2803,678,883,1242
13-2-20-0.01-50,300,30,2,20,0.01,50,374,2130,1.9,239,0.0,0.3,127.583980,127.584,3,3,2413,601,674,1138
13-2-20-0.01-90,300,30,2,20,0.01,90,374,2130,0.3,16,0.0,0.0,101.906574,101.907,6,4,1102,376,536,190
13-2-20-0.1-10,300,30,2,20,0.1,10,374,2130,2.0,228,0.0,0.3,133.836687,133.837,2,2,2491,623,682,1186
13-2-20-0.1-50,300,30,2,20,0.1,50,374,2130,1.4,203,0.0,0.3,125.217320,125.217,3,3,2267,597,636,1034
13-2-20-0.1-90,300,30,2,20,0.1,90,374,2130,0.5,33,0.0,0.1,99.261301,99.261,5,4,1482,474,546,462
13-2-20-0.2-10,300,30,2,20,0.2,10,374,2130,1.1,79,0.0,0.2,131.428843,131.429,0,1,2417,602,693,1122
13-2-20-0.2-50,300,30,2,20,0.2,50,374,2130,1.3,139,0.0,0.2,122.799629,122.800,3,2,2318,601,607,1110
13-2-20-0.2-90,300,30,2,20,0.2,90,374,2130,0.5,64,0.0,0.3,96.559718,96.560,4,3,1525,460,521,544
14-1-20-0.01-10,300,60,1,20,0.01,10,340,1748,16.9,2160,0.0,0.6,178.541455,178.541,6,3,3981,822,861,2298
14-1-20-0.01-50,300,60,1,20,0.01,50,340,1748,3.2,534,0.0,0.4,166.507547,166.508,5,3,2602,587,731,1284
14-1-20-0.01-90,300,60,1,20,0.01,90,340,1748,1.3,265,0.0,0.3,122.431582,122.432,8,4,1717,481,510,726
14-1-20-0.1-10,300,60,1,20,0.1,10,340,1748,11.0,1179,0.0,0.5,175.052415,175.052,4,3,3772,825,785,2162
14-1-20-0.1-50,300,60,1,20,0.1,50,340,1748,1.9,274,0.0,0.4,163.491628,163.492,4,2,2272,566,616,1090
14-1-20-0.1-90,300,60,1,20,0.1,90,340,1748,2.8,656,0.0,0.2,120.232256,120.232,7,4,1805,491,476,838
14-1-20-0.2-10,300,60,1,20,0.2,10,340,1748,9.6,1027,0.0,0.3,171.468679,171.469,3,2,3632,788,728,2116
14-1-20-0.2-50,300,60,1,20,0.2,50,340,1748,1.9,256,0.0,0.3,160.214581,160.215,4,2,2222,555,707,960
14-1-20-0.2-90,300,60,1,20,0.2,90,340,1748,2.6,679,0.0,0.1,118.069321,118.069,4,4,1779,509,476,794
14-2-20-0.01-10,300,60,2,20,0.01,10,374,1714,39.2,3477,0.0,0.9,180.066043,180.066,5,3,5493,1007,1020,3466
14-2-20-0.01-50,300,60,2,20,0.01,50,374,1714,1.4,136,0.0,0.4,170.062837,170.063,5,2,2440,614,664,1162
14-2-20-0.01-90,300,60,2,20,0.01,90,374,1714,7.5,1304,0.0,0.7,128.541844,128.542,8,4,2505,509,572,1424
14-2-20-0.1-10,300,60,2,20,0.1,10,374,1714,33.3,2527,0.0,0.7,176.910510,176.911,3,3,5177,951,946,3280
14-2-20-0.1-50,300,60,2,20,0.1,50,374,1714,0.9,87,0.0,0.2,167.223380,167.223,4,2,2075,583,596,896
14-2-20-0.1-90,300,60,2,20,0.1,90,374,1714,6.5,1145,0.0,0.5,126.765470,126.765,5,4,2420,532,562,1326
14-2-20-0.2-10,300,60,2,20,0.2,10,374,1714,12.2,965,0.0,0.5,173.709130,173.709,2,2,3637,836,783,2018
14-2-20-0.2-50,300,60,2,20,0.2,50,374,1714,1.2,214,0.0,0.1,164.167319,164.167,3,2,1983,573,516,894
14-2-20-0.2-90,300,60,2,20,0.2,90,374,1714,7.0,2388,0.0,0.2,125.215223,125.215,2,4,2077,551,462,1064
15-1-20-0.01-10,300,100,1,20,0.01,10,340,2178,17.6,2595,0.0,0.3,233.711966,233.712,10,3,3740,713,959,2068
15-1-20-0.01-50,300,100,1,20,0.01,50,340,2178,11.2,1809,0.0,0.5,218.168394,218.168,8,3,2920,564,822,1534
15-1-20-0.01-90,300,100,1,20,0.01,90,340,2178,9.1,1085,0.0,0.2,173.702611,173.703,7,4,3152,522,580,2050
15-1-20-0.1-10,300,100,1,20,0.1,10,340,2178,17.5,2240,0.0,0.3,228.872540,228.873,8,3,3406,663,853,1890
15-1-20-0.1-50,300,100,1,20,0.1,50,340,2178,9.7,1573,0.0,0.4,213.998067,213.998,7,3,2937,586,777,1574
15-1-20-0.1-90,300,100,1,20,0.1,90,340,2178,11.2,1320,0.0,0.1,170.666001,170.666,6,3,2927,508,615,1804
15-1-20-0.2-10,300,100,1,20,0.2,10,340,2178,15.6,1218,0.0,0.2,223.929614,223.930,7,3,3448,752,798,1898
15-1-20-0.2-50,300,100,1,20,0.2,50,340,2178,10.0,1814,0.0,0.3,209.648531,209.649,7,3,2884,601,883,1400
15-1-20-0.2-90,300,100,1,20,0.2,90,340,2178,8.0,1407,0.0,0.1,167.650340,167.650,5,3,2396,449,529,1418
15-2-20-0.01-10,300,100,2,20,0.01,10,376,2142,19.5,2561,0.0,0.4,235.061816,235.062,10,3,3815,723,910,2182
15-2-20-0.01-50,300,100,2,20,0.01,50,376,2142,12.0,1809,0.0,0.6,219.488656,219.489,8,3,3312,618,742,1952
15-2-20-0.01-90,300,100,2,20,0.01,90,376,2142,11.2,2075,0.0,0.3,180.606266,180.606,7,3,2437,506,611,1320
15-2-20-0.1-10,300,100,2,20,0.1,10,376,2142,24.6,3464,0.0,0.4,230.427898,230.428,8,3,4009,749,878,2382
15-2-20-0.1-50,300,100,2,20,0.1,50,376,2142,9.9,1527,0.0,0.4,215.823807,215.824,6,3,3201,626,729,1846
15-2-20-0.1-90,300,100,2,20,0.1,90,376,2142,10.7,1865,0.0,0.2,177.798140,177.798,5,3,2492,515,633,1344
15-2-20-0.2-10,300,100,2,20,0.2,10,376,2142,12.8,1021,0.0,0.3,225.835469,225.835,5,3,4054,785,867,2402
15-2-20-0.2-50,300,100,2,20,0.2,50,376,2142,11.2,1988,0.0,0.2,211.958654,211.959,6,3,2953,640,725,1588
15-2-20-0.2-90,300,100,2,20,0.2,90,376,2142,3.1,607,0.0,0.2,175.019362,175.019,4,3,2064,450,492,1122
16-1-20-0.01-10,400,5,1,20,0.01,10,464,7328,0.9,18,0.0,0.4,109.198003,109.198,0,1,2449,737,1157,555
16-1-20-0.01-50,400,5,1,20,0.01,50,464,7328,0.4,0,0.0,0.0,109.129645,109.130,0,1,1750,554,602,594
16-1-20-0.01-90,400,5,1,20,0.01,90,464,7328,0.2,0,0.0,0.0,77.661917,77.662,1,2,1403,499,602,302
16-1-20-0.1-10,400,5,1,20,0.1,10,464,7328,0.9,32,0.0,0.4,107.514204,107.514,0,1,2202,731,1075,396
16-1-20-0.1-50,400,5,1,20,0.1,50,464,7328,0.3,0,0.0,0.0,107.514204,107.514,0,1,1811,614,675,522
16-1-20-0.1-90,400,5,1,20,0.1,90,464,7328,0.2,0,0.0,0.0,75.822834,75.823,1,2,1420,515,611,294
16-1-20-0.2-10,400,5,1,20,0.2,10,464,7328,0.8,19,0.0,0.4,105.719270,105.719,0,1,2259,769,1068,422
16-1-20-0.2-50,400,5,1,20,0.2,50,464,7328,0.3,0,0.0,0.0,105.719270,105.719,0,1,1940,619,698,623
16-1-20-0.2-90,400,5,1,20,0.2,90,464,7328,0.3,0,0.0,0.0,73.779409,73.779,1,2,1530,518,574,438
16-2-20-0.01-10,400,5,2,20,0.01,10,540,7252,0.9,21,0.0,0.6,109.731493,109.731,0,1,2623,889,1089,645
16-2-20-0.01-50,400,5,2,20,0.01,50,540,7252,0.5,2,0.0,0.0,109.602242,109.602,0,1,1990,590,634,766
16-2-20-0.01-90,400,5,2,20,0.01,90,540,7252,0.5,5,0.0,0.1,78.102670,78.103,1,2,1639,521,642,476
16-2-20-0.1-10,400,5,2,20,0.1,10,540,7252,0.9,20,0.0,0.6,108.137043,108.137,0,1,2929,875,1387,667
16-2-20-0.1-50,400,5,2,20,0.1,50,540,7252,0.4,0,0.0,0.0,108.081321,108.081,0,1,1893,581,679,633
16-2-20-0.1-90,400,5,2,20,0.1,90,540,7252,0.6,5,0.0,0.4,76.282693,76.283,1,2,1601,522,653,426
16-2-20-0.2-10,400,5,2,20,0.2,10,540,7252,0.9,18,0.0,0.4,106.391408,106.391,0,1,2623,820,1232,571
16-2-20-0.2-50,400,5,2,20,0.2,50,540,7252,0.4,0,0.0,0.0,106.391408,106.391,0,1,1806,658,708,440
16-2-20-0.2-90,400,5,2,20,0.2,90,540,7252,0.5,3,0.0,0.0,74.819982,74.820,0,1,1843,585,579,679
17-1-20-0.01-10,400,10,1,20,0.01,10,460,6282,1.1,41,0.0,0.6,136.500129,136.500,0,1,2768,964,886,918
17-1-20-0.01-50,400,10,1,20,0.01,50,460,6282,1.5,55,0.0,0.7,128.337269,128.337,0,1,2989,843,1080,1066
17-1-20-0.01-90,400,10,1,20,0.01,90,460,6282,0.6,7,0.0,0.1,110.620356,110.620,3,2,1639,530,753,356
17-1-20-0.1-10,400,10,1,20,0.1,10,460,6282,1.1,25,0.0,0.5,134.074415,134.074,0,1,2919,1051,868,1000
17-1-20-0.1-50,400,10,1,20,0.1,50,460,6282,1.1,22,0.0,0.4,125.915567,125.916,0,1,2858,805,1159,894
17-1-20-0.1-90,400,10,1,20,0.1,90,460,6282,0.3,0,0.0,0.0,107.246200,107.246,3,2,1531,527,654,350
17-1-20-0.2-10,400,10,1,20,0.2,10,460,6282,1.3,39,0.0,0.5,131.495270,131.495,0,1,3039,973,1010,1056
17-1-20-0.2-50,400,10,1,20,0.2,50,460,6282,0.8,13,0.0,0.2,123.351619,123.352,0,1,2338,754,794,790
17-1-20-0.2-90,400,10,1,20,0.2,90,460,6282,0.2,0,0.0,0.0,103.497138,103.497,3,2,1494,523,597,374
17-2-20-0.01-10,400,10,2,20,0.01,10,536,6206,1.1,49,0.0,0.6,139.477301,139.477,0,1,2846,982,814,1050
17-2-20-0.01-50,400,10,2,20,0.01,50,536,6206,1.1,31,0.0,0.5,131.466639,131.467,0,1,3021,929,878,1214
17-2-20-0.01-90,400,10,2,20,0.01,90,536,6206,0.5,7,0.0,0.1,112.000435,112.000,3,2,1578,518,674,386
17-2-20-0.1-10,400,10,2,20,0.1,10,536,6206,1.3,35,0.0,0.6,137.311983,137.312,0,1,2832,945,855,1032
17-2-20-0.1-50,400,10,2,20,0.1,50,536,6206,0.8,29,0.0,0.3,129.217433,129.217,0,1,2486,831,787,868
17-2-20-0.1-90,400,10,2,20,0.1,90,536,6206,0.2,0,0.0,0.0,108.763755,108.764,3,2,1434,512,604,318
17-2-20-0.2-10,400,10,2,20,0.2,10,536,6206,1.2,36,0.0,0.3,134.939565,134.940,0,1,2989,1009,814,1166
17-2-20-0.2-50,400,10,2,20,0.2,50,536,6206,1.0,14,0.0,0.2,126.718316,126.718,0,1,2683,861,930,892
17-2-20-0.2-90,400,10,2,20,0.2,90,536,6206,0.5,0,0.0,0.0,105.167444,105.167,3,2,1486,516,612,358
18-1-20-0.01-10,400,40,1,20,0.01,10,444,4364,68.4,4193,0.0,0.7,215.275325,215.275,4,3,5896,1275,1561,3060
18-1-20-0.01-50,400,40,1,20,0.01,50,444,4364,16.6,1030,0.0,0.4,206.281846,206.282,3,2,4122,956,1120,2046
18-1-20-0.01-90,400,40,1,20,0.01,90,444,4364,0.3,0,0.0,0.0,157.292761,157.293,9,4,1767,561,660,546
18-1-20-0.1-10,400,40,1,20,0.1,10,444,4364,48.9,2261,0.0,0.6,209.840029,209.840,4,3,4904,1103,1395,2406
18-1-20-0.1-50,400,40,1,20,0.1,50,444,4364,4.7,210,0.0,0.2,201.561536,201.562,2,2,3693,912,983,1798
18-1-20-0.1-90,400,40,1,20,0.1,90,444,4364,0.4,9,0.0,0.0,152.503049,152.503,9,4,1712,536,698,478
18-1-20-0.2-10,400,40,1,20,0.2,10,444,4364,37.6,1919,0.0,0.5,204.030909,204.031,3,2,5019,1144,1319,2556
18-1-20-0.2-50,400,40,1,20,0.2,50,444,4364,1.6,48,0.0,0.1,196.426804,196.427,2,2,3198,836,894,1468
18-1-20-0.2-90,400,40,1,20,0.2,90,444,4364,0.6,28,0.0,0.1,147.471342,147.471,6,4,1888,562,730,596
18-2-20-0.01-10,400,40,2,20,0.01,10,512,4296,22.7,1103,0.0,0.7,218.964668,218.965,4,3,4987,1172,1423,2392
18-2-20-0.01-50,400,40,2,20,0.01,50,512,4296,23.6,2098,0.0,0.5,209.515667,209.516,3,2,4061,1026,1037,1998
18-2-20-0.01-90,400,40,2,20,0.01,90,512,4296,0.8,33,0.0,0.1,159.603387,159.603,6,4,2273,581,818,874
18-2-20-0.1-10,400,40,2,20,0.1,10,512,4296,17.2,796,0.0,0.6,213.867190,213.867,4,2,4972,1124,1402,2446
18-2-20-0.1-50,400,40,2,20,0.1,50,512,4296,9.8,651,0.0,0.3,205.185043,205.185,2,2,3886,973,985,1928
18-2-20-0.1-90,400,40,2,20,0.1,90,512,4296,0.6,9,0.0,0.0,156.036494,156.036,5,4,2025,615,702,708
18-2-20-0.2-10,400,40,2,20,0.2,10,512,4296,35.2,2403,0.0,0.5,208.390001,208.390,2,2,4901,1152,1095,2654
18-2-20-0.2-50,400,40,2,20,0.2,50,512,4296,1.9,75,0.0,0.2,200.648386,200.648,1,2,3437,880,931,1626
18-2-20-0.2-90,400,40,2,20,0.2,90,512,4296,0.5,7,0.0,0.0,152.338315,152.338,5,3,1711,560,673,478
19-1-20-0.01-10,400,80,1,20,0.01,10,458,5290,2965.2,160275,0.0,0.7,294.902252,294.902,7,3,10426,1729,2117,6580
19-1-20-0.01-50,400,80,1,20,0.01,50,458,5290,90.9,10262,0.0,0.4,280.980881,280.981,7,3,6093,1074,1661,3358
19-1-20-0.01-90,400,80,1,20,0.01,90,458,5290,15.1,1477,0.0,0.3,225.869041,225.869,14,4,4023,762,1205,2056
19-1-20-0.1-10,400,80,1,20,0.1,10,458,5290,1825.3,93655,0.0,0.6,287.349448,287.349,4,3,10025,1552,1925,6548
19-1-20-0.1-50,400,80,1,20,0.1,50,458,5290,47.7,4882,0.0,0.3,273.929633,273.930,5,2,5319,994,1603,2722
19-1-20-0.1-90,400,80,1,20,0.1,90,458,5290,20.8,2203,0.0,0.3,218.633585,218.634,12,4,4330,757,1087,2486
19-1-20-0.2-10,400,80,1,20,0.2,10,458,5290,637.9,37636,0.0,0.4,279.282904,279.283,1,3,8334,1360,1620,5354
19-1-20-0.2-50,400,80,1,20,0.2,50,458,5290,20.7,1215,0.0,0.1,266.374499,266.374,3,2,4074,894,1328,1852
19-1-20-0.2-90,400,80,1,20,0.2,90,458,5290,20.7,1336,0.0,0.4,211.087039,211.087,9,4,4711,804,1247,2660
19-2-20-0.01-10,400,80,2,20,0.01,10,526,5222,TL,319734,0.2,0.8,297.155752,297.787,6,3,14850,2174,2796,9880
19-2-20-0.01-50,400,80,2,20,0.01,50,526,5222,239.3,20107,0.0,0.6,282.716786,282.717,5,3,7661,1238,1765,4658
19-2-20-0.01-90,400,80,2,20,0.01,90,526,5222,22.7,2468,0.0,0.5,232.178008,232.178,11,4,4807,771,1172,2864
19-2-20-0.1-10,400,80,2,20,0.1,10,526,5222,1848.0,64045,0.0,0.7,290.059480,290.059,2,3,12860,1782,2088,8990
19-2-20-0.1-50,400,80,2,20,0.1,50,526,5222,43.0,1850,0.0,0.4,276.139178,276.139,4,2,7059,1168,1495,4396
19-2-20-0.1-90,400,80,2,20,0.1,90,526,5222,26.1,2805,0.0,0.6,225.772477,225.772,10,4,5404,813,1291,3300
19-2-20-0.2-10,400,80,2,20,0.2,10,526,5222,144.4,3596,0.0,0.5,282.685220,282.685,1,2,10711,1446,1797,7468
19-2-20-0.2-50,400,80,2,20,0.2,50,526,5222,43.6,3157,0.0,0.2,269.062240,269.062,4,2,4964,1018,1036,2910
19-2-20-0.2-90,400,80,2,20,0.2,90,526,5222,57.1,8257,0.0,0.7,219.019032,219.019,9,3,5378,777,1293,3308
20-1-20-0.01-10,400,133,1,20,0.01,10,456,4474,TL,102991,0.3,0.8,343.115556,344.177,17,3,11984,1766,2330,7888
20-1-20-0.01-50,400,133,1,20,0.01,50,456,4474,405.1,42477,0.0,0.5,322.337282,322.337,17,3,7135,1254,1743,4138
20-1-20-0.01-90,400,133,1,20,0.01,90,456,4474,19.0,1141,0.0,0.4,249.976077,249.976,14,5,4807,681,1076,3050
20-1-20-0.1-10,400,133,1,20,0.1,10,456,4474,TL,106342,0.2,0.8,334.739562,335.499,12,3,11678,1611,2215,7852
20-1-20-0.1-50,400,133,1,20,0.1,50,456,4474,305.9,31530,0.0,0.5,314.369101,314.369,15,3,6381,1129,1618,3634
20-1-20-0.1-90,400,133,1,20,0.1,90,456,4474,35.5,5108,0.0,0.4,244.900462,244.900,12,4,4579,673,968,2938
20-1-20-0.2-10,400,133,1,20,0.2,10,456,4474,TL,315449,0.3,0.7,325.636366,326.644,8,3,12190,1555,2299,8336
20-1-20-0.2-50,400,133,1,20,0.2,50,456,4474,75.4,4764,0.0,0.4,306.305954,306.306,8,3,6465,1051,1464,3950
20-1-20-0.2-90,400,133,1,20,0.2,90,456,4474,15.2,942,0.0,0.3,239.705290,239.705,11,4,4128,648,846,2634
20-2-20-0.01-10,400,133,2,20,0.01,10,526,4404,TL,124910,0.4,1.0,345.064869,346.624,14,3,13400,1939,2617,8844
20-2-20-0.01-50,400,133,2,20,0.01,50,526,4404,673.4,61073,0.0,0.6,326.568005,326.568,12,4,7903,1462,1769,4672
20-2-20-0.01-90,400,133,2,20,0.01,90,526,4404,23.4,1554,0.0,0.5,263.284026,263.284,9,5,6267,723,1086,4458
20-2-20-0.1-10,400,133,2,20,0.1,10,526,4404,TL,93014,0.4,0.9,337.360548,338.613,12,3,13576,1755,2199,9622
20-2-20-0.1-50,400,133,2,20,0.1,50,526,4404,1115.6,92828,0.0,0.6,319.148331,319.148,12,3,7588,1300,1724,4564
20-2-20-0.1-90,400,133,2,20,0.1,90,526,4404,30.2,4471,0.0,0.3,258.999080,258.999,9,4,5053,734,945,3374
20-2-20-0.2-10,400,133,2,20,0.2,10,526,4404,TL,159412,0.3,0.8,329.343424,330.440,7,3,13338,1634,2290,9414
20-2-20-0.2-50,400,133,2,20,0.2,50,526,4404,86.7,6252,0.0,0.4,311.892673,311.893,8,3,6946,1274,1524,4148
20-2-20-0.2-90,400,133,2,20,0.2,90,526,4404,TL,1196798,0.0,0.2,254.487475,254.488,8,4,4352,682,874,2796
21-1-20-0.01-10,500,5,1,20,0.01,10,592,13426,1.3,15,0.0,0.3,150.454705,150.455,1,2,2865,908,1144,813
21-1-20-0.01-50,500,5,1,20,0.01,50,592,13426,1.6,23,0.0,0.8,132.819569,132.820,1,2,2896,990,1079,827
21-1-20-0.01-90,500,5,1,20,0.01,90,592,13426,1.0,7,0.0,0.1,105.739752,105.740,1,2,2071,719,828,524
21-1-20-0.1-10,500,5,1,20,0.1,10,592,13426,1.1,20,0.0,0.2,147.355527,147.356,0,1,2586,944,895,747
21-1-20-0.1-50,500,5,1,20,0.1,50,592,13426,1.9,25,0.0,0.9,129.718612,129.719,0,1,3925,1046,1442,1437
21-1-20-0.1-90,500,5,1,20,0.1,90,592,13426,0.7,0,0.0,0.0,103.622278,103.622,0,1,2142,703,787,652
21-1-20-0.2-10,500,5,1,20,0.2,10,592,13426,0.9,7,0.0,0.2,143.994455,143.994,0,1,2427,902,866,659
21-1-20-0.2-50,500,5,1,20,0.2,50,592,13426,1.7,27,0.0,0.8,126.901070,126.901,0,1,3603,1028,1112,1463
21-1-20-0.2-90,500,5,1,20,0.2,90,592,13426,0.7,0,0.0,0.0,101.689011,101.689,0,1,2199,702,723,774
21-2-20-0.01-10,500,5,2,20,0.01,10,724,13294,1.3,23,0.0,0.4,151.305255,151.305,1,2,2822,893,1129,800
21-2-20-0.01-50,500,5,2,20,0.01,50,724,13294,1.9,40,0.0,1.0,134.232301,134.232,0,1,3296,1002,1133,1161
21-2-20-0.01-90,500,5,2,20,0.01,90,724,13294,0.9,9,0.0,0.2,106.527127,106.527,0,1,2048,660,808,580
21-2-20-0.1-10,500,5,2,20,0.1,10,724,13294,1.4,23,0.0,0.3,148.394991,148.395,0,1,2997,912,1145,940
21-2-20-0.1-50,500,5,2,20,0.1,50,724,13294,1.8,29,0.0,0.8,131.826496,131.826,0,1,3350,986,1144,1220
21-2-20-0.1-90,500,5,2,20,0.1,90,724,13294,0.4,0,0.0,0.0,104.876471,104.876,0,1,1844,637,690,517
21-2-20-0.2-10,500,5,2,20,0.2,10,724,13294,1.3,12,0.0,0.1,145.696559,145.697,0,1,2898,945,1054,899
21-2-20-0.2-50,500,5,2,20,0.2,50,724,13294,1.7,27,0.0,0.9,129.153380,129.153,0,1,3532,1046,1210,1276
21-2-20-0.2-90,500,5,2,20,0.2,90,724,13294,0.4,0,0.0,0.0,103.042409,103.042,0,1,1908,687,726,495
22-1-20-0.01-10,500,10,1,20,0.01,10,576,10474,2.6,41,0.0,0.6,183.466736,183.467,0,1,4430,1205,1476,1749
22-1-20-0.01-50,500,10,1,20,0.01,50,576,10474,1.4,9,0.0,0.1,171.409681,171.410,0,1,2999,848,960,1191
22-1-20-0.01-90,500,10,1,20,0.01,90,576,10474,0.6,0,0.0,0.0,143.375799,143.376,2,2,2209,681,754,774
22-1-20-0.1-10,500,10,1,20,0.1,10,576,10474,2.3,57,0.0,0.6,179.497361,179.497,0,1,4066,1128,1375,1563
22-1-20-0.1-50,500,10,1,20,0.1,50,576,10474,0.8,0,0.0,0.0,167.830607,167.831,0,1,2487,771,888,828
22-1-20-0.1-90,500,10,1,20,0.1,90,576,10474,0.4,0,0.0,0.0,139.622391,139.622,2,2,1814,612,784,418
22-1-20-0.2-10,500,10,1,20,0.2,10,576,10474,2.5,55,0.0,0.7,175.207660,175.208,0,1,3997,1120,1547,1330
22-1-20-0.2-50,500,10,1,20,0.2,50,576,10474,0.8,0,0.0,0.0,163.853857,163.854,0,1,2580,874,882,824
22-1-20-0.2-90,500,10,1,20,0.2,90,576,10474,0.4,0,0.0,0.0,135.451938,135.452,2,2,1705,615,734,356
22-2-20-0.01-10,500,10,2,20,0.01,10,660,10390,2.8,62,0.0,0.6,184.619499,184.619,0,1,4498,1222,1436,1840
22-2-20-0.01-50,500,10,2,20,0.01,50,660,10390,1.5,19,0.0,0.2,171.784961,171.785,0,1,3040,886,947,1207
22-2-20-0.01-90,500,10,2,20,0.01,90,660,10390,0.6,0,0.0,0.0,144.548859,144.549,2,2,1978,629,743,606
22-2-20-0.1-10,500,10,2,20,0.1,10,660,10390,2.6,48,0.0,0.7,180.832451,180.832,0,1,3980,1174,1396,1410
22-2-20-0.1-50,500,10,2,20,0.1,50,660,10390,1.1,6,0.0,0.0,168.314657,168.315,0,1,2754,911,948,895
22-2-20-0.1-90,500,10,2,20,0.1,90,660,10390,0.4,0,0.0,0.0,140.895859,140.896,2,2,1674,609,741,324
22-2-20-0.2-10,500,10,2,20,0.2,10,660,10390,2.8,76,0.0,0.9,176.624621,176.625,0,1,4282,1217,1337,1728
22-2-20-0.2-50,500,10,2,20,0.2,50,660,10390,1.6,11,0.0,0.1,164.458763,164.459,0,1,2845,895,992,958
22-2-20-0.2-90,500,10,2,20,0.2,90,660,10390,0.4,0,0.0,0.0,136.836970,136.837,2,2,1870,661,789,420
23-1-20-0.01-10,500,50,1,20,0.01,10,600,11818,2000.8,237765,0.0,0.4,376.240401,376.240,10,3,8174,1590,2798,3786
23-1-20-0.01-50,500,50,1,20,0.01,50,600,11818,88.8,5422,0.0,0.4,359.871748,359.872,12,3,6240,1413,2179,2648
23-1-20-0.01-90,500,50,1,20,0.01,90,600,11818,5.9,422,0.0,0.2,308.609119,308.609,13,4,2999,760,1281,958
23-1-20-0.1-10,500,50,1,20,0.1,10,600,11818,2866.6,357161,0.0,0.4,363.515914,363.516,5,3,8456,1569,2646,4241
23-1-20-0.1-50,500,50,1,20,0.1,50,600,11818,95.7,4128,0.0,0.4,347.568415,347.568,8,3,6505,1318,2207,2980
23-1-20-0.1-90,500,50,1,20,0.1,90,600,11818,5.0,393,0.0,0.1,296.595033,296.595,13,4,3092,725,1411,956
23-1-20-0.2-10,500,50,1,20,0.2,10,600,11818,134.8,4264,0.0,0.3,350.054601,350.055,4,3,7835,1499,2244,4092
23-1-20-0.2-50,500,50,1,20,0.2,50,600,11818,83.8,3650,0.0,0.3,334.298849,334.299,8,3,6241,1221,1992,3028
23-1-20-0.2-90,500,50,1,20,0.2,90,600,11818,13.3,1364,0.0,0.2,283.544445,283.544,12,4,3075,679,1360,1036
23-2-20-0.01-10,500,50,2,20,0.01,10,718,11700,202.7,8750,0.0,0.4,377.840822,377.841,6,3,7253,1595,2056,3602
23-2-20-0.01-50,500,50,2,20,0.01,50,718,11700,153.4,6933,0.0,0.5,361.729744,361.730,10,3,7264,1506,2420,3338
