,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,
21-10-25-0.5,500,5,2918,27626,7.1,30,0.0,0.9,246.640,246.640,0,1,4308,1.1,0,0.0,0.0,246.640,246.640,0,1,2210
22-10-25-0.5,500,10,2496,21494,59.9,686,0.0,3.3,277.373,277.373,0,1,7429,24.6,151,0.0,1.7,277.373,277.373,0,1,6019
23-10-25-0.5,500,50,2772,24348,TL,24240,1.1,2.0,435.219,439.956,0,1,14684,1979.3,30028,0.0,1.1,436.674,436.674,0,1,10770
24-10-25-0.5,500,100,2810,23810,TL,22662,0.3,0.9,486.136,487.661,0,1,8233,441.8,18185,0.0,0.7,486.765,486.765,0,1,5907
25-10-25-0.5,500,167,3078,29866,153.6,1187,0.0,0.4,499.369,499.369,0,1,2649,14.8,372,0.0,0.4,499.369,499.369,0,1,2215
26-10-25-0.5,600,5,5086,70238,168.9,822,0.0,4.8,356.703,356.703,0,1,15124,28.7,90,0.0,1.7,356.703,356.703,0,1,6917
27-10-25-0.5,600,10,5420,75078,TL,48971,1.1,3.2,431.003,435.773,0,1,32254,166.2,1133,0.0,1.0,431.380,431.380,0,1,6747
28-10-25-0.5,600,60,5338,78458,TL,7946,1.0,1.6,563.684,569.228,0,1,11757,TL,143037,0.1,1.0,565.937,566.558,0,1,7746
29-10-25-0.5,600,120,4982,67654,TL,37553,<0.1,0.5,594.634,594.851,0,1,5473,515.3,27947,0.0,0.5,594.671,594.671,0,1,3411
30-10-25-0.5,600,200,4284,48514,1.8,0,0.0,0.0,600.000,600.000,1,2,0,0.1,0,0.0,0.0,600.000,600.000,1,2,0
31-10-25-0.5,700,5,8624,152102,TL,13337,1.5,5.1,490.625,497.910,0,1,55281,118.5,274,0.0,1.9,490.908,490.908,0,1,9943
32-10-25-0.5,700,10,7294,123992,TL,24134,1.2,3.9,532.520,538.898,0,1,40294,89.8,303,0.0,0.6,533.118,533.118,0,1,7798
33-10-25-0.5,700,70,7110,121930,TL,8642,0.5,1.0,679.037,682.176,0,1,8454,TL,87417,<0.1,0.7,680.020,680.226,0,1,5687
34-10-25-0.5,700,140,8044,141988,139.3,68,0.0,0.2,699.595,699.595,0,1,2000,8.2,29,0.0,<0.1,699.595,699.595,0,1,2813
35-10-25-0.5,800,5,14838,312066,TL,11447,1.4,3.3,640.126,648.976,0,1,59883,52.2,91,0.0,1.1,640.362,640.362,0,1,5922
36-10-25-0.5,800,10,10904,224412,TL,6525,2.2,3.4,649.220,663.765,0,1,31651,TL,29464,0.4,1.4,649.240,651.741,0,1,13117
37-10-25-0.5,800,80,9072,186296,TL,6666,0.4,0.6,782.216,785.385,0,1,9004,TL,71592,<0.1,0.5,783.493,783.755,0,1,5473
38-10-25-0.5,900,5,21526,466312,TL,6262,2.3,3.4,753.694,771.159,0,1,51457,281.3,534,0.0,1.4,755.858,755.858,0,1,9856
39-10-25-0.5,900,10,21248,471774,TL,8275,1.2,1.8,812.333,822.449,0,1,29345,TL,27518,0.1,0.8,813.694,814.756,0,1,8040
40-10-25-0.5,900,90,14636,345298,TL,23605,<0.1,0.3,893.267,893.729,0,1,4711,TL,156812,<0.1,0.3,893.360,893.427,0,1,3152

