,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-10-25-0.5,100,5,138,60,0.0,0,0.0,0.0,17.533,17.533,0,1,218,0.0,0,0.0,0.0,17.533,17.533,0,1,229
2-10-25-0.5,100,10,152,78,0.1,0,0.0,0.0,31.697,31.697,0,1,267,1.2,0,0.0,0.0,31.697,31.697,0,1,261
3-10-25-0.5,100,10,136,110,0.0,0,0.0,0.0,32.000,32.000,0,1,259,0.0,0,0.0,0.0,32.000,32.000,0,1,267
4-10-25-0.5,100,20,126,66,0.1,0,0.0,0.0,43.522,43.522,0,1,253,0.0,0,0.0,0.0,43.522,43.522,0,1,261
5-10-25-0.5,100,33,174,116,0.2,0,0.0,0.0,70.344,70.344,0,1,471,1.0,0,0.0,0.0,70.344,70.344,0,1,361
6-10-25-0.5,200,5,408,628,0.1,0,0.0,0.0,41.113,41.113,0,1,524,0.1,0,0.0,0.0,41.113,41.113,0,1,539
7-10-25-0.5,200,10,414,906,0.3,19,0.0,0.6,67.616,67.616,0,1,632,0.1,0,0.0,0.0,67.616,67.616,0,1,761
8-10-25-0.5,200,20,360,658,0.3,0,0.0,0.0,93.115,93.115,0,1,802,0.3,0,0.0,0.0,93.115,93.115,0,1,702
9-10-25-0.5,200,40,418,686,2.8,44,0.0,1.0,140.162,140.162,0,1,773,0.3,13,0.0,0.9,140.162,140.162,0,1,836
10-10-25-0.5,200,67,526,1372,13.3,597,0.0,0.7,182.753,182.753,0,1,1140,1.2,135,0.0,0.5,182.753,182.753,0,1,1506
11-10-25-0.5,300,5,1004,3968,0.4,3,0.0,0.0,95.450,95.450,0,1,1020,0.2,0,0.0,0.0,95.450,95.450,0,1,1077
12-10-25-0.5,300,10,814,2756,3.0,33,0.0,1.4,120.580,120.580,0,1,1439,0.4,0,0.0,0.0,120.580,120.580,0,1,1375
13-10-25-0.5,300,30,902,3342,11.7,198,0.0,1.9,198.405,198.405,0,1,2012,2.1,27,0.0,1.5,198.405,198.405,0,1,1691
14-10-25-0.5,300,60,804,2722,28.3,1495,0.0,0.4,245.202,245.202,0,1,2098,1.4,111,0.0,0.1,245.202,245.202,0,1,1903
15-10-25-0.5,300,100,910,3470,202.2,5452,0.0,1.1,283.164,283.164,0,1,2855,15.3,1052,0.0,0.8,283.164,283.164,0,1,3017
16-10-25-0.5,400,5,1974,13784,3.6,37,0.0,1.7,177.563,177.563,0,1,3091,1.3,11,0.0,0.4,177.563,177.563,0,1,2558
17-10-25-0.5,400,10,1738,11266,16.4,514,0.0,2.3,216.971,216.971,0,1,4077,7.9,47,0.0,0.9,216.971,216.971,0,1,4077
18-10-25-0.5,400,40,1430,7758,290.1,4800,0.0,1.8,304.492,304.492,0,1,6089,31.7,418,0.0,0.9,304.492,304.492,0,1,4845
19-10-25-0.5,400,80,1644,9618,295.8,6316,0.0,1.3,371.860,371.860,0,1,4370,12.1,504,0.0,1.1,371.860,371.860,0,1,2799
20-10-25-0.5,400,133,1462,8014,87.5,712,0.0,0.8,395.681,395.681,0,1,2572,9.4,344,0.0,0.8,395.681,395.681,0,1,2431
