,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-5-20-0.8,100,5,114,64,0.0,0,0.0,0.0,14.600,14.600,0,1,216,0.1,0,0.0,0.0,14.600,14.600,0,1,234
2-5-20-0.8,100,10,124,76,0.1,0,0.0,0.0,26.648,26.648,0,1,250,0.0,0,0.0,0.0,26.648,26.648,0,1,245
3-5-20-0.8,100,10,116,100,0.4,0,0.0,0.0,25.613,25.613,0,1,290,0.3,0,0.0,0.0,25.613,25.613,0,1,281
4-5-20-0.8,100,20,106,56,0.1,0,0.0,0.0,35.408,35.408,0,1,340,0.0,0,0.0,0.0,35.408,35.408,0,1,284
5-5-20-0.8,100,33,130,114,0.1,0,0.0,0.0,62.004,62.004,0,1,293,0.0,0,0.0,0.0,62.004,62.004,0,1,304
6-5-20-0.8,200,5,296,430,0.0,0,0.0,0.0,30.133,30.133,0,1,460,0.1,0,0.0,0.0,30.133,30.133,0,1,487
7-5-20-0.8,200,10,292,592,0.1,0,0.0,0.0,50.206,50.206,0,1,521,0.1,0,0.0,0.0,50.206,50.206,0,1,573
8-5-20-0.8,200,20,278,418,0.1,0,0.0,0.0,69.544,69.544,0,1,543,0.1,0,0.0,0.0,69.544,69.544,0,1,585
9-5-20-0.8,200,40,302,502,0.6,6,0.0,0.3,117.076,117.076,0,1,908,0.4,2,0.0,0.0,117.076,117.076,0,1,705
10-5-20-0.8,200,67,328,900,1.2,7,0.0,0.8,157.131,157.131,0,1,1285,0.2,3,0.0,0.0,157.131,157.131,0,1,824
11-5-20-0.8,300,5,534,2358,0.2,0,0.0,0.0,61.632,61.632,0,1,869,0.2,0,0.0,0.0,61.632,61.632,0,1,938
12-5-20-0.8,300,10,474,1654,0.2,0,0.0,0.0,79.252,79.252,0,1,890,0.2,0,0.0,0.0,79.252,79.252,0,1,1006
13-5-20-0.8,300,30,500,2004,3.1,20,0.0,0.9,151.101,151.101,0,1,1580,1.3,3,0.0,0.0,151.101,151.101,0,1,1380
14-5-20-0.8,300,60,502,1586,3.2,50,0.0,<0.1,203.813,203.813,0,1,1880,0.5,3,0.0,0.0,203.813,203.813,0,1,1496
15-5-20-0.8,300,100,518,2000,9.6,272,0.0,0.6,244.777,244.777,0,1,1858,0.7,37,0.0,0.5,244.777,244.777,0,1,1572
16-5-20-0.8,400,5,874,6918,0.7,0,0.0,0.0,105.842,105.842,0,1,1581,0.3,0,0.0,0.0,105.842,105.842,0,1,1660
17-5-20-0.8,400,10,840,5902,1.1,6,0.0,<0.1,143.630,143.630,0,1,1657,0.5,0,0.0,0.0,143.630,143.630,0,1,1886
18-5-20-0.8,400,40,738,4070,17.9,436,0.0,0.3,230.275,230.275,0,1,2950,1.9,20,0.0,<0.1,230.275,230.275,0,1,2483
19-5-20-0.8,400,80,816,4932,36.5,445,0.0,0.1,312.679,312.679,0,1,3439,1.5,55,0.0,<0.1,312.679,312.679,0,1,2780
20-5-20-0.8,400,133,760,4170,51.8,580,0.0,1.1,357.998,357.998,0,1,3210,6.0,123,0.0,1.0,357.998,357.998,0,1,2468
21-5-20-0.8,500,5,1186,12832,3.5,0,0.0,0.0,143.190,143.190,0,1,1826,1.1,0,0.0,0.0,143.190,143.190,0,1,1952
