,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,
22-5-20-0.8,500,10,1090,9960,4.7,51,0.0,2.0,171.225,171.225,0,1,3002,5.1,15,0.0,0.1,171.225,171.225,0,1,3057
23-5-20-0.8,500,50,1196,11222,69.7,885,0.0,0.5,346.943,346.943,0,1,4914,5.2,17,0.0,<0.1,346.943,346.943,0,1,3598
24-5-20-0.8,500,100,1174,11328,TL,109105,<0.1,0.2,422.368,422.440,0,1,7379,11.8,287,0.0,<0.1,422.368,422.368,0,1,3794
25-5-20-0.8,500,167,1258,13962,111.5,432,0.0,1.2,470.463,470.463,0,1,3440,7.5,156,0.0,1.2,470.463,470.463,0,1,3167
26-5-20-0.8,600,5,1706,30160,10.9,64,0.0,3.9,206.886,206.886,0,1,5330,13.9,11,0.0,0.2,206.886,206.886,0,1,4644
27-5-20-0.8,600,10,1764,32768,124.2,1104,0.0,2.3,278.786,278.786,0,1,10143,17.8,105,0.0,0.8,278.786,278.786,0,1,6537
28-5-20-0.8,600,60,1716,33584,TL,45079,0.3,1.1,472.487,473.775,0,1,14205,209.3,1696,0.0,0.4,472.578,472.578,0,1,6821
29-5-20-0.8,600,120,1714,28968,TL,45701,0.1,1.0,536.967,537.528,0,1,8982,39.0,733,0.0,0.8,537.051,537.051,0,1,4193
30-5-20-0.8,600,200,1570,21010,559.5,4957,0.0,0.7,577.397,577.397,0,1,3884,28.4,1543,0.0,0.7,577.397,577.397,0,1,3597
31-5-20-0.8,700,5,2542,64420,40.5,144,0.0,2.7,290.581,290.581,0,1,8641,20.1,41,0.0,1.2,290.581,290.581,0,1,6222
32-5-20-0.8,700,10,2218,50474,104.5,370,0.0,2.1,340.813,340.813,0,1,11763,22.1,29,0.0,0.3,340.813,340.813,0,1,5762
33-5-20-0.8,700,70,2268,49250,TL,11943,0.3,0.6,581.766,583.442,0,1,17415,183.2,2655,0.0,0.3,581.924,581.924,0,1,6153
34-5-20-0.8,700,140,2450,58282,743.6,5011,0.0,0.8,653.349,653.349,0,1,7145,12.7,34,0.0,0.7,653.349,653.349,0,1,3167
35-5-20-0.8,800,5,3424,143422,133.0,175,0.0,3.3,403.506,403.506,0,1,14220,20.9,47,0.0,1.2,403.506,403.506,0,1,6488
36-5-20-0.8,800,10,3052,91980,TL,31928,1.3,3.9,426.057,431.446,0,1,38162,440.2,692,0.0,2.1,427.424,427.424,0,1,12048
37-5-20-0.8,800,80,2762,71842,TL,9889,0.3,0.8,682.997,684.831,0,1,16066,1474.4,71184,0.0,0.3,683.418,683.418,0,1,7314
38-5-20-0.8,900,5,4520,224438,580.6,475,0.0,3.9,490.736,490.736,0,1,26287,90.1,106,0.0,1.7,490.736,490.736,0,1,10907
39-5-20-0.8,900,10,4450,227826,TL,11465,0.8,2.5,592.560,597.623,0,1,37289,135.4,214,0.0,0.8,592.560,592.560,0,1,10480
40-5-20-0.8,900,90,3552,140956,TL,11338,<0.1,0.4,801.021,801.742,0,1,14512,139.4,859,0.0,0.2,801.052,801.052,0,1,5430

